meta_label,j
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
17896,173480929,0,185.675738500,0.000000000,-0.579000,-0.757000,0.352000,15.100000,-2.800000,-8.300000
17897,173490695,9766,185.684595000,0.008856500,-0.534000,-0.685000,0.460000,29.600000,1.400000,-13.500000
17898,173499729,18800,185.692996300,0.017257800,-0.512000,-0.709000,0.524000,43.900000,7.500000,-18.800000
17899,173509862,28933,185.710908800,0.035170300,-0.518000,-0.921000,0.554000,48.700000,16.200000,-22.600000
17900,173519476,38547,185.720212300,0.044473800,-0.551000,-1.073000,0.551000,37.800000,30.400000,-17.600000
17901,173528540,47611,185.720667500,0.044929000,0.082000,-1.274000,-0.214000,13.300000,30.600000,-5.800000
17902,173538154,57225,185.735044400,0.059305900,-0.250000,-0.866000,0.424000,0.300000,-56.600000,35.200000
17903,173548103,67174,185.747794100,0.072055600,-0.585000,-1.108000,0.215000,-16.300000,-59.300000,45.100000
17904,173557839,76910,185.750542100,0.074803600,-0.975000,-0.740000,0.171000,-16.800000,-25.800000,56.700000
17905,173567087,86158,185.765725300,0.089986800,-0.248000,-0.446000,0.279000,-3.600000,-18.800000,30.400000
17906,173576640,95711,185.772694500,0.096956000,-0.419000,-0.411000,0.253000,16.000000,-27.400000,-4.900000
17907,173586803,105874,185.780753000,0.105014500,-1.130000,-0.873000,-0.072000,-2.900000,31.500000,-2.300000
17908,173595989,115060,185.795640700,0.119902200,-0.947000,-0.875000,0.071000,-12.800000,71.100000,19.500000
17909,173605512,124583,185.795650400,0.119911900,-0.665000,-0.719000,0.137000,-9.300000,91.900000,23.800000
17910,173615431,134502,185.810682100,0.134943600,-0.340000,-0.695000,0.260000,-1.200000,87.600000,18.400000
17911,173625319,144390,185.823723100,0.147984600,-0.190000,-0.824000,0.236000,1.800000,74.300000,14.900000
17912,173634353,153424,185.826325600,0.150587100,-0.305000,-0.953000,0.218000,-7.000000,66.900000,20.600000
17913,173644028,163099,185.842534700,0.166796200,-0.341000,-0.948000,0.240000,-21.700000,58.200000,27.800000
17914,173654069,173140,185.847847300,0.172108800,-0.352000,-0.880000,0.310000,-34.700000,42.200000,33.400000
17915,173663469,182540,185.856295000,0.180556500,-0.453000,-0.762000,0.338000,-41.000000,21.400000,30.500000
17916,173672839,191910,185.869836000,0.194097500,-0.687000,-0.710000,0.326000,-47.600000,8.100000,25.500000
17917,173682941,202012,185.880430900,0.204692400,-0.822000,-0.562000,0.348000,-54.000000,2.700000,13.200000
17918,173692433,211504,185.885592100,0.209853600,-0.864000,-0.373000,0.376000,-48.200000,-3.700000,-6.200000
17919,173701619,220690,185.901680900,0.225942400,-0.947000,-0.320000,0.368000,-33.700000,-8.400000,-29.400000
17920,173711263,230334,185.902200000,0.226461500,-1.057000,-0.384000,0.331000,-19.000000,-3.500000,-53.900000
17921,173721335,240406,185.920188600,0.244450100,-1.009000,-0.491000,0.317000,4.200000,1.400000,-76.400000
17922,173730949,250020,185.923103600,0.247365100,-0.999000,-0.682000,0.278000,16.500000,7.900000,-90.400000
17923,173740135,259206,185.931925000,0.256186500,-0.944000,-0.925000,0.263000,26.900000,14.100000,-93.000000
17924,173750207,269278,185.945534000,0.269795500,-0.827000,-1.245000,0.244000,27.700000,15.600000,-85.300000
17925,173759882,278953,185.958349800,0.282611300,-0.664000,-1.548000,0.245000,22.900000,10.900000,-69.100000
17926,173768946,288017,185.969701000,0.293962500,-0.231000,-1.520000,0.268000,20.500000,-9.100000,-49.100000
17927,173778591,297662,185.976628100,0.300889600,0.042000,-1.267000,0.131000,42.700000,-48.200000,-38.400000
17928,173788510,307581,185.982889300,0.307150800,0.105000,-1.346000,-0.165000,78.500000,-92.500000,-32.200000
17929,173798093,317164,185.997568600,0.321830100,-0.059000,-1.433000,-0.070000,99.100000,-130.400000,-2.800000
17930,173807371,326442,185.998916200,0.323177700,-0.354000,-1.446000,0.221000,108.400000,-145.000000,21.200000
17931,173817412,336483,186.013372100,0.337633600,-0.688000,-1.419000,0.480000,96.100000,-123.500000,39.400000
17932,173827300,346371,186.020157400,0.344418900,-0.953000,-1.271000,0.750000,65.400000,-35.500000,49.700000
17933,173836273,355344,186.032645500,0.356907000,-0.934000,-0.922000,0.908000,38.400000,28.500000,42.200000
17934,173845887,364958,186.042987900,0.367249400,-0.750000,-0.619000,1.001000,26.300000,83.400000,25.600000
17935,173856020,375091,186.053286100,0.377547600,-0.600000,-0.517000,0.961000,25.600000,127.000000,8.300000
17936,173865603,384674,186.057985900,0.382247400,0.354000,-0.705000,-0.261000,4.800000,-44.800000,48.500000
17937,173874729,393800,186.072827200,0.397088700,-0.297000,-0.609000,-0.031000,-19.300000,-24.600000,63.500000
17938,173884495,403566,186.080604200,0.404865700,-1.512000,-0.696000,0.157000,-36.500000,30.000000,83.400000
17939,173894444,413515,186.090161100,0.414422600,-0.483000,-0.112000,0.202000,-38.700000,55.600000,58.700000
17940,173903570,422641,186.102971400,0.427232900,-0.535000,-0.033000,0.192000,-17.500000,64.400000,19.400000
17941,173913153,432224,186.104491900,0.428753400,-0.340000,-0.331000,0.184000,2.900000,64.800000,2.200000
17942,173923164,442235,186.118282700,0.442544200,-0.219000,-0.748000,0.013000,3.200000,56.300000,-14.900000
17943,173932930,452001,186.127238700,0.451500200,0.019000,-1.100000,-0.371000,-17.700000,28.300000,21.800000
17944,173942025,461096,186.132532600,0.456794100,0.216000,-1.014000,-0.335000,-35.800000,-28.600000,42.700000
17945,173951700,470771,186.148709000,0.472970500,-0.048000,-0.867000,-0.064000,-37.500000,-78.200000,55.200000
17946,173961649,480720,186.154987600,0.479249100,-0.540000,-0.788000,0.202000,-28.700000,-86.800000,57.700000
17947,173970958,490029,186.165365100,0.489626600,-0.889000,-0.793000,0.358000,-30.300000,-58.700000,58.900000
17948,173980480,499551,186.179711100,0.503972600,-0.814000,-0.540000,0.422000,-16.900000,-37.900000,45.900000
17949,173990521,509592,186.185169500,0.509431000,-0.554000,-0.261000,0.385000,15.900000,-35.400000,20.600000
17950,174000257,519328,186.192703300,0.516964800,-0.538000,-0.498000,0.334000,42.500000,-35.400000,-0.900000
17951,174009352,528423,186.207614000,0.531875500,-0.661000,-0.803000,0.298000,46.200000,-29.700000,-7.800000
17952,174018905,537976,186.208418900,0.532680400,-0.701000,-0.926000,0.298000,35.700000,-23.200000,-4.800000
17953,174029068,548139,186.224209500,0.548471000,-0.710000,-0.921000,0.326000,24.000000,-16.100000,2.200000
17954,174038590,557661,186.230209100,0.554470600,-0.718000,-0.902000,0.364000,13.800000,-8.700000,8.600000
17955,174047777,566848,186.241620000,0.565881500,-0.691000,-0.833000,0.401000,5.000000,-2.000000,9.400000
17956,174058001,577072,186.253145800,0.577407300,-0.648000,-0.772000,0.414000,-0.200000,3.000000,0.000000
17957,174067493,586564,186.264339200,0.588600700,-0.620000,-0.748000,0.413000,-4.800000,7.000000,-5.900000
17958,174076649,595720,186.269052300,0.593313800,-0.605000,-0.736000,0.405000,-7.200000,7.300000,-8.300000
17959,174086263,605334,186.282769400,0.607030900,-0.567000,-0.723000,0.386000,-9.300000,6.200000,-11.900000
17960,174096304,615375,186.290133500,0.614395000,-0.536000,-0.726000,0.360000,-10.700000,3.400000,-15.900000
17961,174105765,624836,186.298707100,0.622968600,-0.532000,-0.735000,0.333000,-11.800000,1.000000,-17.400000
17962,174115104,634175,186.316903500,0.641165000,-0.529000,-0.736000,0.315000,-12.000000,-0.400000,-17.400000
17963,174125237,644308,186.320081300,0.644342800,-0.514000,-0.755000,0.307000,-12.400000,-2.200000,-18.400000
17964,174134789,653860,186.327841600,0.652103100,-0.509000,-0.782000,0.309000,-13.900000,-3.700000,-19.500000
17965,174143915,662986,186.342474500,0.666736000,-0.529000,-0.800000,0.316000,-16.600000,-4.200000,-21.000000
17966,174153529,672600,186.343202700,0.667464200,-0.539000,-0.814000,0.321000,-20.000000,-3.900000,-22.100000
17967,174163570,682641,186.358647800,0.682909300,-0.544000,-0.836000,0.304000,-24.000000,-4.200000,-21.600000
17968,174173397,692468,186.365133700,0.689395200,-0.561000,-0.840000,0.293000,-29.000000,-3.400000,-19.400000
17969,174182401,701472,186.374247100,0.698508600,-0.562000,-0.836000,0.297000,-32.600000,-3.100000,-18.900000
17970,174192442,711513,186.393226300,0.717487800,-0.563000,-0.826000,0.302000,-35.200000,-3.300000,-20.900000
17971,174202056,721127,186.395633100,0.719894600,-0.569000,-0.823000,0.310000,-37.100000,-2.800000,-22.700000
17972,174211242,730313,186.411875600,0.736137100,-0.571000,-0.790000,0.301000,-37.300000,-3.600000,-20.500000
17973,174220856,739927,186.417972900,0.742234400,-0.567000,-0.727000,0.289000,-26.100000,-3.200000,-22.600000
17974,174231050,750121,186.426251300,0.750512800,-0.544000,-0.702000,0.268000,-15.100000,-3.200000,-26.700000
