meta_label,K
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
40238,2278685277,0,2295.335127800,0.000000000,-0.702000,-0.715000,0.462000,-12.900000,-4.600000,7.300000
40239,2278694342,9065,2295.353663400,0.018535600,-0.629000,-0.642000,0.424000,-5.000000,-2.200000,12.200000
40240,2278703986,18709,2295.353886600,0.018758800,-0.568000,-0.570000,0.404000,8.800000,-3.900000,6.400000
40241,2278714149,28872,2295.366092500,0.030964700,-0.523000,-0.575000,0.409000,25.400000,-7.600000,-9.000000
40242,2278723854,38577,2295.372356100,0.037228300,-0.521000,-0.628000,0.440000,41.200000,-11.300000,-13.200000
40243,2278732827,47550,2295.390446900,0.055319100,-0.520000,-0.720000,0.501000,55.000000,-11.500000,-31.200000
40244,2278742594,57317,2295.395051300,0.059923500,-0.557000,-0.850000,0.528000,59.100000,-4.700000,-29.300000
40245,2278752543,67266,2295.402249500,0.067121700,-0.528000,-0.957000,0.522000,42.000000,12.600000,-37.700000
40246,2278761699,76422,2295.417899600,0.082771800,-0.476000,-0.989000,0.485000,29.000000,26.400000,-38.700000
40247,2278771313,86036,2295.417911900,0.082784100,-0.107000,-1.046000,-0.158000,-13.900000,-39.400000,70.200000
40248,2278781232,95955,2295.433131400,0.098003600,-0.290000,-0.953000,0.172000,-23.700000,-36.500000,58.500000
40249,2278791029,105752,2295.440426200,0.105298400,-0.339000,-0.880000,0.297000,-29.100000,-40.200000,85.400000
40250,2278800093,114816,2295.450914800,0.115787000,-0.424000,-0.358000,0.315000,-21.600000,-44.800000,65.400000
40251,2278809768,124491,2295.463113200,0.127985400,-0.670000,-0.334000,0.052000,-3.500000,-51.400000,28.700000
40252,2278819809,134532,2295.470372400,0.135244600,-1.177000,-0.524000,-0.102000,-17.600000,14.000000,13.700000
40253,2278829179,143902,2295.477714000,0.142586200,-0.701000,-0.148000,0.063000,-24.800000,59.200000,4.300000
40254,2278838610,153333,2295.493109400,0.157981600,-0.698000,-0.250000,0.097000,-20.600000,87.400000,-25.300000
40255,2278848681,163404,2295.508116500,0.172988700,-0.554000,-0.495000,0.137000,-32.100000,106.900000,-57.500000
40256,2278858387,173110,2295.508718200,0.173590400,-0.520000,-0.777000,0.165000,-62.500000,116.900000,-54.700000
