meta_label,k
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
11758,114464161,0,119.568592700,0.000000000,-0.139000,-1.145000,0.151000,11.400000,1.200000,-0.800000
11759,114473561,9400,119.575933000,0.007340300,-0.111000,-1.109000,0.178000,13.000000,2.100000,4.400000
11760,114482870,18709,119.592226300,0.023633600,-0.094000,-1.047000,0.227000,21.400000,3.000000,4.600000
11761,114492544,28383,119.597723900,0.029131200,-0.083000,-1.028000,0.269000,33.700000,4.300000,6.800000
11762,114502738,38577,119.610353700,0.041761000,-0.098000,-1.056000,0.323000,48.600000,9.800000,8.500000
11763,114511833,47672,119.619958100,0.051365400,-0.151000,-1.130000,0.383000,55.600000,20.100000,10.900000
11764,114521325,57164,119.635331800,0.066739100,-0.182000,-1.105000,0.460000,52.900000,35.100000,11.700000
11765,114531305,67144,119.635340900,0.066748200,-0.201000,-1.090000,0.488000,39.100000,52.600000,12.300000
11766,114541132,76971,119.644887700,0.076295000,-0.181000,-1.003000,0.518000,23.100000,69.700000,6.900000
11767,114550166,86005,119.650447100,0.081854400,-0.163000,-0.998000,0.475000,-3.400000,82.700000,2.900000
11768,114559749,95588,119.669072000,0.100479300,-0.030000,-0.829000,-0.425000,-17.200000,47.200000,3.600000
11769,114569913,105752,119.672429700,0.103837000,0.176000,-0.155000,0.269000,-10.800000,-62.800000,22.700000
11770,114579374,115213,119.680077600,0.111484900,-0.407000,-1.323000,0.098000,-5.600000,-89.800000,-3.300000
11771,114588621,124460,119.695171600,0.126578900,-0.716000,-1.129000,-0.031000,-68.500000,-47.900000,25.500000
11772,114598754,134593,119.704032400,0.135439700,-0.485000,-0.685000,0.059000,-104.600000,-27.700000,36.500000
11773,114608368,144207,119.710184300,0.141591600,-0.586000,-0.528000,0.107000,-130.800000,-4.000000,2.500000
11774,114617463,153302,119.725180900,0.156588200,-0.428000,-0.184000,0.210000,-123.100000,10.100000,-46.400000
11775,114627077,162916,119.725188600,0.156595900,-0.478000,-0.295000,0.185000,-110.100000,18.500000,-80.200000
11776,114637148,172987,119.741683500,0.173090800,-0.442000,-0.472000,0.187000,-106.100000,28.400000,-97.300000
11777,114646701,182540,119.747433800,0.178841100,-0.249000,-0.571000,0.204000,-93.800000,22.100000,-102.500000
11778,114655979,191818,119.755038200,0.186445500,-0.102000,-0.657000,0.164000,-66.800000,14.700000,-99.100000
11779,114666112,201951,119.769800700,0.201208000,-0.041000,-0.878000,0.086000,-35.400000,9.900000,-86.200000
11780,114675573,211412,119.785984500,0.217391800,-0.009000,-1.141000,0.059000,-11.300000,7.800000,-67.400000
11781,114684759,220598,119.786001100,0.217408400,0.054000,-1.251000,0.083000,21.600000,2.400000,-48.400000
11782,114694373,230212,119.804796100,0.236203400,0.143000,-1.311000,0.064000,68.200000,-0.700000,-46.900000
11783,114704445,240284,119.807457600,0.238864900,0.225000,-1.780000,0.046000,100.300000,4.400000,-42.400000
11784,114714120,249959,119.815958200,0.247365500,0.018000,-1.987000,-0.067000,48.600000,-3.200000,-7.200000
11785,114723306,259145,119.842804200,0.274211500,0.089000,-1.797000,-0.060000,39.400000,30.100000,17.400000
11786,114732981,268820,119.843090400,0.274497700,0.282000,-1.688000,0.020000,67.200000,38.600000,40.800000
11787,114743144,278983,119.845035900,0.276443200,0.255000,-1.661000,0.038000,107.200000,63.200000,63.900000
11788,114752086,287925,119.862196500,0.293603800,0.295000,-1.851000,0.052000,112.600000,68.000000,76.200000
11789,114761731,297570,119.862205300,0.293612600,0.390000,-1.817000,0.068000,85.100000,58.100000,87.500000
11790,114771833,307672,119.877228700,0.308636000,0.382000,-1.706000,0.078000,21.600000,40.700000,107.000000
11791,114781447,317286,119.882876200,0.314283500,0.265000,-1.423000,0.095000,-17.800000,23.000000,124.700000
11792,114790511,326350,119.890109300,0.321516600,0.105000,-1.004000,0.150000,-45.900000,5.400000,129.500000
11793,114800125,335964,119.905139300,0.336546600,-0.099000,-0.421000,0.218000,-63.500000,-12.600000,116.700000
11794,114810227,346066,119.915229700,0.346637000,-0.347000,-0.110000,0.282000,-75.200000,-30.000000,88.800000
11795,114819383,355222,119.919703300,0.351110600,-0.654000,0.095000,0.357000,-80.300000,-47.100000,54.400000
11796,114828997,364836,119.942969800,0.374377100,-0.995000,0.562000,0.359000,-63.800000,-66.500000,10.900000
11797,114839038,374877,119.943610600,0.375017900,-1.041000,0.044000,0.322000,-6.400000,-31.600000,-30.600000
11798,114848652,384491,119.953687700,0.385095000,-1.050000,-0.105000,0.330000,-43.000000,-50.800000,-44.200000
11799,114857838,393677,119.965097800,0.396505100,-1.016000,-0.038000,0.310000,-42.400000,-42.200000,-82.200000
11800,114867483,403322,119.966223100,0.397630400,-0.877000,-0.133000,0.189000,-27.400000,-27.000000,-116.900000
11801,114877493,413332,119.979937100,0.411344400,-0.636000,-0.478000,0.090000,4.200000,9.000000,-128.600000
11802,114887046,422885,119.994415600,0.425822900,-0.304000,-0.864000,0.028000,20.800000,25.700000,-125.600000
11803,114896355,432194,119.994644000,0.426051300,0.099000,-1.258000,-0.029000,17.800000,34.500000,-107.700000
11804,114906396,442235,120.011803400,0.443210700,0.385000,-1.513000,-0.107000,15.500000,43.100000,-71.400000
11805,114916131,451970,120.017611200,0.449018500,0.608000,-1.440000,-0.058000,31.100000,50.400000,-32.300000
11806,114925196,461035,120.029597800,0.461005100,0.861000,-1.784000,-0.119000,35.700000,42.000000,1.000000
11807,114934749,470588,120.040159600,0.471566900,0.446000,-1.843000,-0.234000,-16.500000,60.300000,45.700000
11808,114945003,480842,120.048692000,0.480099300,0.552000,-1.519000,-0.066000,-51.600000,69.600000,76.400000
11809,114954251,490090,120.054730300,0.486137600,0.397000,-1.396000,-0.014000,-67.300000,69.600000,90.200000
11810,114963621,499460,120.070708800,0.502116100,0.272000,-1.372000,0.022000,-81.400000,68.700000,95.900000
11811,114973631,509470,120.077480100,0.508887400,0.132000,-1.417000,0.077000,-103.600000,61.600000,102.000000
11812,114983306,519145,120.087110300,0.518517600,-0.038000,-1.235000,0.131000,-122.400000,50.500000,104.700000
11813,114992462,528301,120.100195400,0.531602700,-0.226000,-0.838000,0.142000,-119.800000,39.100000,94.700000
11814,115002106,537945,120.101164900,0.532572200,-0.423000,-0.253000,0.130000,-85.500000,30.800000,70.900000
11815,115012025,547864,120.115093000,0.546500300,-0.604000,0.105000,0.089000,14.300000,33.400000,32.100000
11816,115021578,557417,120.126351900,0.557759200,-0.512000,0.011000,-0.120000,75.600000,24.500000,-2.400000
11817,115030948,566787,120.129997000,0.561404300,-0.217000,-0.398000,-0.556000,106.600000,-11.700000,-20.900000
11818,115040928,576767,120.146029000,0.577436300,0.007000,-1.078000,-0.595000,89.100000,-65.300000,-9.600000
11819,115050755,586594,120.152125500,0.583532800,-0.119000,-1.520000,-0.262000,54.600000,-105.700000,12.900000
11820,115059728,595567,120.163207100,0.594614400,-0.441000,-1.305000,0.025000,28.400000,-121.100000,26.800000
11821,115069372,605211,120.175341100,0.606748400,-0.610000,-1.085000,0.200000,10.500000,-114.300000,24.100000
11822,115079536,615375,120.186023700,0.617431000,-0.631000,-0.934000,0.274000,2.100000,-96.600000,16.600000
11823,115088997,624836,120.189694000,0.621101300,-0.576000,-0.812000,0.276000,5.600000,-76.800000,5.800000
11824,115098214,634053,120.204960100,0.636367400,-0.470000,-0.812000,0.261000,16.100000,-59.500000,-7.000000
11825,115108041,643880,120.212426000,0.643833300,-0.402000,-0.944000,0.263000,21.800000,-45.200000,-16.500000
11826,115117838,653677,120.220342300,0.651749600,-0.337000,-1.056000,0.288000,18.300000,-24.800000,-17.000000
11827,115127116,662955,120.238326500,0.669733800,-0.250000,-1.093000,0.319000,11.700000,-13.900000,-16.500000
11828,115136700,672539,120.238700600,0.670107900,-0.194000,-1.103000,0.347000,3.000000,-4.900000,-14.300000
11829,115146680,682519,120.251835800,0.683243100,-0.134000,-1.070000,0.318000,0.100000,0.400000,-11.700000
11830,115156568,692407,120.262128300,0.693535600,-0.100000,-0.988000,0.229000,1.200000,2.800000,-10.100000
11831,115165510,701349,120.264826900,0.696234200,-0.088000,-0.977000,0.190000,5.000000,4.000000,-9.100000
11832,115175155,710994,120.279877000,0.711284300,-0.095000,-1.004000,0.159000,7.700000,4.300000,-6.700000
