meta_label,k
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
13215,128472658,0,183.471196400,0.000000000,-0.283000,-0.983000,0.213000,2.200000,1.600000,12.200000
13216,128482271,9613,183.471208000,0.000011600,-0.276000,-0.965000,0.237000,8.500000,4.700000,11.200000
13217,128492343,19685,183.487156600,0.015960200,-0.261000,-0.979000,0.270000,20.100000,4.500000,9.600000
13218,128501865,29207,183.489245400,0.018049000,-0.265000,-1.018000,0.321000,29.700000,1.500000,6.700000
13219,128511204,38546,183.496718600,0.025522200,-0.263000,-0.972000,0.352000,45.400000,-3.300000,6.600000
13220,128521246,48588,183.519589200,0.048392800,-0.239000,-0.880000,0.338000,67.700000,-6.900000,-0.700000
13221,128530920,58262,183.526787900,0.055591500,0.173000,-1.374000,-0.382000,46.100000,-65.700000,35.800000
13222,128539985,67327,183.526989100,0.055792700,-0.034000,-1.047000,0.067000,46.600000,-68.300000,30.800000
13223,128549599,76941,183.549028300,0.077831900,-0.519000,-1.248000,0.064000,22.200000,-62.700000,36.100000
13224,128562264,89606,183.549459600,0.078263200,-0.735000,-1.193000,-0.038000,-27.400000,-13.500000,47.300000
13225,128569345,96687,183.558258500,0.087062100,-0.625000,-0.909000,0.024000,-48.500000,2.600000,60.000000
13226,128578501,105843,183.571461500,0.100265100,-0.152000,-0.187000,0.183000,-35.200000,11.200000,32.400000
13227,128588176,115518,183.582314100,0.111117700,-0.181000,-0.144000,0.179000,2.000000,5.900000,-26.200000
13228,128598095,125437,183.586619500,0.115423100,-0.235000,-0.256000,0.160000,35.000000,8.200000,-53.900000
13229,128607281,134623,183.603101200,0.131904800,-0.518000,-0.729000,-0.055000,48.900000,39.900000,-60.500000
13230,128616956,144298,183.603556400,0.132360000,-0.527000,-1.341000,-0.070000,-43.500000,64.500000,-30.700000
13231,128626936,154278,183.619742600,0.148546200,-0.139000,-1.077000,0.087000,-88.300000,65.700000,-22.700000
13232,128636794,164136,183.623870900,0.152674500,0.004000,-0.954000,0.130000,-124.000000,56.700000,-35.900000
13233,128645737,173079,183.631556100,0.160359700,-0.020000,-0.901000,0.189000,-149.700000,45.500000,-44.100000
13234,128655411,182753,183.646604500,0.175408100,-0.120000,-0.881000,0.199000,-159.600000,35.000000,-55.400000
13235,128665514,192856,183.663153700,0.191957300,-0.157000,-0.768000,0.193000,-155.900000,25.100000,-64.300000
13236,128674609,201951,183.663176500,0.191980100,-0.158000,-0.620000,0.159000,-126.200000,12.700000,-72.100000
13237,128684253,211595,183.684574900,0.213378500,-0.197000,-0.631000,0.074000,-73.900000,0.000000,-70.200000
13238,128697193,224535,183.685062900,0.213866500,-0.200000,-0.957000,-0.008000,3.400000,-6.800000,-81.700000
13239,128704182,231524,183.696621800,0.225425400,-0.233000,-1.116000,-0.025000,19.000000,-7.000000,-85.000000
