meta_label,k
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
41137,396943120,0,401.824324100,0.000000000,-0.132000,-1.183000,0.206000,-1.600000,2.100000,-31.900000
41138,396952306,9186,401.834033800,0.009709700,-0.141000,-1.161000,0.239000,-10.400000,4.400000,-24.900000
41139,396961920,18800,401.857954300,0.033630200,-0.133000,-1.125000,0.278000,-18.000000,8.400000,-17.700000
41140,396971991,28871,401.858250500,0.033926400,-0.108000,-1.078000,0.308000,-16.300000,13.000000,-15.700000
41141,396981605,38485,401.872748200,0.048424100,-0.074000,-1.006000,0.318000,-5.500000,16.800000,-18.300000
41142,396990853,47733,401.884325900,0.060001800,-0.052000,-0.986000,0.316000,10.000000,18.100000,-19.500000
41143,397000436,57316,401.884549700,0.060225600,-0.058000,-1.041000,0.328000,25.100000,16.300000,-20.100000
41144,397010416,67296,401.899454600,0.075130500,-0.095000,-1.128000,0.375000,33.300000,13.800000,-14.200000
41145,397019755,76635,401.899964000,0.075639900,-0.152000,-1.146000,0.428000,32.200000,15.700000,-6.600000
41146,397029247,86127,401.906668400,0.082344300,-0.170000,-1.081000,0.480000,29.900000,25.600000,-8.200000
41147,397039227,96107,401.921882400,0.097558300,-0.155000,-1.046000,0.513000,31.700000,40.400000,-23.300000
41148,397048963,105843,401.935591700,0.111267600,-0.108000,-1.084000,0.526000,32.800000,61.100000,-28.400000
41149,397058058,114938,401.938257400,0.113933300,0.402000,-1.420000,-0.059000,20.400000,37.800000,80.100000
41150,397067672,124552,401.952174100,0.127850000,0.062000,-1.267000,-0.025000,-25.200000,-46.400000,50.800000
41151,397077835,134715,401.959323200,0.134999100,-0.188000,-1.195000,0.257000,-33.200000,-45.000000,67.300000
41152,397087265,144145,401.971582900,0.147258800,-0.278000,-0.738000,0.015000,-23.000000,-26.400000,45.400000
41153,397096605,153485,401.981863500,0.157539400,-0.445000,-0.874000,0.100000,-56.200000,-4.200000,43.000000
41154,397106707,163587,401.989932700,0.165608600,-0.173000,-0.267000,0.178000,-32.200000,-0.800000,-0.400000
41155,397116259,173139,401.997027900,0.172703800,-0.128000,-0.176000,0.171000,0.900000,-1.400000,-50.700000
41156,397125385,182265,402.012486400,0.188162300,-0.106000,-0.365000,0.102000,31.700000,-1.000000,-99.600000
41157,397135029,191909,402.012711100,0.188387000,-0.796000,-1.697000,-0.341000,-92.400000,29.800000,-62.000000
41158,397145101,201981,402.029413100,0.205089000,0.069000,-0.308000,0.221000,-160.100000,40.900000,-19.300000
41159,397154837,211717,402.034668100,0.210344000,-0.059000,-0.176000,0.148000,-141.800000,35.700000,-53.200000
41160,397163901,220781,402.042836200,0.218512100,-0.111000,-0.033000,0.109000,-117.000000,36.800000,-70.300000
41161,397173820,230700,402.065743900,0.241419800,-0.170000,-0.196000,0.119000,-98.700000,41.400000,-92.300000
41162,397183495,240375,402.065754200,0.241430100,-0.003000,-0.560000,0.134000,-90.100000,32.500000,-107.200000
41163,397192956,249836,402.072314600,0.247990500,0.144000,-0.768000,0.156000,-77.800000,13.300000,-106.900000
41164,397202356,259236,402.087874600,0.263550500,0.023000,-1.104000,0.083000,-63.800000,3.700000,-95.700000
41165,397212428,269308,402.094522600,0.270198500,0.009000,-1.198000,0.075000,-42.800000,-3.000000,-92.400000
41166,397222042,278922,402.104224000,0.279899900,-0.073000,-1.392000,0.009000,-15.200000,-0.800000,-91.400000
41167,397231137,288017,402.118271500,0.293947400,-0.105000,-1.412000,-0.049000,16.100000,11.000000,-90.100000
41168,397240873,297753,402.127247600,0.302923500,-0.008000,-1.393000,-0.091000,64.800000,27.600000,-93.900000
41169,397250944,307824,402.132176000,0.307851900,0.287000,-1.975000,-0.029000,85.900000,41.800000,-95.900000
41170,397260039,316919,402.146737300,0.322413200,0.456000,-1.998000,-0.012000,26.700000,30.100000,-65.500000
41171,397269653,326533,402.147322200,0.322998100,0.356000,-1.599000,-0.191000,-11.900000,25.200000,-24.100000
41172,397279664,336544,402.163869000,0.339544900,0.974000,-1.314000,0.031000,83.400000,34.300000,23.400000
41173,397289399,346279,402.169455700,0.345131600,0.648000,-1.762000,-0.066000,131.300000,36.900000,67.700000
41174,397298433,355313,402.184119100,0.359795000,0.683000,-1.932000,-0.041000,109.300000,34.700000,94.600000
41175,397308627,365507,402.191816400,0.367492300,0.595000,-1.701000,-0.051000,72.800000,26.700000,114.500000
41176,397318119,374999,402.207912000,0.383587900,0.399000,-1.246000,-0.012000,56.600000,25.200000,122.400000
41177,397327397,384277,402.208333300,0.384009200,0.234000,-0.899000,0.028000,48.900000,24.600000,120.900000
41178,397336980,393860,402.223247900,0.398923800,0.088000,-0.724000,0.103000,33.000000,16.800000,105.800000
41179,397346991,403871,402.229573600,0.405249500,-0.071000,-0.559000,0.150000,16.100000,5.600000,96.200000
41180,397356604,413484,402.244605600,0.420281500,-0.280000,-0.288000,0.198000,-3.000000,-5.300000,90.600000
41181,397365791,422671,402.253534600,0.429210500,-0.474000,-0.065000,0.284000,-19.700000,-18.300000,72.300000
41182,397375435,432315,402.253546900,0.429222800,-0.722000,0.271000,0.420000,-23.100000,-38.000000,40.100000
41183,397385354,442234,402.277208300,0.452884200,-1.232000,0.638000,0.242000,24.800000,-27.800000,1.800000
41184,397394877,451757,402.277217900,0.452893800,-0.989000,-0.760000,0.198000,40.100000,0.800000,-50.300000
41185,397404216,461096,402.290604900,0.466280800,-0.946000,-0.064000,0.394000,-70.100000,-13.200000,-37.200000
41186,397414379,471259,402.296983200,0.472659100,-0.769000,-0.144000,0.335000,-46.200000,-19.700000,-80.700000
41187,397423993,480873,402.313557600,0.489233500,-0.649000,-0.289000,0.165000,-24.200000,1.900000,-103.200000
41188,397433057,489937,402.319381400,0.495057300,-0.320000,-0.569000,0.124000,-3.000000,18.400000,-111.500000
41189,397442732,499612,402.327698100,0.503374000,0.121000,-1.119000,0.000000,7.700000,32.400000,-100.900000
41190,397452620,509500,402.341733100,0.517409000,0.586000,-1.475000,-0.054000,17.300000,38.200000,-71.300000
41191,397462356,519236,402.342904200,0.518580100,0.907000,-1.571000,-0.054000,40.000000,45.700000,-26.500000
41192,397471543,528423,402.353569300,0.529245200,1.171000,-1.779000,-0.011000,61.900000,39.600000,19.100000
41193,397481706,538586,402.364513400,0.540189300,1.045000,-1.998000,-0.334000,-4.100000,36.700000,64.800000
41194,397491228,548108,402.372214200,0.547890100,0.912000,-1.822000,-0.064000,-57.300000,37.800000,116.700000
41195,397500415,557295,402.379222700,0.554898600,0.589000,-1.509000,-0.038000,-77.400000,39.400000,135.900000
41196,397509967,566847,402.395000600,0.570676500,0.377000,-1.222000,0.075000,-88.000000,33.400000,129.000000
41197,397520222,577102,402.410621000,0.586296900,0.066000,-0.974000,0.105000,-91.300000,27.000000,110.900000
41198,397529683,586563,402.410629900,0.586305800,-0.218000,-0.526000,0.166000,-85.900000,23.100000,74.900000
41199,397538809,595689,402.426700100,0.602376000,-0.458000,-0.065000,0.195000,-49.800000,25.200000,42.000000
41200,397548942,605822,402.432276700,0.607952600,-0.525000,0.024000,0.197000,5.800000,27.700000,7.600000
41201,397558586,615466,402.442167100,0.617843000,-0.503000,-0.219000,0.159000,62.200000,21.100000,-14.000000
41202,397567650,624530,402.454334600,0.630010500,-0.360000,-0.610000,-0.061000,63.800000,-1.000000,-17.200000
41203,397577295,634175,402.454969300,0.630645200,0.020000,-0.847000,-0.438000,60.600000,-58.700000,0.400000
41204,397587488,644368,402.470233700,0.645909600,-0.128000,-1.144000,-0.268000,46.400000,-94.500000,17.500000
41205,397597011,653891,402.476939000,0.652614900,-0.400000,-1.130000,-0.061000,31.900000,-99.100000,30.900000
41206,397606228,663108,402.485948300,0.661624200,-0.447000,-0.992000,0.004000,31.000000,-92.500000,26.100000
41207,397616330,673210,402.507159700,0.682835600,-0.345000,-0.944000,-0.002000,39.500000,-86.400000,17.400000
41208,397625760,682640,402.507412500,0.683088400,-0.274000,-1.003000,-0.002000,47.900000,-82.000000,10.500000
41209,397635008,691888,402.514355400,0.690031300,-0.239000,-1.136000,0.063000,42.500000,-75.800000,11.700000
