meta_label,N
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
16946,164346232,0,181.375780400,0.000000000,-0.134000,-1.080000,0.005000,15.200000,34.900000,16.600000
16947,164356242,10010,181.380109600,0.004329200,-0.139000,-1.132000,0.018000,7.800000,30.100000,15.900000
16948,164365917,19685,181.389813700,0.014033300,-0.148000,-1.175000,0.050000,-1.700000,25.000000,15.800000
16949,164375165,28933,181.413406000,0.037625600,-0.193000,-1.152000,0.095000,-10.600000,23.400000,18.400000
16950,164384748,38516,181.413414600,0.037634200,-0.259000,-1.038000,0.163000,-13.900000,28.000000,22.000000
16951,164394820,48588,181.417874600,0.042094200,-0.358000,-0.839000,0.260000,-2.600000,40.800000,22.500000
16952,164404311,58079,181.440340500,0.064560100,-0.351000,-0.671000,0.320000,23.900000,57.400000,15.000000
16953,164413559,67327,181.440350500,0.064570100,-0.295000,-0.647000,0.323000,55.000000,72.000000,3.200000
16954,164423264,77032,181.441930400,0.066150000,-0.220000,-0.781000,0.282000,76.600000,81.500000,-8.900000
16955,164433305,87073,181.462625700,0.086845300,-0.138000,-0.992000,0.217000,80.500000,83.400000,-18.100000
16956,164442370,96138,181.466296600,0.090516200,-0.092000,-1.176000,0.132000,65.300000,80.600000,-8.500000
16957,164451984,105752,181.472235300,0.096454900,-0.064000,-1.279000,0.050000,36.200000,74.000000,4.800000
16958,164462177,115945,181.489192300,0.113411900,0.436000,-1.071000,-0.588000,3.300000,-11.900000,44.700000
16959,164471669,125437,181.492885200,0.117104800,0.447000,-1.137000,0.120000,-9.500000,-66.700000,53.500000
16960,164480917,134685,181.500084200,0.124303800,-0.083000,-1.259000,0.143000,-37.400000,-71.700000,93.500000
16961,164491110,144878,181.515252500,0.139472100,-0.928000,-0.695000,0.059000,-37.500000,-29.600000,54.800000
16962,164500511,154279,181.527231400,0.151451000,-0.425000,-0.337000,0.041000,-45.300000,-13.600000,45.200000
16963,164509697,163465,181.530379400,0.154599000,-0.650000,-0.254000,0.074000,-44.000000,11.600000,8.200000
16964,164519341,173109,181.546679500,0.170899100,-0.469000,-0.294000,0.102000,-40.200000,23.000000,-23.400000
16965,164529382,183150,181.553068300,0.177287900,-0.574000,-0.550000,0.073000,-51.300000,38.300000,-45.200000
16966,164539057,192825,181.560308300,0.184527900,-0.501000,-0.666000,0.094000,-73.300000,53.700000,-55.900000
16967,164548213,201981,181.575311400,0.199531000,-0.271000,-0.653000,0.132000,-86.300000,56.700000,-63.600000
16968,164557797,211565,181.575699600,0.199919200,-0.100000,-0.658000,0.141000,-82.200000,46.800000,-76.400000
16969,164567807,221575,181.590431400,0.214651000,-0.041000,-0.763000,0.116000,-68.800000,22.600000,-92.700000
16970,164577299,231067,181.598306900,0.222526500,-0.037000,-0.961000,0.053000,-47.100000,10.400000,-93.100000
16971,164586668,240436,181.605699700,0.229919300,0.013000,-1.100000,0.021000,-14.300000,-3.400000,-93.900000
16972,164596679,250447,181.624897500,0.249117100,-0.002000,-1.301000,0.000000,51.200000,-12.000000,-92.900000
16973,164606415,260183,181.627729700,0.251949300,-0.116000,-1.776000,-0.028000,88.600000,-11.000000,-87.000000
16974,164615449,269217,181.637044500,0.261264100,-0.265000,-1.934000,-0.032000,68.900000,1.000000,-57.000000
16975,164625093,278861,181.650590200,0.274809800,-0.356000,-1.723000,0.066000,13.300000,5.200000,-18.500000
16976,164635317,289085,181.660162300,0.284381900,0.371000,-1.677000,0.251000,87.600000,-32.700000,-23.300000
16977,164644595,298363,181.665318800,0.289538400,-0.108000,-1.994000,0.125000,123.700000,-55.600000,-13.700000
16978,164653935,307703,181.681415600,0.305635200,-0.125000,-1.998000,0.091000,120.600000,-50.300000,8.300000
16979,164663945,317713,181.688439800,0.312659400,-0.269000,-1.994000,0.046000,85.900000,-38.900000,44.000000
16980,164673650,327418,181.698788100,0.323007700,-0.179000,-1.754000,0.030000,50.000000,-25.700000,79.000000
16981,164682745,336513,181.711539200,0.335758800,-0.105000,-1.299000,0.054000,25.000000,-19.900000,84.200000
16982,164692390,346158,181.712352600,0.336572200,-0.127000,-0.928000,0.024000,8.000000,-15.500000,88.300000
16983,164702339,356107,181.725529300,0.349748900,-0.155000,-0.576000,0.014000,-10.400000,-2.700000,78.700000
16984,164712136,365904,181.736423100,0.360642700,-0.127000,-0.270000,0.028000,-35.000000,1.200000,61.400000
16985,164721201,374969,181.740166500,0.364386100,-0.105000,-0.073000,0.042000,-50.100000,2.200000,42.500000
16986,164731242,385010,181.756693400,0.380913000,-0.081000,0.158000,0.101000,-53.600000,0.100000,17.900000
16987,164740947,394715,181.762601400,0.386821000,-0.023000,0.390000,0.104000,-40.500000,-5.700000,-12.300000
16988,164750103,403871,181.771980200,0.396199800,-0.095000,0.112000,-0.027000,-28.700000,-0.900000,-39.300000
16989,164759717,413485,181.785299400,0.409519000,-0.426000,-0.356000,-0.040000,-69.800000,23.200000,-39.300000
16990,164769850,423618,181.793224400,0.417444000,-0.163000,-0.171000,0.075000,-105.100000,37.700000,-45.600000
16991,164779311,433079,181.800306500,0.424526100,0.057000,-0.145000,0.142000,-109.900000,31.900000,-65.700000
16992,164788528,442296,181.815108900,0.439328500,0.007000,-0.290000,0.103000,-103.400000,19.700000,-81.300000
16993,164798325,452093,181.822602200,0.446821800,-0.023000,-0.511000,0.065000,-90.700000,13.300000,-92.800000
16994,164808183,461951,181.837856400,0.462076000,-0.191000,-0.809000,0.041000,-88.100000,12.600000,-94.900000
16995,164817369,471137,181.845089700,0.469309300,-0.095000,-0.910000,0.053000,-69.300000,9.800000,-95.900000
16996,164827044,480812,181.845737200,0.469956800,-0.026000,-1.066000,0.028000,-24.900000,-12.300000,-93.900000
16997,164837024,490792,181.869294300,0.493513900,-0.019000,-1.394000,0.018000,58.300000,-27.200000,-88.000000
16998,164847248,501016,181.875476000,0.499695600,-0.009000,-1.952000,0.082000,98.000000,-42.000000,-75.600000
16999,164855855,509623,181.897749200,0.521968800,-0.067000,-1.998000,-0.134000,80.500000,-44.900000,-48.800000
17000,164865499,519267,181.923010300,0.547229900,-0.852000,-1.998000,-0.127000,24.700000,3.300000,9.300000
17001,164875540,529308,181.923020900,0.547240500,-0.254000,-1.998000,0.022000,24.900000,12.700000,59.300000
17002,164885063,538831,181.923207300,0.547426900,0.070000,-1.914000,0.092000,73.800000,2.800000,90.700000
17003,164900902,554670,181.951459500,0.575679100,-0.190000,-1.811000,0.066000,144.500000,7.600000,133.100000
17004,164922327,576095,181.951470500,0.575690100,-0.199000,-1.386000,0.102000,123.900000,41.200000,162.600000
17005,164926142,579910,181.951473900,0.575693500,-0.199000,-1.207000,0.107000,113.200000,40.500000,157.700000
17006,164930232,584000,181.965672800,0.589892400,-0.096000,-1.207000,0.073000,95.300000,37.800000,150.700000
17007,164944790,598558,181.965683600,0.589903200,-0.105000,-0.450000,0.063000,36.100000,32.900000,118.700000
17008,164948575,602343,181.968251300,0.592470900,-0.105000,-0.450000,0.069000,23.700000,29.900000,105.100000
17009,164952847,606615,181.987944700,0.612164300,-0.121000,-0.266000,0.053000,11.400000,26.700000,91.400000
17010,164967222,620990,181.988278000,0.612497600,-0.259000,0.214000,0.095000,-6.600000,22.900000,49.400000
17011,164971526,625294,181.995712300,0.619931900,-0.254000,0.369000,0.095000,-1.800000,19.600000,32.000000
17012,164981292,635060,182.010502100,0.634721700,-0.218000,0.527000,0.012000,14.700000,9.400000,-5.300000
17013,164990479,644247,182.010711400,0.634931000,-0.185000,0.181000,-0.198000,21.500000,-6.900000,-33.400000
17014,165000031,653799,182.021183800,0.645403400,-0.143000,-0.176000,-0.297000,8.900000,-31.500000,-46.700000
17015,165010195,663963,182.041227500,0.665447100,-0.319000,-0.427000,-0.238000,-10.300000,-49.400000,-49.700000
17016,165019686,673454,182.041648800,0.665868400,-0.413000,-0.575000,-0.138000,-29.300000,-59.700000,-50.000000
17017,165028934,682702,182.048582300,0.672801900,-0.420000,-0.630000,-0.065000,-44.800000,-65.000000,-52.500000
17018,165039066,692834,182.063063000,0.687282600,-0.369000,-0.654000,0.002000,-53.900000,-70.100000,-53.200000
17019,165048528,702296,182.073200000,0.697419600,-0.312000,-0.653000,0.065000,-51.400000,-77.900000,-52.900000
