meta_label,N
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25520,246785330,0,271.573082700,0.000000000,-0.573000,-0.890000,0.305000,17.100000,-14.500000,-18.700000
25521,246795371,10041,271.576376100,0.003293400,-0.585000,-0.862000,0.345000,15.800000,-10.900000,-16.500000
25522,246804466,19136,271.592460300,0.019377600,-0.572000,-0.794000,0.428000,23.100000,-5.400000,-14.400000
25523,246814080,28750,271.592472200,0.019389500,-0.546000,-0.722000,0.471000,40.600000,-0.500000,-18.800000
25524,246824243,38913,271.610871300,0.037788600,-0.574000,-0.741000,0.482000,61.400000,9.700000,-16.500000
25525,246833887,48557,271.612968300,0.039885600,-0.612000,-0.822000,0.478000,71.500000,35.600000,-12.900000
25526,246842952,57622,271.620653600,0.047570900,-0.603000,-0.926000,0.470000,69.800000,53.800000,-5.800000
25527,246853084,67754,271.644232900,0.071150200,-0.557000,-0.963000,0.435000,57.700000,70.800000,1.100000
25528,246862607,77277,271.644245700,0.071163000,-0.012000,-1.109000,-0.129000,8.200000,4.100000,50.900000
25529,246872220,86890,271.650709600,0.077626900,-0.256000,-0.881000,0.062000,-15.000000,-13.600000,39.900000
25530,246881407,96077,271.671927700,0.098845000,-0.335000,-0.950000,0.263000,-24.500000,-21.000000,57.800000
25531,246891509,106179,271.674262300,0.101179600,-0.556000,-0.572000,0.202000,-17.500000,-14.700000,39.100000
25532,246901031,115701,271.680740600,0.107657900,-0.772000,-0.694000,0.006000,-53.000000,-0.800000,47.200000
25533,246910218,124888,271.695669000,0.122586300,-0.829000,-0.472000,0.064000,-88.700000,41.000000,32.600000
25534,246919862,134532,271.696277500,0.123194800,-0.493000,-0.164000,0.210000,-91.100000,57.600000,15.000000
25535,246929934,144604,271.710628200,0.137545500,-0.552000,-0.245000,0.193000,-75.100000,64.700000,-10.300000
25536,246939395,154065,271.718307000,0.145224300,-0.601000,-0.485000,0.199000,-65.200000,71.200000,-28.000000
25537,246948765,163435,271.726212400,0.153129700,-0.659000,-0.751000,0.203000,-63.500000,76.000000,-36.500000
25538,246958775,173445,271.745946800,0.172864100,-0.683000,-0.954000,0.219000,-70.800000,80.700000,-33.600000
25539,246968480,183150,271.748391700,0.175309000,-0.529000,-0.947000,0.278000,-63.100000,64.100000,-30.800000
25540,246977545,192215,271.757295400,0.184212700,-0.250000,-0.837000,0.294000,-25.300000,27.700000,-39.800000
25541,246987189,201859,271.778087100,0.205004400,-0.358000,-0.961000,0.228000,13.700000,-0.900000,-43.500000
25542,246997352,212022,271.785237100,0.212154400,-0.531000,-1.164000,0.122000,46.700000,-17.000000,-42.300000
25543,247006875,221545,271.785244400,0.212161700,-0.987000,-1.985000,0.086000,11.500000,-1.600000,-5.000000
25544,247016031,230701,271.801920100,0.228837400,-0.974000,-1.572000,0.238000,-26.100000,11.000000,28.300000
25545,247025950,240620,271.807807300,0.234724600,0.534000,-0.568000,0.532000,55.700000,-69.500000,1.300000
25546,247035655,250325,271.819218800,0.246136100,-0.627000,-1.122000,0.272000,118.400000,-120.500000,-16.900000
25547,247044872,259542,271.832003900,0.258921200,-0.697000,-1.296000,0.261000,129.200000,-115.300000,-18.400000
25548,247054516,269186,271.832171300,0.259088600,-0.854000,-1.497000,0.099000,105.000000,-102.600000,-11.800000
25549,247064618,279288,271.845970800,0.272888100,-1.019000,-1.331000,-0.018000,56.700000,-58.400000,32.300000
25550,247074141,288811,271.856382800,0.283300100,-0.635000,-0.894000,0.091000,24.600000,-21.200000,44.300000
25551,247083297,297967,271.860976900,0.287894200,-0.473000,-0.651000,0.085000,13.800000,-15.400000,45.400000
25552,247093338,308008,271.880278300,0.307195600,-0.477000,-0.622000,0.052000,-15.700000,8.800000,38.100000
25553,247103013,317683,271.882740800,0.309658100,-0.252000,-0.345000,0.187000,-52.600000,8.900000,18.400000
25554,247112199,326869,271.897533900,0.324451200,-0.110000,-0.011000,0.179000,-35.800000,0.200000,-6.500000
25555,247121813,336483,271.906253700,0.333171000,-0.374000,-0.106000,-0.022000,-22.700000,13.600000,-14.100000
25556,247132037,346707,271.914064700,0.340982000,-0.728000,-0.640000,-0.057000,-41.200000,53.200000,-2.900000
25557,247141376,356046,271.928160300,0.355077600,-0.490000,-0.656000,0.027000,-64.700000,83.500000,0.100000
25558,247150624,365294,271.935666100,0.362583400,-0.488000,-0.715000,0.092000,-81.600000,99.100000,1.300000
25559,247160421,375091,271.952255800,0.379173100,-0.519000,-0.741000,0.144000,-91.200000,110.000000,-0.100000
25560,247170431,385101,271.957694100,0.384611400,-0.551000,-0.801000,0.195000,-92.800000,115.200000,-1.500000
25561,247179526,394196,271.958361400,0.385278700,-0.569000,-0.887000,0.221000,-88.900000,113.300000,-3.400000
25562,247189140,403810,271.980717300,0.407634600,-0.407000,-0.875000,0.270000,-74.400000,95.600000,-5.100000
25563,247201836,416506,271.981062400,0.407979700,-0.392000,-0.867000,0.226000,-20.400000,38.300000,-15.900000
25564,247208886,423556,271.989026500,0.415943800,-0.526000,-0.950000,0.195000,11.900000,8.800000,-21.200000
25565,247217951,432621,272.003873100,0.430790400,-0.905000,-1.219000,0.140000,20.800000,3.000000,-9.000000
25566,247227748,442418,272.011888100,0.438805400,-1.109000,-1.367000,0.082000,36.700000,8.400000,14.200000
25567,247237636,452306,272.029347900,0.456265200,-0.899000,-1.220000,0.225000,73.700000,-7.000000,29.800000
25568,247246823,461493,272.032618600,0.459535900,-0.479000,-1.044000,0.331000,124.300000,-50.900000,27.600000
25569,247256406,471076,272.047987100,0.474904400,-0.585000,-1.167000,0.314000,145.700000,-80.000000,22.700000
25570,247266478,481148,272.055034400,0.481951700,-0.735000,-1.184000,0.233000,141.400000,-84.700000,17.400000
25571,247277099,491769,272.056275700,0.483193000,-0.914000,-1.211000,0.062000,108.600000,-62.900000,21.200000
25572,247285278,499948,272.078776200,0.505693500,-0.820000,-0.950000,0.030000,56.900000,-29.000000,26.300000
25573,247299378,514048,272.081249900,0.508167200,-0.583000,-0.472000,0.095000,16.500000,-1.800000,17.800000
25574,247305055,519725,272.093188000,0.520105300,-0.568000,-0.378000,0.100000,8.700000,3.700000,6.700000
25575,247314364,529034,272.103768300,0.530685600,-0.463000,-0.245000,0.095000,-2.600000,11.800000,-6.300000
25576,247323672,538342,272.103776900,0.530694200,-0.359000,-0.133000,0.043000,-5.900000,11.500000,-17.000000
25577,247333744,548414,272.130579300,0.557496600,-0.231000,-0.268000,-0.161000,-4.000000,-12.300000,-20.900000
25578,247344365,559035,272.130727300,0.557644600,-0.241000,-0.522000,-0.239000,-22.900000,-33.600000,-14.000000
25579,247352727,567397,272.131695900,0.558613200,-0.441000,-0.582000,-0.182000,-35.200000,-41.200000,-9.200000
25580,247362158,576828,272.152714200,0.579631500,-0.556000,-0.601000,0.012000,-38.500000,-39.300000,-10.400000
25581,247374366,589036,272.153765200,0.580682500,-0.530000,-0.641000,0.067000,-35.400000,-35.900000,-14.800000
25582,247381782,596452,272.161633300,0.588550600,-0.477000,-0.721000,0.119000,-25.600000,-40.200000,-16.400000
25583,247390999,605669,272.178066300,0.604983600,-0.522000,-0.804000,0.190000,-13.700000,-44.600000,-16.200000
25584,247401071,615741,272.182907500,0.609824800,-0.642000,-0.902000,0.237000,-4.100000,-38.800000,-9.500000
25585,247410624,625294,272.200339200,0.627256500,-0.660000,-0.985000,0.247000,0.800000,-29.300000,1.800000
25586,247419841,634511,272.205687300,0.632604600,-0.612000,-1.018000,0.256000,2.900000,-22.600000,13.000000
25587,247429455,644125,272.206275500,0.633192800,-0.579000,-1.030000,0.278000,1.900000,-19.600000,22.700000
25588,247439374,654044,272.227732400,0.654649700,-0.578000,-1.009000,0.279000,-1.900000,-18.000000,28.300000
25589,247449445,664115,272.228654400,0.655571700,-0.580000,-0.935000,0.287000,-7.200000,-16.900000,29.800000
25590,247458326,672996,272.236760900,0.663678200,-0.593000,-0.856000,0.330000,-8.700000,-17.200000,27.900000
25591,247468368,683038,272.250361300,0.677278600,-0.617000,-0.801000,0.365000,-4.500000,-15.800000,22.200000
25592,247478103,692773,272.265772600,0.692689900,-0.646000,-0.776000,0.365000,-3.200000,-13.200000,16.200000
25593,247487168,701838,272.266031100,0.692948400,-0.653000,-0.758000,0.341000,-2.600000,-10.600000,10.100000
25594,247496782,711452,272.288231400,0.715148700,-0.636000,-0.737000,0.315000,-1.300000,-10.200000,4.000000
25595,247506975,721645,272.290222200,0.717139500,-0.631000,-0.688000,0.290000,2.100000,-10.200000,-1.100000
25596,247516559,731229,272.295085800,0.722003100,-0.644000,-0.698000,0.280000,6.600000,-10.500000,-6.200000
25597,247525593,740263,272.314555800,0.741473100,-0.651000,-0.715000,0.251000,10.100000,-9.700000,-12.100000
25598,247535389,750059,272.314564700,0.741482000,-0.645000,-0.746000,0.233000,12.500000,-8.600000,-17.000000
25599,247545278,759948,272.327101700,0.754019000,-0.626000,-0.774000,0.231000,12.900000,-7.500000,-22.000000
25600,247554800,769470,272.334373800,0.761291100,-0.610000,-0.789000,0.226000,13.400000,-5.800000,-26.800000
25601,247564078,778748,272.351045800,0.777963100,-0.589000,-0.817000,0.225000,14.300000,-5.800000,-28.800000
