meta_label,N
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
26079,252160085,0,298.474386400,0.000000000,-0.565000,-0.789000,0.419000,-3.900000,4.600000,-8.500000
26080,252170126,10041,298.484305600,0.009919200,-0.566000,-0.787000,0.420000,1.400000,9.700000,-10.200000
26081,252179648,19563,298.489845900,0.015459500,-0.514000,-0.800000,0.406000,7.300000,12.300000,-14.800000
26082,252188865,28780,298.506580100,0.032193700,-0.460000,-0.843000,0.400000,11.800000,11.600000,-10.900000
26083,252198510,38425,298.506589200,0.032202800,-0.446000,-0.915000,0.404000,11.100000,9.500000,-7.600000
26084,252208520,48435,298.519951200,0.045564800,-0.460000,-0.948000,0.427000,8.000000,8.000000,-0.400000
26085,252218012,57927,298.528500800,0.054114400,-0.506000,-0.895000,0.487000,6.800000,10.400000,6.900000
26086,252227382,67297,298.533907400,0.059521000,-0.539000,-0.844000,0.550000,10.700000,20.000000,14.400000
26087,252237392,77307,298.549488000,0.075101600,-0.557000,-0.846000,0.578000,12.900000,35.500000,19.400000
26088,252247098,87013,298.561310500,0.086924100,0.085000,-1.006000,-0.164000,-7.500000,-29.500000,72.400000
26089,252256193,96108,298.565314800,0.090928400,-0.507000,-1.211000,0.037000,-27.600000,-12.100000,72.900000
26090,252265837,105752,298.583228500,0.108842100,-0.695000,-1.138000,0.261000,-63.600000,4.200000,92.800000
26091,252275908,115823,298.586328500,0.111942100,-0.522000,-0.661000,0.336000,-57.000000,7.600000,78.900000
26092,252285400,125315,298.593884300,0.119497900,-0.290000,-0.085000,0.327000,-29.000000,-1.500000,50.700000
26093,252294617,134532,298.608919800,0.134533400,-0.360000,-0.009000,0.290000,4.200000,-7.500000,18.700000
26094,252304719,144634,298.624149500,0.149763100,-1.016000,-0.552000,-0.064000,13.400000,20.400000,-5.900000
26095,252314364,154279,298.624914300,0.150527900,-0.814000,-0.820000,0.003000,-34.700000,69.500000,4.900000
26096,252323550,163465,298.639550400,0.165164000,-0.384000,-0.530000,0.169000,-70.600000,81.800000,18.200000
26097,252333164,173079,298.639755400,0.165369000,-0.148000,-0.448000,0.266000,-82.500000,70.300000,9.300000
26098,252343236,183151,298.658230400,0.183844000,-0.146000,-0.535000,0.276000,-85.900000,49.600000,-5.300000
26099,252352758,192673,298.661687900,0.187301500,-0.205000,-0.697000,0.301000,-85.800000,31.600000,-7.900000
26100,252361944,201859,298.668605800,0.194219400,-0.233000,-0.821000,0.322000,-76.900000,10.500000,-11.300000
26101,252372138,212053,298.684387100,0.210000700,-0.378000,-0.853000,0.326000,-60.900000,-16.400000,-8.300000
26102,252381630,221545,298.696959000,0.222572600,-0.551000,-0.720000,0.357000,-0.400000,-26.600000,-9.600000
26103,252390877,230792,298.699302500,0.224916100,-0.700000,-0.664000,0.416000,60.000000,-34.800000,-20.400000
26104,252400461,240376,298.717062000,0.242675600,-0.875000,-1.040000,0.285000,84.800000,-34.300000,-30.300000
26105,252410471,250386,298.721381700,0.246995300,-1.506000,-1.867000,0.211000,43.900000,3.300000,-20.900000
26106,252420238,260153,298.734335800,0.259949400,-1.528000,-1.998000,0.235000,-4.000000,43.000000,0.000000
26107,252429271,269186,298.744249800,0.269863400,0.305000,-0.204000,0.971000,60.500000,21.500000,11.800000
26108,252439038,278953,298.753717900,0.279331500,-0.863000,-1.627000,0.416000,150.900000,-42.900000,-20.100000
26109,252449109,289024,298.767511200,0.293124800,-0.803000,-1.815000,0.358000,103.100000,-26.100000,3.600000
