meta_label,n
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
9033,1348520034,0,1365.331990400,0.000000000,-0.457000,-0.867000,0.183000,4.800000,3.000000,-5.100000
9034,1348529709,9675,1365.346657100,0.014666700,-0.485000,-0.867000,0.223000,4.900000,1.200000,-4.900000
9035,1348539781,19747,1365.355659400,0.023669000,-0.534000,-0.880000,0.278000,6.700000,3.100000,-8.400000
9036,1348549090,29056,1365.361232300,0.029241900,-0.582000,-0.890000,0.311000,8.800000,10.600000,-7.700000
9037,1348558490,38456,1365.378225400,0.046235000,-0.593000,-0.913000,0.324000,9.300000,21.900000,-8.100000
9038,1348568622,48588,1365.383789400,0.051799000,-0.603000,-0.939000,0.364000,7.100000,41.500000,-5.700000
9039,1348578175,58141,1365.391329600,0.059339200,-0.607000,-0.961000,0.383000,-2.800000,58.200000,-3.500000
9040,1348587362,67328,1365.406775000,0.074784600,0.049000,-0.975000,-0.444000,-5.000000,-2.400000,18.900000
9041,1348596975,76941,1365.407334800,0.075344400,-0.157000,-1.017000,0.069000,-19.400000,-28.000000,21.900000
9042,1348606925,86891,1365.421688200,0.089697800,-0.294000,-0.856000,0.060000,-16.100000,-26.500000,45.500000
9043,1348616630,96596,1365.430644800,0.098654400,-0.523000,-0.765000,0.082000,-9.000000,-1.500000,12.300000
9044,1348625817,105783,1365.436779900,0.104789500,-0.702000,-0.806000,-0.028000,-37.900000,16.300000,3.800000
9045,1348635919,115885,1365.455792000,0.123801600,-0.826000,-0.856000,0.006000,-74.100000,54.300000,-4.500000
9046,1348645563,125529,1365.458808800,0.126818400,-0.502000,-0.544000,0.125000,-89.700000,75.000000,-14.500000
9047,1348654628,134594,1365.468240000,0.136249600,-0.436000,-0.496000,0.125000,-83.500000,79.700000,-38.100000
9048,1348664241,144207,1365.481284400,0.149294000,-0.454000,-0.574000,0.112000,-79.100000,84.200000,-52.700000
9049,1348674283,154249,1365.494135800,0.162145400,-0.293000,-0.625000,0.122000,-67.200000,80.200000,-63.300000
9050,1348683927,163893,1365.496017100,0.164026700,-0.199000,-0.747000,0.107000,-44.700000,50.200000,-66.100000
9051,1348693113,173079,1365.512584100,0.180593700,-0.288000,-0.956000,0.087000,-25.600000,28.500000,-56.000000
9052,1348703246,183212,1365.518947900,0.186957500,-0.214000,-1.041000,0.077000,3.300000,2.100000,-48.000000
9053,1348712982,192948,1365.526795100,0.194804700,-0.280000,-1.093000,0.041000,28.900000,-20.900000,-38.100000
9054,1348721955,201921,1365.541640300,0.209649900,-0.528000,-1.171000,-0.017000,47.800000,-22.000000,-27.500000
9055,1348731569,211535,1365.542200200,0.210209800,-0.711000,-1.418000,0.053000,24.600000,-11.800000,-0.700000
9056,1348741640,221606,1365.556459300,0.224468900,-0.050000,-0.372000,0.279000,80.900000,-58.900000,-1.800000
9057,1348751285,231251,1365.564197200,0.232206800,-0.036000,-0.900000,0.262000,176.300000,-125.100000,-33.500000
9058,1348760379,240345,1365.572128400,0.240138000,-0.573000,-1.543000,0.098000,207.000000,-120.700000,-40.900000
9059,1348770512,250478,1365.588062100,0.256071700,-0.846000,-1.962000,-0.055000,168.000000,-79.700000,-2.400000
9060,1348780065,260031,1365.593637400,0.261647000,-0.823000,-1.985000,-0.053000,99.100000,-32.800000,35.100000
9061,1348789221,269187,1365.602424900,0.270434500,-0.514000,-1.673000,0.026000,44.800000,-8.300000,66.200000
9062,1348798865,278831,1365.616371300,0.284380900,-0.405000,-1.248000,0.072000,20.600000,1.500000,93.900000
9063,1348808967,288933,1365.625753200,0.293762800,-0.409000,-0.996000,0.037000,5.500000,19.400000,103.000000
9064,1348818490,298456,1365.631186200,0.299195800,-0.469000,-0.718000,0.046000,-23.100000,35.100000,100.500000
9065,1348827707,307673,1365.646523300,0.314532900,-0.370000,-0.354000,0.117000,-31.200000,39.800000,86.100000
9066,1348837381,317347,1365.654086100,0.322095700,-0.343000,-0.040000,0.217000,-26.600000,37.500000,61.900000
9067,1348847300,327266,1365.663581000,0.331590600,-0.377000,0.125000,0.226000,-16.500000,32.200000,25.300000
9068,1348856762,336728,1365.677772100,0.345781700,-0.438000,0.020000,0.178000,-9.700000,31.500000,-12.600000
9069,1348866223,346189,1365.678133900,0.346143500,-0.681000,-0.403000,0.121000,-26.100000,45.900000,-39.400000
9070,1348876050,356016,1365.691588000,0.359597600,-0.739000,-0.589000,0.176000,-62.200000,62.500000,-52.700000
9071,1348886000,365966,1365.700095600,0.368105200,-0.648000,-0.615000,0.239000,-87.000000,67.300000,-61.000000
9072,1348895034,375000,1365.706996600,0.375006200,-0.575000,-0.585000,0.254000,-88.500000,59.700000,-67.900000
9073,1348904678,384644,1365.728664800,0.396674400,-0.524000,-0.546000,0.206000,-66.000000,45.900000,-74.500000
9074,1348914750,394716,1365.729182400,0.397192000,-0.542000,-0.609000,0.129000,-34.100000,38.100000,-84.100000
9075,1348924302,404268,1365.744226700,0.412236300,-0.445000,-0.688000,0.104000,1.400000,27.600000,-92.400000
9076,1348933458,413424,1365.751588500,0.419598100,-0.336000,-0.862000,0.087000,37.100000,15.900000,-96.400000
9077,1348943652,423618,1365.761524500,0.429534100,-0.267000,-1.179000,0.028000,60.500000,2.400000,-93.600000
9078,1348953174,433140,1365.778579100,0.446588700,-0.162000,-1.438000,-0.392000,54.900000,-21.200000,-71.100000
9079,1348962361,442327,1365.778588200,0.446597800,0.108000,-1.543000,-0.439000,47.600000,-68.300000,-33.000000
9080,1348971975,451941,1365.781483300,0.449492900,-0.022000,-1.681000,-0.277000,34.800000,-105.700000,6.600000
9081,1348981924,461890,1365.799571200,0.467580800,-0.372000,-1.545000,-0.081000,17.900000,-116.900000,34.100000
9082,1348991538,471504,1365.803888800,0.471898400,-0.593000,-1.313000,0.078000,4.900000,-113.700000,51.300000
9083,1349000786,480752,1365.811258400,0.479268000,-0.697000,-1.011000,0.182000,-1.200000,-94.500000,55.700000
9084,1349010796,490762,1365.826699800,0.494709400,-0.627000,-0.737000,0.250000,5.800000,-73.800000,46.200000
9085,1349020440,500406,1365.837202700,0.505212300,-0.597000,-0.663000,0.254000,18.900000,-56.400000,28.800000
9086,1349029688,509654,1365.841411700,0.509421300,-0.591000,-0.741000,0.218000,25.100000,-41.200000,12.100000
9087,1349039210,519176,1365.856351000,0.524360600,-0.554000,-0.845000,0.208000,22.400000,-29.800000,-1.900000
9088,1349049282,529248,1365.864050100,0.532059700,-0.529000,-0.901000,0.241000,14.000000,-18.200000,-4.400000
