meta_label,v
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
47346,1086770870,0,1103.637769600,0.000000000,-0.255000,-1.028000,0.207000,35.200000,9.400000,-4.100000
47347,1086780484,9614,1103.644573500,0.006803900,-0.269000,-1.107000,0.234000,30.400000,11.200000,-1.000000
47348,1086790556,19686,1103.654784000,0.017014400,-0.290000,-1.131000,0.237000,23.700000,15.200000,3.600000
47349,1086800169,29299,1103.668747100,0.030977500,-0.285000,-0.959000,0.271000,26.000000,19.300000,8.100000
47350,1086809325,38455,1103.668756800,0.030987200,-0.284000,-0.868000,0.316000,38.900000,27.700000,4.000000
47351,1086819336,48466,1103.681669400,0.043899800,-0.300000,-0.875000,0.356000,52.900000,40.200000,-5.500000
47352,1086829102,58232,1103.693163800,0.055394200,-0.307000,-0.935000,0.348000,56.600000,58.600000,-10.900000
47353,1086838197,67327,1103.696149000,0.058379400,-0.243000,-0.945000,0.290000,48.000000,72.400000,-12.600000
47354,1086847811,76941,1103.714858200,0.077088600,0.090000,-0.831000,-0.327000,17.500000,-28.300000,12.000000
47355,1086857944,87074,1103.718581900,0.080812300,-0.045000,-1.047000,-0.012000,17.600000,-9.700000,39.400000
47356,1086867405,96535,1103.731195900,0.093426300,-0.136000,-0.962000,0.186000,12.900000,-15.900000,29.000000
47357,1086876622,105752,1103.751139900,0.113370300,-0.028000,-0.600000,0.194000,20.400000,-22.100000,2.100000
47358,1086886327,115457,1103.751149900,0.113380300,-0.305000,-0.751000,0.003000,28.200000,-10.900000,-21.700000
47359,1086896307,125437,1103.756263000,0.118493400,-0.517000,-1.047000,-0.003000,-14.200000,12.600000,-10.500000
47360,1086905524,134654,1103.771036200,0.133266600,-0.364000,-0.767000,0.085000,-23.400000,26.000000,-7.800000
47361,1086915108,144238,1103.771797600,0.134028000,-0.390000,-0.734000,0.083000,-29.000000,39.700000,-14.600000
47362,1086925149,154279,1103.786417300,0.148647700,-0.304000,-0.759000,0.117000,-33.700000,46.600000,-19.600000
47363,1086934854,163984,1103.794070300,0.156300700,-0.269000,-1.052000,0.110000,-46.100000,51.200000,-17.200000
47364,1086943949,173079,1103.801208900,0.163439300,-0.267000,-1.214000,0.140000,-62.000000,55.900000,-7.500000
47365,1086953563,182693,1103.816503400,0.178733800,-0.180000,-1.241000,0.224000,-71.200000,50.600000,9.800000
47366,1086963757,192887,1103.828200400,0.190430800,-0.013000,-1.101000,0.297000,-59.000000,29.700000,16.500000
47367,1086972852,201982,1103.831101100,0.193331500,-0.051000,-1.109000,0.270000,-33.900000,2.200000,8.800000
47368,1086982465,211595,1103.846757000,0.208987400,-0.257000,-1.248000,0.236000,-15.100000,-17.700000,11.500000
47369,1086992567,221697,1103.853557100,0.215787500,-0.528000,-1.325000,0.148000,-7.700000,-22.100000,28.700000
47370,1087002212,231342,1103.863720200,0.225950600,-0.691000,-1.239000,0.093000,-2.700000,1.800000,36.800000
47371,1087011276,240406,1103.877608100,0.239838500,-0.637000,-1.041000,0.105000,17.700000,16.900000,30.900000
47372,1087020951,250081,1103.877822200,0.240052600,-0.416000,-0.929000,0.195000,84.000000,15.600000,20.400000
47373,1087030901,260031,1103.891506000,0.253736400,-0.302000,-1.010000,0.257000,126.400000,7.800000,8.900000
47374,1087040453,269583,1103.904158200,0.266388600,-0.375000,-1.205000,0.241000,144.300000,7.200000,12.000000
