meta_label,v
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
27843,1529378625,0,1546.164750200,0.000000000,-0.320000,-0.980000,0.199000,11.600000,7.700000,-2.900000
27844,1529387842,9217,1546.167736900,0.002986700,-0.325000,-1.058000,0.202000,1.000000,7.200000,-3.400000
27845,1529397394,18769,1546.183000300,0.018250100,-0.318000,-1.087000,0.211000,-11.000000,6.300000,0.500000
27846,1529407558,28933,1546.190777300,0.026027100,-0.311000,-1.074000,0.239000,-20.000000,6.000000,7.100000
27847,1529416958,38333,1546.202701800,0.037951600,-0.312000,-0.999000,0.255000,-24.000000,6.300000,10.200000
27848,1529426297,47672,1546.212702300,0.047952100,-0.302000,-0.927000,0.274000,-21.600000,6.100000,13.600000
27849,1529436368,57743,1546.221403500,0.056653300,-0.300000,-0.869000,0.287000,-14.900000,5.900000,14.000000
27850,1529445860,67235,1546.228130100,0.063379900,-0.315000,-0.840000,0.303000,-5.800000,6.100000,11.800000
27851,1529455077,76452,1546.242593000,0.077842800,-0.307000,-0.835000,0.313000,3.800000,6.800000,6.000000
27852,1529464721,86096,1546.243121300,0.078371100,-0.301000,-0.859000,0.304000,11.500000,7.900000,-2.500000
27853,1529474671,96046,1546.260703600,0.095953400,-0.324000,-0.909000,0.297000,14.700000,10.200000,-7.900000
27854,1529484468,105843,1546.265295800,0.100545600,-0.320000,-0.944000,0.298000,12.500000,18.900000,-9.600000
27855,1529493593,114968,1546.272891700,0.108141500,-0.301000,-0.946000,0.290000,7.700000,23.300000,-4.400000
27856,1529503543,124918,1546.287250400,0.122500200,-0.252000,-0.911000,0.266000,5.800000,25.300000,-3.500000
27857,1529513309,134684,1546.297423800,0.132673600,-0.220000,-0.866000,0.259000,9.000000,25.100000,5.300000
27858,1529522404,143779,1546.302314500,0.137564300,-0.198000,-0.833000,0.250000,12.800000,25.600000,10.600000
27859,1529532049,153424,1546.317609900,0.152859700,-0.219000,-0.806000,0.236000,14.600000,32.500000,12.800000
27860,1529542303,163678,1546.324872300,0.160122100,-0.241000,-0.633000,-0.282000,14.300000,41.500000,11.100000
27861,1529551734,173109,1546.335759600,0.171009400,0.017000,-0.803000,0.247000,50.400000,-100.900000,87.400000
27862,1529560921,182296,1546.348139900,0.183389700,-0.333000,-1.300000,-0.015000,2.800000,-97.000000,13.400000
27863,1529570656,192031,1546.356083600,0.191333400,-0.898000,-0.714000,-0.039000,-11.000000,-55.400000,45.800000
27864,1529580575,201950,1546.362439000,0.197688800,-0.435000,-0.704000,-0.024000,-22.100000,-16.300000,18.900000
27865,1529589731,211106,1546.377565300,0.212815100,-0.449000,-0.711000,-0.008000,-17.700000,4.100000,0.400000
27866,1529599345,220720,1546.378601400,0.213851200,-0.532000,-0.935000,0.027000,-15.300000,26.400000,-16.700000
27867,1529609234,230609,1546.392795500,0.228045300,-0.534000,-1.095000,0.055000,-21.400000,56.800000,-16.400000
27868,1529619031,240406,1546.399987000,0.235236800,-0.582000,-1.278000,0.067000,-48.500000,74.800000,-1.400000
27869,1529628156,249531,1546.411401900,0.246651700,-0.425000,-1.270000,0.140000,-58.000000,77.500000,12.900000
27870,1529637800,259175,1546.422526300,0.257776100,-0.352000,-1.243000,0.152000,-62.900000,74.700000,19.400000
27871,1529647750,269125,1546.431246500,0.266496300,-0.412000,-1.257000,0.189000,-67.700000,74.400000,28.100000
27872,1529657211,278586,1546.437791000,0.273040800,-0.295000,-1.095000,0.257000,-56.400000,58.800000,33.500000
27873,1529666672,288047,1546.454212200,0.289462000,-0.129000,-1.039000,0.234000,-28.700000,29.700000,24.600000
27874,1529676683,298058,1546.459807500,0.295057300,-0.385000,-1.147000,0.151000,-6.100000,9.200000,22.500000
27875,1529686419,307794,1546.468216800,0.303466600,-0.558000,-1.182000,0.085000,5.400000,8.800000,32.900000
27876,1529695483,316858,1546.487599900,0.322849700,-0.491000,-1.104000,0.111000,24.200000,9.100000,48.300000
27877,1529705128,326503,1546.487612800,0.322862600,-0.332000,-0.970000,0.165000,59.900000,-1.300000,53.900000
27878,1529715230,336605,1546.498306100,0.333555900,-0.349000,-0.995000,0.182000,98.100000,-18.300000,45.500000
27879,1529724813,346188,1546.505955400,0.341205200,-0.504000,-1.092000,0.160000,120.100000,-18.600000,42.600000
27880,1529733908,355283,1546.512628500,0.347878300,-0.617000,-1.184000,0.133000,118.800000,-6.100000,40.200000
27881,1529744071,365446,1546.535136300,0.370386100,-0.623000,-1.165000,0.129000,98.700000,6.300000,32.500000
27882,1529753624,374999,1546.535411300,0.370661100,-0.577000,-1.133000,0.121000,48.300000,15.400000,22.500000
27883,1529762871,384246,1546.544565300,0.379815100,-0.550000,-1.016000,0.127000,10.500000,22.400000,15.900000
27884,1529772424,393799,1546.561070100,0.396319900,-0.488000,-0.856000,0.138000,-17.100000,25.400000,10.100000
27885,1529782557,403932,1546.566192100,0.401441900,-0.417000,-0.596000,0.118000,-30.000000,24.600000,5.000000
27886,1529792048,413423,1546.572476000,0.407725800,-0.278000,-0.456000,0.047000,-27.800000,18.700000,-2.600000
27887,1529801266,422641,1546.588015900,0.423265700,-0.170000,-0.430000,-0.104000,-18.100000,4.000000,-8.300000
27888,1529811307,432682,1546.596294000,0.431543800,-0.158000,-0.531000,-0.170000,-13.500000,-19.800000,-11.300000
27889,1529820951,442326,1546.602736400,0.437986200,-0.303000,-0.658000,-0.107000,-15.500000,-37.000000,-11.400000
27890,1529830137,451512,1546.621321000,0.456570800,-0.419000,-0.729000,-0.023000,-24.900000,-42.000000,-11.300000
27891,1529839690,461065,1546.621336000,0.456585800,-0.438000,-0.725000,0.050000,-34.100000,-39.700000,-22.600000
