meta_label,Y
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
38730,1634056670,0,1638.720367800,0.000000000,-0.401000,-0.857000,0.269000,-2.700000,1.800000,1.400000
38731,1634066345,9675,1638.720975200,0.000607400,-0.376000,-0.861000,0.261000,1.200000,0.300000,2.800000
38732,1634076416,19746,1638.738656200,0.018288400,-0.398000,-0.885000,0.282000,4.300000,-2.000000,3.600000
38733,1634085939,29269,1638.742342300,0.021974500,-0.420000,-0.905000,0.317000,4.900000,-1.700000,6.500000
38734,1634095125,38455,1638.750347500,0.029979700,-0.444000,-0.916000,0.371000,5.900000,0.200000,9.600000
38735,1634105319,48649,1638.765175000,0.044807200,-0.479000,-0.917000,0.423000,6.600000,5.600000,10.100000
38736,1634114841,58171,1638.776334000,0.055966200,-0.504000,-0.921000,0.488000,3.600000,13.000000,9.300000
38737,1634124028,67358,1638.780141800,0.059774000,-0.527000,-0.954000,0.522000,-3.400000,23.100000,11.000000
38738,1634133641,76971,1638.795795500,0.075427700,-0.545000,-0.941000,0.563000,-12.400000,37.600000,14.600000
38739,1634143591,86921,1638.802668400,0.082300600,-0.549000,-0.811000,0.613000,-14.900000,56.200000,18.000000
38740,1634153144,96474,1638.814901500,0.094533700,0.040000,-0.968000,-0.104000,-8.800000,-11.600000,-28.700000
38741,1634162422,105752,1638.825193300,0.104825500,0.081000,-0.839000,0.066000,-6.600000,-18.800000,51.800000
38742,1634172524,115854,1638.833199500,0.112831700,-0.575000,-1.136000,0.229000,-17.700000,-25.300000,78.900000
38743,1634182107,125437,1638.840085300,0.119717500,-0.326000,-0.608000,0.251000,-15.600000,-19.300000,67.200000
38744,1634191355,134685,1638.863344700,0.142976900,-0.224000,-0.524000,0.241000,-3.200000,-27.000000,19.000000
38745,1634200877,144207,1638.863355400,0.142987600,-0.302000,-0.650000,0.237000,9.500000,-35.500000,-22.200000
38746,1634210949,154279,1638.870841800,0.150474000,-0.388000,-0.684000,0.234000,17.100000,-37.400000,-32.700000
38747,1634220715,164045,1638.885012200,0.164644400,-1.176000,-1.316000,-0.162000,-46.700000,28.700000,-13.200000
38748,1634229779,173109,1638.890787700,0.170419900,-0.734000,-0.927000,0.108000,-65.900000,54.700000,23.400000
38749,1634239851,183181,1638.909321400,0.188953600,-0.347000,-0.540000,0.247000,-40.100000,53.000000,10.200000
