meta_label,y
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25170,873549086,0,879.751115900,0.000000000,-0.364000,-1.060000,0.149000,3.400000,-16.200000,-13.200000
25171,873558822,9736,879.758934700,0.007818800,-0.350000,-1.055000,0.168000,3.000000,-19.200000,-13.500000
25172,873567886,18800,879.778692700,0.027576800,-0.378000,-1.069000,0.196000,2.300000,-16.800000,-14.300000
25173,873577530,28444,879.778703800,0.027587900,-0.376000,-1.059000,0.210000,-0.900000,-12.200000,-15.000000
25174,873587694,38608,879.789147400,0.038031500,-0.367000,-0.978000,0.248000,0.000000,-5.600000,-20.100000
25175,873597063,47977,879.797542500,0.046426600,-0.335000,-0.887000,0.283000,6.700000,-0.300000,-29.500000
25176,873606311,57225,879.803790700,0.052674800,-0.298000,-0.857000,0.299000,12.900000,6.900000,-38.500000
25177,873616474,67388,879.818724100,0.067608200,-0.294000,-0.914000,0.311000,13.900000,19.300000,-45.400000
25178,873626149,77063,879.826239200,0.075123300,-0.176000,-0.927000,0.287000,14.800000,31.200000,-49.200000
25179,873635213,86127,879.837370800,0.086254900,-0.113000,-0.956000,0.228000,17.000000,43.900000,-45.900000
25180,873644796,95710,879.848790100,0.097674200,-0.059000,-1.064000,0.192000,14.800000,57.700000,-33.800000
25181,873654868,105782,879.856841300,0.105725400,0.000000,-1.111000,0.179000,5.500000,68.300000,-19.100000
25182,873664146,115060,879.863997900,0.112882000,-0.015000,-1.167000,0.176000,-12.900000,78.000000,-3.300000
25183,873673638,124552,879.878908300,0.127792400,-0.025000,-1.136000,0.076000,-39.900000,92.500000,9.500000
25184,873683740,134654,879.887424900,0.136309000,1.116000,-0.381000,-0.297000,29.300000,-65.900000,29.400000
25185,873693354,144268,879.894178600,0.143062700,-0.309000,-1.857000,-0.079000,-64.900000,-63.400000,77.400000
25186,873702540,153454,879.912295300,0.161179400,-0.810000,-1.075000,-0.140000,-94.400000,-9.800000,58.000000
25187,873712093,163007,879.912308500,0.161192600,-0.320000,-0.721000,0.015000,-98.200000,11.000000,44.500000
25188,873722134,173048,879.924561800,0.173445900,-0.448000,-0.260000,-0.032000,-60.500000,36.300000,10.700000
25189,873732023,182937,879.933164800,0.182048900,-0.378000,-0.305000,0.021000,-17.900000,56.500000,-17.000000
25190,873740965,191879,879.938950600,0.187834700,-0.257000,-0.570000,0.059000,28.300000,63.800000,-48.900000
25191,873751037,201951,879.953726300,0.202610400,-0.203000,-1.113000,0.029000,49.000000,69.800000,-65.000000
25192,873760772,211686,879.962038200,0.210922300,-0.024000,-1.491000,0.059000,49.100000,68.700000,-56.600000
25193,873769776,220690,879.969965600,0.218849700,0.005000,-1.745000,0.064000,44.900000,57.200000,-34.400000
25194,873779420,230334,879.987090100,0.235974200,-0.020000,-1.885000,0.081000,35.700000,47.700000,-7.200000
25195,873789339,240253,879.991259100,0.240143200,-0.083000,-1.884000,0.099000,24.300000,36.200000,37.500000
25196,873799106,250020,880.000075200,0.248959300,-0.173000,-1.726000,0.111000,17.700000,24.400000,61.800000
25197,873808262,259176,880.013964300,0.262848400,-0.321000,-1.480000,0.131000,21.500000,20.800000,74.500000
25198,873817875,268789,880.028678600,0.277562700,-0.502000,-1.234000,0.140000,33.600000,26.300000,77.600000
25199,873828008,278922,880.028907700,0.277791800,-0.588000,-1.029000,0.173000,60.500000,32.200000,76.000000
25200,873837195,288109,880.047265000,0.296149100,-0.645000,-1.001000,0.202000,58.600000,36.700000,67.900000
25201,873846717,297631,880.047276200,0.296160300,-0.617000,-0.781000,0.222000,55.300000,37.300000,54.400000
25202,873856880,307794,880.058981300,0.307865400,-0.564000,-0.768000,0.194000,28.000000,32.400000,44.400000
25203,873866585,317499,880.066906200,0.315790300,-0.516000,-0.582000,0.197000,-3.400000,21.600000,34.200000
25204,873875589,326503,880.084928900,0.333813000,-0.369000,-0.263000,0.148000,-25.200000,1.600000,22.900000
25205,873885141,336055,880.088316600,0.337200700,-0.172000,-0.007000,0.048000,-27.700000,-30.800000,5.700000
25206,873895335,346249,880.096142600,0.345026700,-0.391000,-0.029000,-0.064000,-31.600000,-68.500000,-13.700000
25207,873904674,355588,880.111067700,0.359951800,-0.582000,-0.013000,0.159000,-37.000000,-80.200000,-28.900000
25208,873914044,364958,880.111703000,0.360587100,-0.699000,-0.045000,0.351000,-30.500000,-74.700000,-51.200000
25209,873924115,375029,880.126164500,0.375048600,-0.633000,-0.163000,0.364000,-24.700000,-59.000000,-89.400000
25210,873933760,384674,880.134784100,0.383668200,-0.449000,-0.309000,0.331000,-18.200000,-42.200000,-112.300000
25211,873942855,393769,880.141841400,0.390725500,-0.378000,-0.613000,0.347000,-12.000000,-24.700000,-118.900000
25212,873952469,403383,880.158920400,0.407804500,-0.311000,-0.926000,0.364000,-11.900000,-3.000000,-112.000000
25213,873962510,413424,880.164042800,0.412926900,-0.193000,-1.183000,0.344000,-19.800000,18.000000,-93.600000
25214,873972123,423037,880.178468300,0.427352400,-0.109000,-1.280000,0.373000,-28.400000,37.400000,-74.000000
25215,873981340,432254,880.186385800,0.435269900,-0.020000,-1.219000,0.410000,-32.300000,54.800000,-56.900000
25216,873991382,442296,880.196877100,0.445761200,0.602000,-0.234000,-0.424000,-17.600000,67.900000,-48.100000
25217,874001117,452031,880.201361400,0.450245500,0.491000,-1.768000,0.055000,53.200000,-94.600000,-54.900000
25218,874010182,461096,880.217710900,0.466595000,-1.103000,-1.653000,-0.233000,-19.900000,-18.900000,11.400000
25219,874019796,470710,880.217721600,0.466605700,-0.086000,-1.144000,0.007000,-40.300000,3.800000,9.700000
25220,874029745,480659,880.235728100,0.484612200,-0.531000,-1.146000,-0.085000,-64.000000,28.900000,-1.600000
25221,874039512,490426,880.239217300,0.488101400,-0.439000,-1.049000,0.021000,-87.700000,57.000000,-4.200000
25222,874048607,499521,880.248550300,0.497434400,-0.317000,-0.993000,0.075000,-94.900000,67.500000,-11.400000
25223,874058709,509623,880.261278800,0.510162900,-0.317000,-1.059000,0.066000,-111.800000,81.200000,-15.900000
25224,874068384,519298,880.272268000,0.521152100,-0.147000,-0.870000,0.090000,-110.000000,79.300000,-22.600000
25225,874077509,528423,880.276430400,0.525314500,0.088000,-0.756000,0.070000,-79.700000,62.500000,-28.200000
25226,874087092,538006,880.294117100,0.543001200,0.168000,-0.812000,0.001000,-46.600000,40.000000,-32.800000
25227,874097164,548078,880.298871000,0.547755100,0.154000,-0.987000,-0.083000,-24.600000,18.100000,-35.800000
25228,874106747,557661,880.309784800,0.558668900,0.128000,-1.222000,-0.194000,-17.100000,-4.700000,-33.100000
25229,874115934,566848,880.321237100,0.570121200,0.234000,-1.224000,-0.276000,-6.500000,-38.200000,-26.400000
25230,874125731,576645,880.329464000,0.578348100,0.013000,-1.297000,-0.264000,4.000000,-66.500000,-13.700000
25231,874135528,586442,880.336150800,0.585034900,-0.221000,-1.350000,-0.156000,10.100000,-70.500000,0.200000
25232,874144806,595720,880.351103200,0.599987300,-0.294000,-1.323000,-0.095000,11.600000,-62.100000,13.800000
25233,874154358,605272,880.351694900,0.600579000,-0.300000,-1.226000,-0.049000,15.000000,-51.200000,20.100000
25234,874164430,615344,880.368120900,0.617005000,-0.308000,-1.148000,-0.018000,21.200000,-41.500000,24.100000
25235,874174044,624958,880.373714200,0.622598300,-0.306000,-1.125000,-0.031000,25.400000,-28.000000,25.500000
25236,874183261,634175,880.382129200,0.631013300,-0.263000,-1.113000,-0.073000,25.000000,-24.300000,26.900000
25237,874192905,643819,880.396054200,0.644938300,-0.231000,-1.111000,-0.062000,19.100000,-23.500000,29.100000
25238,874202885,653799,880.404389200,0.653273300,-0.233000,-1.103000,-0.026000,10.200000,-22.800000,29.300000
25239,874212163,663077,880.411401000,0.660285100,-0.262000,-1.071000,0.019000,-0.900000,-19.200000,29.200000
