meta_label,y
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
870,639906491,0,668.901585300,0.000000000,-0.587000,-0.793000,0.282000,8.900000,0.300000,4.600000
871,639914213,7722,668.912826800,0.011241500,-0.589000,-0.806000,0.308000,6.100000,4.700000,0.500000
872,639923399,16908,668.912839700,0.011254400,-0.617000,-0.834000,0.328000,0.500000,11.000000,-2.800000
873,639933349,26858,668.939453700,0.037868400,-0.602000,-0.831000,0.308000,-3.700000,14.600000,-5.800000
874,639958986,52495,668.939463300,0.037878000,-0.499000,-0.809000,0.222000,0.400000,7.900000,-4.700000
875,639962587,56096,668.940349400,0.038764100,-0.499000,-0.811000,0.217000,3.200000,7.900000,-4.700000
876,639966585,60094,668.964360600,0.062775300,-0.503000,-0.818000,0.214000,5.900000,5.600000,-4.800000
877,639996556,90065,668.965340500,0.063755200,-0.549000,-0.846000,0.285000,12.200000,1.600000,2.500000
878,640000310,93819,668.965354300,0.063769000,-0.548000,-0.824000,0.301000,12.200000,1.600000,1.900000
879,640004583,98092,668.984082800,0.082497500,-0.546000,-0.798000,0.314000,13.600000,2.700000,1.900000
880,640019080,112589,668.984740700,0.083155400,-0.568000,-0.796000,0.410000,19.800000,17.300000,-13.800000
881,640022834,116343,668.990481800,0.088896500,-0.606000,-0.813000,0.435000,20.000000,17.000000,-13.800000
882,640027076,120585,669.008255400,0.106670100,-0.615000,-0.828000,0.437000,18.000000,25.800000,-20.700000
883,640041542,135051,669.014280900,0.112695600,-0.330000,-0.800000,0.072000,9.000000,58.200000,-25.800000
884,640045327,138836,669.014951500,0.113366200,0.107000,-0.935000,-0.077000,9.400000,-0.800000,-44.400000
885,640049203,142712,669.036426900,0.134841600,-0.234000,-0.761000,-0.074000,12.800000,-59.600000,-43.200000
886,640071513,165022,669.036753200,0.135167900,-0.730000,-0.972000,0.117000,8.600000,-28.900000,13.200000
887,640075328,168837,669.037617000,0.136031700,-0.570000,-0.762000,0.117000,6.400000,-16.100000,9.000000
888,640079601,173110,669.081318100,0.179732800,-0.747000,-0.821000,-0.056000,5.200000,9.000000,11.500000
889,640093945,187454,669.081883800,0.180298500,-0.555000,-0.851000,0.048000,-38.700000,52.100000,38.600000
890,640097638,191147,669.082854700,0.181269400,-0.417000,-0.670000,0.116000,-38.700000,52.100000,30.100000
891,640106489,199998,669.104460100,0.202874800,-0.454000,-0.619000,0.145000,-21.600000,57.800000,18.200000
892,640139115,232624,669.104852400,0.203267100,-0.557000,-1.017000,0.246000,-8.100000,57.200000,31.400000
893,640142838,236347,669.106692800,0.205107500,-0.568000,-1.039000,0.257000,-11.300000,52.600000,31.400000
894,640147294,240803,669.127058800,0.225473500,-0.582000,-1.062000,0.262000,-16.200000,47.300000,29.100000
895,640161578,255087,669.134419100,0.232833800,-0.607000,-1.039000,0.255000,-32.600000,31.200000,24.100000
896,640165454,258963,669.136960500,0.235375200,-0.620000,-1.018000,0.246000,-35.700000,25.800000,22.100000
897,640169360,262869,669.150553600,0.248968300,-0.620000,-0.993000,0.243000,-37.600000,21.200000,20.900000
898,640184010,277519,669.150566100,0.248980800,-0.618000,-0.910000,0.199000,-32.900000,2.600000,19.900000
899,640187672,281181,669.150709200,0.249123900,-0.618000,-0.864000,0.155000,-26.500000,-2.300000,23.300000
900,640192952,286461,669.171426800,0.269841500,-0.622000,-0.787000,0.117000,-15.600000,-7.300000,25.500000
901,640206472,299981,669.171802500,0.270217200,-0.282000,-0.795000,-0.005000,37.200000,-55.500000,1.400000
902,640212332,305841,669.180699800,0.279114500,-0.431000,-0.894000,0.001000,47.600000,-75.000000,-4.900000
903,640221580,315089,669.198477200,0.296891900,-0.743000,-0.977000,0.198000,58.600000,-90.000000,0.200000
904,640231072,324581,669.198486800,0.296901500,-0.790000,-0.959000,0.427000,67.600000,-88.600000,6.100000
