meta_label,y
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25992,251323990,0,263.504537300,0.000000000,-0.477000,-0.823000,0.288000,11.400000,4.600000,-11.600000
25993,251333512,9522,263.517098500,0.012561200,-0.442000,-0.785000,0.304000,21.700000,7.300000,-16.100000
25994,251342790,18800,263.519597200,0.015059900,-0.435000,-0.793000,0.292000,32.700000,11.600000,-18.300000
25995,251352892,28902,263.535320000,0.030782700,-0.425000,-0.873000,0.309000,38.800000,19.700000,-17.700000
25996,251362414,38424,263.542118700,0.037581400,-0.424000,-0.981000,0.318000,36.400000,30.100000,-14.200000
25997,251371601,47611,263.552199600,0.047662300,-0.420000,-1.022000,0.329000,28.800000,43.000000,-7.000000
25998,251381276,57286,263.566651700,0.062114400,0.376000,-1.075000,-0.235000,20.800000,21.900000,5.800000
25999,251391225,67235,263.571840100,0.067302800,-0.062000,-1.039000,0.071000,19.400000,-44.800000,23.900000
26000,251400961,76971,263.579829700,0.075292400,-0.373000,-1.127000,0.190000,10.800000,-59.900000,48.100000
26001,251410056,86066,263.594180700,0.089643400,-0.572000,-0.874000,0.146000,4.700000,-49.800000,30.400000
26002,251419822,95832,263.603068700,0.098531400,-0.638000,-0.859000,-0.006000,-2.800000,-14.900000,27.000000
26003,251429864,105874,263.609954200,0.105416900,-0.774000,-0.913000,0.006000,-23.900000,14.700000,25.600000
26004,251438928,114938,263.630908600,0.126371300,-0.557000,-0.758000,0.157000,-18.300000,23.600000,10.800000
26005,251448542,124552,263.630920300,0.126383000,-0.521000,-0.725000,0.125000,-11.500000,30.200000,-8.700000
26006,251458644,134654,263.639605900,0.135068600,-0.681000,-0.846000,0.121000,-13.900000,46.300000,-16.600000
26007,251468258,144268,263.648395000,0.143857700,-0.644000,-0.928000,0.149000,-15.400000,57.500000,-18.200000
26008,251477322,153332,263.654084400,0.149547100,-0.698000,-0.996000,0.164000,-17.200000,68.900000,-17.200000
26009,251487607,163617,263.669282500,0.164745200,-0.620000,-1.042000,0.224000,-15.000000,73.200000,-8.800000
26010,251497038,173048,263.676738500,0.172201200,-0.562000,-1.067000,0.233000,-9.200000,68.500000,-2.100000
26011,251506255,182265,263.685137700,0.180600400,-0.491000,-1.101000,0.205000,-6.200000,61.000000,-4.000000
26012,251515808,191818,263.699659600,0.195122300,-0.380000,-1.122000,0.203000,-6.000000,49.000000,-8.100000
26013,251525849,201859,263.708861500,0.204324200,-0.152000,-1.085000,0.139000,2.300000,22.700000,-4.000000
26014,251535493,211503,263.726382000,0.221844700,0.153000,-1.051000,-0.011000,27.800000,-60.600000,11.800000
26015,251544680,220690,263.726742000,0.222204700,0.000000,-1.119000,-0.021000,51.600000,-108.900000,26.000000
26016,251554324,230334,263.729329900,0.224792600,-0.402000,-1.128000,0.212000,77.800000,-119.600000,39.700000
26017,251564365,240375,263.744294100,0.239756800,-0.677000,-1.047000,0.494000,84.800000,-95.300000,49.000000
26018,251573765,249775,263.751578800,0.247041500,-0.978000,-1.071000,0.718000,64.000000,-37.200000,67.100000
26019,251583165,259175,263.761706500,0.257169200,-0.974000,-0.819000,0.793000,38.400000,13.900000,63.600000
26020,251593237,269247,263.776383100,0.271845800,-0.715000,-0.621000,0.760000,20.700000,47.300000,49.800000
