meta_label,Z
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25961,2141411384,0,2158.096501100,0.000000000,-0.711000,-0.599000,0.254000,-16.300000,7.000000,18.600000
25962,2141421241,9857,2158.097488400,0.000987300,-0.686000,-0.590000,0.228000,-10.800000,9.100000,9.700000
25963,2141431099,19715,2158.104791500,0.008290400,-0.685000,-0.621000,0.188000,-7.000000,7.800000,0.500000
25964,2141440316,28932,2158.126990800,0.030489700,-0.719000,-0.671000,0.169000,-6.300000,6.000000,-4.400000
25965,2141449900,38516,2158.128857300,0.032356200,-0.738000,-0.693000,0.186000,-7.000000,5.700000,-6.900000
25966,2141460216,48832,2158.143165000,0.046663900,-0.729000,-0.727000,0.230000,-9.400000,5.400000,-8.900000
25967,2141469524,58140,2158.153669900,0.057168800,-0.690000,-0.738000,0.262000,-15.500000,5.600000,-7.600000
25968,2141478711,67327,2158.153677700,0.057176600,-0.624000,-0.683000,0.273000,-22.200000,5.600000,-11.500000
25969,2141488721,77337,2158.173308000,0.076806900,-0.596000,-0.582000,0.340000,-18.600000,11.000000,-20.800000
25970,2141499739,88355,2158.173316800,0.076815700,-0.319000,-0.425000,0.044000,-1.400000,25.900000,-38.700000
25971,2141507918,96534,2158.180921100,0.084420000,0.377000,-0.491000,0.014000,52.300000,-67.400000,-29.400000
25972,2141517135,105751,2158.194898100,0.098397000,-0.339000,-1.160000,-0.047000,56.800000,-65.800000,-29.100000
25973,2141527329,115945,2158.202438000,0.105936900,-1.031000,-1.145000,-0.029000,75.200000,-25.600000,-15.100000
25974,2141536851,125467,2158.210993900,0.114492800,-0.346000,-1.482000,0.158000,65.000000,-16.000000,-15.500000
25975,2141546068,134684,2158.232978000,0.136476900,-0.534000,-1.324000,0.025000,42.400000,-21.000000,-2.300000
25976,2141555865,144481,2158.232989100,0.136488000,-0.906000,-1.226000,-0.131000,60.200000,24.600000,-2.200000
25977,2141565723,154339,2158.239994500,0.143493400,-0.451000,-1.297000,0.030000,75.300000,42.500000,30.400000
25978,2141574849,163465,2158.264580600,0.168079500,-0.531000,-1.466000,0.050000,91.900000,60.500000,39.100000
25979,2141584401,173017,2158.264589800,0.168088700,-0.318000,-1.588000,0.122000,72.900000,66.700000,70.800000
25980,2141594595,183211,2158.270024500,0.173523400,-0.191000,-1.419000,0.185000,46.900000,46.400000,88.400000
25981,2141604056,192672,2158.286992400,0.190491300,-0.330000,-1.267000,0.192000,7.200000,35.600000,105.600000
25982,2141613273,201889,2158.287014600,0.190513500,-0.490000,-1.050000,0.198000,-17.400000,28.400000,117.600000
25983,2141622887,211503,2158.308322500,0.211821400,-0.539000,-0.737000,0.289000,-38.700000,16.300000,119.200000
25984,2141633142,221758,2158.308332700,0.211831600,-0.628000,-0.362000,0.367000,-55.200000,2.500000,103.100000
25985,2141642573,231189,2158.315216100,0.218715000,-0.736000,0.299000,0.439000,-64.400000,-12.500000,69.800000
25986,2141651820,240436,2158.330524600,0.234023500,-0.841000,0.826000,0.437000,-43.200000,-29.000000,19.100000
25987,2141661922,250538,2158.339368700,0.242867600,-1.424000,0.277000,0.250000,-29.500000,-13.600000,-28.100000
25988,2141671567,260183,2158.353254600,0.256753500,-1.125000,0.428000,0.378000,-70.300000,19.900000,-54.200000
25989,2141680600,269216,2158.367620900,0.271119800,-0.744000,0.398000,0.419000,-73.800000,14.000000,-106.400000
25990,2141690245,278861,2158.367857000,0.271355900,-0.720000,0.186000,0.316000,-79.900000,9.100000,-148.800000
25991,2141700438,289054,2158.383613500,0.287112400,-0.531000,0.063000,0.218000,-63.300000,3.900000,-181.500000
25992,2141709808,298424,2158.383622800,0.287121700,-0.514000,-0.545000,0.082000,-36.300000,7.100000,-178.800000
25993,2141719117,307733,2158.401201200,0.304700100,-0.482000,-1.112000,-0.010000,-35.600000,15.300000,-154.000000
25994,2141729219,317835,2158.411954100,0.315453000,-0.217000,-1.356000,-0.043000,-33.200000,13.800000,-118.700000
25995,2141738802,327418,2158.412978100,0.316477000,-0.094000,-1.536000,-0.117000,-3.200000,10.300000,-83.900000
25996,2141747928,336544,2158.437036100,0.340535000,-0.003000,-1.694000,-0.090000,21.600000,3.700000,-51.000000
25997,2141757572,346188,2158.442768500,0.346267400,-0.038000,-1.903000,-0.094000,31.500000,-3.800000,-10.900000
25998,2141767705,356321,2158.443387300,0.346886200,-0.471000,-1.998000,-0.196000,13.600000,17.900000,34.200000
25999,2141777166,365782,2158.461810900,0.365309800,-0.598000,-1.876000,-0.075000,-1.800000,48.100000,78.600000
26000,2141786352,374968,2158.461819500,0.365318400,-0.594000,-1.570000,-0.011000,-3.400000,58.700000,106.700000
26001,2141796210,384826,2158.475871400,0.379370300,-0.587000,-1.227000,0.071000,4.900000,63.900000,123.600000
26002,2141806129,394745,2158.498270700,0.401769600,-0.620000,-0.888000,0.142000,22.300000,59.500000,125.400000
26003,2141815255,403871,2158.498280500,0.401779400,-0.718000,-0.796000,0.208000,33.200000,51.000000,111.300000
26004,2141824868,413484,2158.503007300,0.406506200,-0.856000,-0.729000,0.254000,24.700000,41.900000,81.300000
26005,2141834940,423556,2158.515144400,0.418643300,-0.962000,-0.516000,0.264000,9.100000,31.800000,62.500000
26006,2141844554,433170,2158.524725900,0.428224800,-0.991000,-0.318000,0.279000,-2.000000,24.200000,38.500000
26007,2141853649,442265,2158.525216300,0.428715200,-0.975000,-0.194000,0.274000,-6.500000,13.800000,10.000000
26008,2141863629,452245,2158.540656800,0.444155700,-0.901000,-0.053000,0.256000,3.000000,-6.500000,-18.000000
26009,2141873670,462286,2158.555030000,0.458528900,-0.271000,0.064000,0.146000,25.300000,-73.800000,-53.500000
