meta_label,Z
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
9409,91878476,0,138.219692700,0.000000000,-0.627000,-0.848000,0.280000,-5.100000,6.300000,-6.400000
9410,91888212,9736,138.242935700,0.023243000,-0.592000,-0.837000,0.241000,-8.600000,6.900000,-7.100000
9411,91897215,18739,138.242945400,0.023252700,-0.566000,-0.827000,0.218000,-10.400000,5.300000,-7.000000
9412,91906829,28353,138.242948400,0.023255700,-0.543000,-0.786000,0.198000,-8.000000,1.700000,-5.100000
9413,91916992,38516,138.264212100,0.044519400,-0.558000,-0.797000,0.207000,-6.000000,-2.100000,-2.700000
9414,91926514,48038,138.264223200,0.044530500,-0.598000,-0.796000,0.232000,-7.400000,-4.200000,-0.500000
9415,91935701,57225,138.271055900,0.051363200,-0.624000,-0.753000,0.259000,-10.500000,-4.200000,0.700000
9416,91945955,67479,138.285880800,0.066188100,-0.369000,-0.605000,-0.072000,-4.200000,-15.600000,2.300000
9417,91955356,76880,138.293499600,0.073806900,-0.587000,-0.693000,0.253000,-0.200000,-33.200000,5.200000
9418,91964542,86066,138.300706600,0.081013900,-0.772000,-0.580000,0.242000,3.400000,-20.300000,-3.900000
9419,91974156,95680,138.317860600,0.098167900,-0.567000,-0.498000,0.233000,19.900000,-10.400000,-17.200000
9420,91984228,105752,138.323263100,0.103570400,-0.590000,-0.644000,0.194000,35.800000,-1.400000,-26.000000
9421,91993750,115274,138.331970800,0.112278100,-0.582000,-0.791000,0.183000,49.500000,10.900000,-30.100000
9422,92002967,124491,138.345890400,0.126197700,-0.557000,-1.018000,0.184000,49.600000,22.100000,-27.200000
9423,92013160,134684,138.360680600,0.140987900,-0.260000,-1.278000,0.258000,32.000000,11.200000,-6.800000
9424,92022530,144054,138.361796100,0.142103400,-0.174000,-1.185000,0.161000,15.100000,-4.400000,9.100000
9425,92032235,153759,138.383485900,0.163793200,-0.441000,-1.073000,0.194000,54.000000,23.600000,-3.100000
9426,92046549,168073,138.383727700,0.164035000,-0.226000,-1.331000,0.222000,79.900000,23.800000,36.800000
9427,92051585,173109,138.393106800,0.173414100,-0.157000,-1.452000,0.222000,77.400000,22.800000,43.600000
9428,92061107,182631,138.406922100,0.187229400,-0.143000,-1.454000,0.219000,60.100000,14.100000,55.600000
9429,92070294,191818,138.406930200,0.187237500,-0.288000,-1.361000,0.212000,40.200000,8.300000,68.800000
9430,92080457,201981,138.421241700,0.201549000,-0.436000,-1.229000,0.207000,20.600000,9.400000,82.900000
9431,92090010,211534,138.435689700,0.215997000,-0.484000,-1.113000,0.209000,-6.400000,8.200000,97.700000
9432,92099166,220690,138.436262700,0.216570000,-0.608000,-0.799000,0.242000,-39.500000,5.400000,95.400000
9433,92108719,230243,138.450881500,0.231188800,-0.699000,-0.384000,0.305000,-65.400000,0.700000,79.600000
9434,92118760,240284,138.458403000,0.238710300,-0.771000,0.115000,0.363000,-71.300000,-5.900000,50.900000
9435,92128557,250081,138.467815700,0.248123000,-0.831000,0.723000,0.386000,-46.800000,-11.100000,7.400000
9436,92137621,259145,138.481614300,0.261921600,-0.992000,0.725000,0.229000,-20.500000,-1.000000,-35.300000
9437,92147265,268789,138.493334200,0.273641500,-1.338000,0.074000,0.224000,-47.300000,31.000000,-50.700000
9438,92157337,278861,138.495588300,0.275895600,-0.862000,0.170000,0.353000,-65.500000,36.200000,-69.100000
9439,92166523,288047,138.510737300,0.291044600,-0.741000,0.034000,0.321000,-70.300000,29.900000,-95.900000
9440,92176046,297570,138.511401100,0.291708400,-0.648000,-0.136000,0.272000,-72.200000,25.400000,-114.700000
9441,92185995,307519,138.526009900,0.306317200,-0.573000,-0.330000,0.224000,-66.900000,25.200000,-124.900000
9442,92195884,317408,138.533539200,0.313846500,-0.423000,-0.603000,0.184000,-49.200000,25.800000,-121.200000
9443,92204948,326472,138.541082800,0.321390100,-0.260000,-0.941000,0.148000,-29.400000,23.400000,-109.300000
9444,92214592,336116,138.556227100,0.336534400,-0.098000,-1.201000,0.144000,-7.600000,17.200000,-87.600000
9445,92224664,346188,138.564309800,0.344617100,0.063000,-1.382000,0.167000,38.600000,-4.300000,-61.300000
9446,92234034,355558,138.570830800,0.351138100,0.210000,-1.584000,0.211000,71.100000,-27.900000,-29.600000
9447,92243373,364897,138.586045000,0.366352300,-0.040000,-1.955000,0.119000,57.500000,-31.600000,8.800000
9448,92253567,375091,138.593408500,0.373715800,-0.545000,-1.998000,0.067000,24.100000,-4.500000,42.800000
9449,92262997,384521,138.602928300,0.383235600,-0.408000,-1.740000,0.117000,13.700000,7.600000,72.000000
9450,92272245,393769,138.616934200,0.397241500,-0.555000,-1.502000,0.176000,12.500000,20.600000,81.400000
9451,92281798,403322,138.617526200,0.397833500,-0.736000,-1.321000,0.220000,12.800000,27.100000,90.900000
9452,92291869,413393,138.631421800,0.411729100,-0.875000,-1.183000,0.247000,10.700000,36.900000,93.600000
9453,92301483,423007,138.643750500,0.424057800,-0.984000,-0.993000,0.272000,2.300000,44.500000,93.200000
9454,92310700,432224,138.646230200,0.426537500,-1.031000,-0.712000,0.299000,-7.400000,49.000000,86.800000
9455,92320772,442296,138.662271100,0.442578400,-1.078000,-0.432000,0.319000,-11.900000,51.500000,61.700000
9456,92330263,451787,138.668370600,0.448677900,-1.069000,-0.202000,0.335000,-11.800000,51.000000,38.000000
9457,92339480,461004,138.678340500,0.458647800,-1.056000,-0.103000,0.331000,-7.900000,47.300000,9.700000
9458,92349125,470649,138.692741300,0.473048600,-1.045000,-0.149000,0.285000,-4.200000,41.600000,-14.900000
9459,92359105,480629,138.699701600,0.480008900,-0.823000,-0.097000,0.328000,22.000000,16.600000,-35.600000
9460,92368841,490365,138.706180100,0.486487400,-0.121000,-0.280000,0.125000,37.500000,-51.800000,-46.700000
9461,92377997,499521,138.720576800,0.500884100,-0.625000,-0.794000,-0.152000,14.400000,-85.600000,-42.700000
9462,92387641,509165,138.728446400,0.508753700,-0.583000,-0.800000,0.018000,-0.900000,-114.700000,-31.200000
9463,92397712,519236,138.739123100,0.519430400,-0.698000,-0.746000,0.222000,-0.700000,-127.600000,-26.900000
9464,92406807,528331,138.754455700,0.534763000,-0.689000,-0.651000,0.390000,7.000000,-132.600000,-34.000000
9465,92416452,537976,138.754587000,0.534894300,-0.645000,-0.638000,0.480000,22.000000,-133.400000,-47.200000
9466,92426554,548078,138.766954100,0.547261400,-0.652000,-0.790000,0.496000,31.200000,-127.200000,-68.100000
9467,92436168,557692,138.774603300,0.554910600,-0.743000,-0.967000,0.467000,21.100000,-105.700000,-72.900000
9468,92445324,566848,138.781034000,0.561341300,-0.713000,-1.028000,0.472000,1.900000,-71.900000,-65.000000
9469,92455456,576980,138.810848900,0.591156200,-0.659000,-1.015000,0.522000,-19.800000,-31.300000,-46.000000
9470,92464979,586503,138.817896500,0.598203800,-0.522000,-0.933000,0.598000,-33.300000,25.400000,-39.100000
9471,92474287,595811,138.825708300,0.606015600,-0.293000,-0.796000,0.649000,-28.900000,53.500000,-35.500000
9472,92483687,605211,138.841184900,0.621492200,-0.215000,-0.796000,0.658000,-4.800000,81.800000,-27.500000
