meta_label,z
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
43538,420028753,0,437.016939500,0.000000000,-0.741000,-0.618000,0.344000,-15.600000,33.000000,10.100000
43539,420038428,9675,437.022859400,0.005919900,-0.681000,-0.601000,0.342000,-4.600000,38.700000,7.300000
43540,420047584,18831,437.023400800,0.006461300,-0.629000,-0.622000,0.314000,7.900000,39.400000,3.800000
43541,420057136,28383,437.054370300,0.037430800,-0.572000,-0.715000,0.268000,17.600000,33.800000,2.500000
43542,420069650,40897,437.054379700,0.037440200,-0.584000,-0.803000,0.259000,20.100000,24.000000,4.400000
43543,420076822,48069,437.054383000,0.037443500,-0.644000,-0.860000,0.299000,18.900000,22.000000,8.800000
43544,420086069,57316,437.078726800,0.061787300,-0.659000,-0.897000,0.339000,17.600000,20.200000,15.800000
43545,420099712,70959,437.078738800,0.061799300,-0.643000,-0.925000,0.297000,1.900000,16.700000,18.400000
43546,420105907,77154,437.083250800,0.066311300,-0.657000,-0.908000,0.302000,-5.800000,15.500000,22.300000
43547,420114941,86188,437.101473200,0.084533700,-0.702000,-0.825000,0.330000,-19.900000,15.400000,24.700000
43548,420124463,95710,437.101490500,0.084551000,-0.707000,-0.697000,0.368000,-26.000000,16.200000,23.000000
43549,420134566,105813,437.116036500,0.099097000,-0.698000,-0.584000,0.407000,-21.600000,15.800000,15.900000
43550,420144301,115548,437.120521000,0.103581500,-0.668000,-0.487000,0.449000,-0.300000,13.600000,2.200000
43551,420153366,124613,437.129800700,0.112861200,-0.660000,-0.462000,0.463000,21.400000,12.700000,-11.000000
43552,420162949,134196,437.143195200,0.126255700,0.082000,-0.967000,0.139000,2.300000,-73.700000,0.000000
43553,420173051,144298,437.152177600,0.135238100,-0.341000,-0.831000,0.214000,11.800000,-84.900000,54.700000
43554,420182299,153546,437.157415800,0.140476300,-1.303000,-0.345000,0.200000,93.800000,-46.600000,25.900000
43555,420191791,163038,437.174237200,0.157297700,-0.890000,-0.594000,0.205000,128.300000,-27.500000,20.400000
43556,420201893,173140,437.180251500,0.163312000,-1.059000,-0.773000,0.202000,149.700000,5.300000,16.700000
43557,420211568,182815,437.191644200,0.174704700,-0.909000,-1.047000,0.280000,147.900000,28.100000,19.800000
43558,420220662,191909,437.202398200,0.185458700,-0.841000,-1.262000,0.286000,131.600000,42.800000,15.800000
43559,420230215,201462,437.203485200,0.186545700,-0.811000,-1.553000,0.250000,80.400000,48.300000,31.900000
43560,420240378,211625,437.217993200,0.201053700,-0.687000,-1.601000,0.231000,7.900000,40.200000,71.400000
43561,420249779,221026,437.229534500,0.212595000,-0.620000,-1.388000,0.272000,-65.000000,25.800000,91.700000
43562,420259118,230365,437.232964600,0.216025100,-0.618000,-1.034000,0.342000,-120.200000,11.400000,100.500000
43563,420269220,240467,437.248127600,0.231188100,-0.562000,-0.387000,0.404000,-149.300000,-4.700000,83.900000
43564,420278803,250050,437.255110700,0.238171200,-0.507000,0.318000,0.420000,-121.300000,-23.200000,42.100000
43565,420287898,259145,437.267996600,0.251057100,-0.670000,0.649000,0.329000,-78.000000,-28.800000,-5.200000
43566,420297542,268789,437.277886000,0.260946500,-0.903000,0.431000,0.280000,-53.300000,-18.500000,-47.500000
43567,420307644,278891,437.286415000,0.269475500,-0.942000,0.318000,0.313000,-48.100000,-8.400000,-86.500000
43568,420317106,288353,437.292951700,0.276012200,-0.715000,0.243000,0.316000,-27.700000,-11.200000,-121.400000
43569,420326414,297661,437.308222400,0.291282900,-0.820000,-0.036000,0.244000,7.400000,-10.500000,-140.200000
43570,420336486,307733,437.315943200,0.299003700,-0.805000,-0.514000,0.210000,46.500000,-2.100000,-139.400000
43571,420346039,317286,437.325362800,0.308423300,-0.854000,-1.016000,0.169000,50.600000,8.800000,-123.600000
43572,420355225,326472,437.345735600,0.328796100,-0.780000,-1.241000,0.180000,39.300000,22.800000,-101.500000
43573,420364869,336116,437.345749500,0.328810000,-0.608000,-1.323000,0.207000,36.700000,28.500000,-54.900000
43574,420374941,346188,437.353526600,0.336587100,-0.726000,-1.513000,0.146000,36.100000,42.400000,-9.300000
43575,420384555,355802,437.367471500,0.350532000,-0.927000,-1.497000,0.123000,22.400000,67.200000,41.700000
43576,420393711,364958,437.368386100,0.351446600,-0.709000,-1.310000,0.199000,26.400000,76.400000,64.800000
43577,420403630,374877,437.384612400,0.367672900,-0.585000,-1.196000,0.280000,32.100000,70.500000,77.000000
43578,420413640,384887,437.390443400,0.373503900,-0.527000,-1.105000,0.268000,32.300000,57.300000,86.100000
43579,420422552,393799,437.399916500,0.382977000,-0.547000,-1.087000,0.253000,19.800000,43.000000,91.100000
43580,420432197,403444,437.413173800,0.396234300,-0.619000,-1.002000,0.240000,-1.300000,30.700000,93.600000
43581,420442299,413546,437.420369000,0.403429500,-0.675000,-0.975000,0.239000,-30.900000,17.700000,96.600000
43582,420451851,423098,437.428218000,0.411278500,-0.764000,-0.790000,0.235000,-61.600000,4.900000,104.000000
43583,420460977,432224,437.451933800,0.434994300,-0.812000,-0.459000,0.201000,-80.200000,-4.900000,101.500000
43584,420470774,442021,437.452097800,0.435158300,-0.728000,-0.128000,0.051000,-84.500000,-19.200000,88.400000
43585,420480876,452123,437.457794600,0.440855100,-0.575000,-0.023000,-0.084000,-78.400000,-70.900000,61.400000
43586,420489910,461157,437.475935600,0.458996100,-0.709000,-0.064000,-0.069000,-75.300000,-87.100000,46.600000
43587,420499493,470740,437.475943700,0.459004200,-0.855000,-0.190000,0.116000,-72.500000,-121.500000,30.100000
43588,420509321,480568,437.489046800,0.472107300,-0.986000,-0.251000,0.309000,-72.300000,-128.200000,12.600000
43589,420519148,490395,437.496283300,0.479343800,-1.102000,-0.218000,0.491000,-74.500000,-121.900000,-5.000000
43590,420528304,499551,437.502729100,0.485789600,-1.094000,-0.125000,0.559000,-66.900000,-107.900000,-32.100000
43591,420537887,509134,437.517842800,0.500903300,-1.127000,-0.027000,0.618000,-43.600000,-80.400000,-60.600000
43592,420547928,519175,437.534043000,0.517103500,-1.135000,-0.132000,0.688000,-10.800000,-43.000000,-78.000000
43593,420557329,528576,437.534057400,0.517117900,-0.934000,-0.494000,0.729000,22.500000,-7.400000,-88.300000
43594,420566759,538006,437.550174200,0.533234700,-0.741000,-0.878000,0.672000,32.100000,14.300000,-91.100000
43595,420576861,548108,437.556834500,0.539895000,-0.713000,-1.150000,0.625000,18.700000,33.800000,-75.500000
43596,420586536,557783,437.562751500,0.545812000,-0.652000,-1.173000,0.625000,2.800000,54.200000,-54.500000
43597,420595662,566909,437.577980100,0.561040600,-0.562000,-1.037000,0.610000,-0.400000,72.000000,-35.700000
43598,420605245,576492,437.578277600,0.561338100,-0.554000,-0.879000,0.586000,17.500000,91.000000,-11.100000
43599,420615378,586625,437.600326400,0.583386900,-0.556000,-0.812000,0.498000,48.400000,93.500000,3.800000
43600,420624808,596055,437.600580200,0.583640700,0.074000,-1.068000,-0.416000,-42.900000,-25.500000,125.000000
43601,420634086,605333,437.608796300,0.591856800,-0.214000,-0.495000,0.006000,32.900000,-26.000000,147.700000
43602,420644311,615558,437.623067000,0.606127500,-1.394000,-0.255000,0.031000,100.600000,20.300000,89.500000
43603,420653802,625049,437.630219800,0.613280300,-0.869000,-0.252000,0.152000,133.900000,40.500000,65.400000
43604,420662958,634205,437.637653300,0.620713800,-0.931000,-0.505000,0.225000,144.000000,58.900000,40.800000
43605,420672511,643758,437.653412500,0.636473000,-0.816000,-1.039000,0.228000,122.500000,63.800000,38.000000
43606,420682552,653799,437.666193300,0.649253800,-0.612000,-1.312000,0.198000,84.200000,57.500000,35.200000
43607,420692074,663321,437.668705200,0.651765700,-0.623000,-1.422000,0.037000,25.400000,51.100000,55.800000
43608,420701414,672661,437.685476700,0.668537200,-0.316000,-1.178000,-0.153000,-35.300000,31.100000,80.800000
43609,420711455,682702,437.698729500,0.681790000,-0.133000,-0.708000,-0.241000,-68.600000,-14.100000,95.400000
43610,420721038,692285,437.699164600,0.682225100,-0.535000,-0.246000,-0.148000,-69.900000,-46.900000,100.400000
43611,420730469,701716,437.713196900,0.696257400,-0.798000,0.155000,0.061000,-50.900000,-52.600000,79.300000
43612,420739838,711085,437.713206900,0.696267400,-0.847000,0.443000,0.288000,-13.600000,-54.600000,37.100000
43613,420749879,721126,437.728370400,0.711430900,-0.928000,0.412000,0.403000,26.900000,-58.300000,-3.200000
43614,420759524,730771,437.735519100,0.718579600,-1.038000,0.188000,0.364000,61.400000,-52.700000,-33.100000
43615,420768710,739957,437.750151000,0.733211500,-1.040000,-0.111000,0.323000,63.100000,-48.200000,-48.500000
43616,420778446,749693,437.760599000,0.743659500,-0.983000,-0.348000,0.240000,53.500000,-48.700000,-50.200000
43617,420788457,759704,437.774274400,0.757334900,-0.933000,-0.571000,0.257000,37.000000,-50.600000,-44.800000
43618,420797521,768768,437.780634000,0.763694500,-0.934000,-0.619000,0.321000,19.600000,-50.700000,-36.700000
43619,420807165,778412,437.782880500,0.765941000,-0.954000,-0.606000,0.390000,3.900000,-46.800000,-32.600000
43620,420817267,788514,437.803263600,0.786324100,-0.944000,-0.571000,0.435000,-8.100000,-38.500000,-30.700000
43621,420827339,798586,437.803883900,0.786944400,-0.888000,-0.531000,0.458000,-17.200000,-30.200000,-35.400000
43622,420836068,807315,437.810933500,0.793994000,-0.864000,-0.520000,0.470000,-22.700000,-22.800000,-38.200000
43623,420845590,816837,437.826262500,0.809323000,-0.850000,-0.541000,0.464000,-27.400000,-14.900000,-46.800000
43624,420855875,827122,437.838042500,0.821103000,-0.817000,-0.546000,0.439000,-31.100000,-5.100000,-56.800000
43625,420864940,836187,437.840393000,0.823453500,-0.764000,-0.574000,0.391000,-32.000000,-2.500000,-60.300000
43626,420874492,845739,437.872339100,0.855399600,-0.717000,-0.610000,0.331000,-30.400000,-4.000000,-59.800000
43627,420884595,855842,437.873705100,0.856765600,-0.704000,-0.654000,0.278000,-28.700000,-5.700000,-55.700000
43628,420893934,865181,437.874046300,0.857106800,-0.713000,-0.683000,0.267000,-29.800000,-6.700000,-53.400000
43629,420903792,875039,437.900980100,0.884040600,-0.708000,-0.668000,0.257000,-28.500000,-8.800000,-51.600000
43630,420917343,888590,437.901245700,0.884306200,-0.704000,-0.678000,0.237000,-25.100000,-11.300000,-44.600000
43631,420922928,894175,437.902172900,0.885233400,-0.708000,-0.698000,0.232000,-24.800000,-12.100000,-43.300000
