meta_label,z
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
18954,183653733,0,208.446578700,0.000000000,-0.697000,-0.825000,0.238000,-11.900000,3.000000,1.900000
18955,183663286,9553,208.454784300,0.008205600,-0.693000,-0.727000,0.277000,-16.000000,0.000000,6.300000
18956,183672412,18679,208.462695300,0.016116600,-0.690000,-0.641000,0.320000,-14.900000,-1.900000,6.200000
18957,183681995,28262,208.476960400,0.030381700,-0.691000,-0.568000,0.362000,-10.500000,-3.500000,1.900000
18958,183692066,38333,208.484905000,0.038326300,-0.698000,-0.542000,0.410000,-4.900000,-4.400000,-3.100000
18959,183701619,47886,208.492750200,0.046171500,-0.704000,-0.552000,0.436000,-2.300000,-3.700000,-15.600000
18960,183710897,57164,208.510394900,0.063816200,-0.691000,-0.562000,0.452000,-2.800000,-2.300000,-21.400000
18961,183721060,67327,208.536237700,0.089659000,-0.698000,-0.556000,0.492000,-3.200000,2.500000,-28.200000
18962,183730613,76880,208.536934800,0.090356100,-0.684000,-0.569000,0.533000,-0.300000,17.300000,-34.900000
18963,183739678,85945,208.537681800,0.091103100,-0.672000,-0.599000,0.577000,3.200000,33.000000,-40.900000
18964,183749291,95558,208.567245700,0.120667000,-0.636000,-0.579000,0.633000,18.600000,52.900000,-45.800000
18965,183769404,115671,208.568282000,0.121703300,-0.087000,-1.325000,0.372000,70.200000,-59.100000,-20.200000
18966,183773494,119761,208.568548000,0.121969300,-0.087000,-1.325000,0.204000,50.100000,-59.800000,8.900000
18967,183778163,124430,208.589145900,0.142567200,-0.319000,-1.025000,0.404000,47.300000,-62.600000,48.000000
18968,183799405,145672,208.589567300,0.142988600,-0.711000,-1.252000,0.299000,115.100000,-3.200000,23.700000
18969,183803190,149457,208.590545400,0.143966700,-0.771000,-1.311000,0.254000,105.900000,-3.200000,23.700000
18970,183807432,153699,208.611561100,0.164982400,-0.799000,-1.381000,0.236000,90.900000,7.800000,30.600000
18971,183821807,168074,208.612761200,0.166182500,-0.749000,-1.124000,0.320000,49.500000,32.500000,54.100000
18972,183826751,173018,208.620669700,0.174091000,-0.740000,-1.058000,0.317000,39.900000,37.500000,64.300000
18973,183836365,182632,208.634413100,0.187834400,-0.737000,-0.946000,0.316000,17.500000,47.000000,68.900000
18974,183845521,191788,208.634917400,0.188338700,-0.581000,-0.746000,0.341000,-4.000000,39.800000,66.500000
18975,183855104,201371,208.649519800,0.202941100,-0.515000,-0.566000,0.343000,-20.700000,26.400000,58.000000
18976,183865328,211595,208.661074100,0.214495400,-0.549000,-0.450000,0.349000,-42.300000,12.800000,47.100000
18977,183874362,220629,208.664372900,0.217794200,-0.475000,-0.294000,0.380000,-51.200000,-8.800000,27.700000
18978,183883915,230182,208.681962400,0.235383700,-0.493000,-0.085000,0.391000,-48.000000,-29.800000,1.400000
18979,183894048,240315,208.686707300,0.240128600,-0.752000,-0.348000,0.243000,-55.400000,-30.400000,-14.600000
18980,183903723,249990,208.695663000,0.249084300,-0.934000,-0.383000,0.261000,-97.100000,-21.900000,-13.500000
18981,183912787,259054,208.708769200,0.262190500,-0.749000,-0.076000,0.370000,-118.900000,-22.900000,-27.900000
18982,183922401,268668,208.709911400,0.263332700,-0.734000,0.117000,0.396000,-110.300000,-26.100000,-59.500000
18983,183932472,278739,208.724633300,0.278054600,-0.783000,0.166000,0.382000,-72.200000,-22.400000,-91.400000
18984,183941995,288262,208.743363500,0.296784800,-0.835000,-0.278000,0.327000,-19.000000,-10.300000,-109.300000
18985,183951273,297540,208.743377700,0.296799000,-0.858000,-0.819000,0.282000,7.700000,7.200000,-105.600000
18986,183961405,307672,208.760177400,0.313598700,-0.715000,-1.166000,0.303000,17.600000,21.800000,-80.400000
18987,183970867,317134,208.762743600,0.316164900,-0.561000,-1.315000,0.369000,26.100000,27.000000,-52.300000
18988,183980114,326381,208.777468200,0.330889500,-0.470000,-1.553000,0.338000,33.800000,26.000000,-16.600000
18989,183989667,335934,208.784005600,0.337426900,-0.649000,-1.734000,0.241000,8.500000,40.700000,22.700000
18990,183999800,346067,208.795386300,0.348807600,-0.548000,-1.647000,0.282000,-2.900000,49.400000,55.200000
18991,184009169,355436,208.806688800,0.360110100,-0.464000,-1.374000,0.332000,-4.800000,48.600000,76.000000
18992,184018539,364806,208.808824200,0.362245500,-0.480000,-1.220000,0.337000,-4.000000,44.100000,84.000000
18993,184028580,374847,208.821913000,0.375334300,-0.552000,-1.093000,0.330000,-7.700000,37.500000,90.500000
18994,184038224,384491,208.844067200,0.397488500,-0.784000,-0.937000,0.335000,-13.200000,35.900000,95.700000
18995,184047380,393647,208.844834500,0.398255800,-0.857000,-0.773000,0.340000,-21.200000,33.400000,96.300000
18996,184057025,403292,208.852790800,0.406212100,-0.944000,-0.572000,0.342000,-32.000000,29.400000,92.500000
18997,184067035,413302,208.858976200,0.412397500,-0.981000,-0.309000,0.348000,-43.700000,25.200000,73.800000
18998,184076740,423007,208.874673900,0.428095200,-0.981000,-0.014000,0.354000,-48.400000,20.500000,48.100000
18999,184085866,432133,208.875061500,0.428482800,-0.967000,0.174000,0.326000,-43.400000,15.000000,14.300000
19000,184095785,442052,208.890449600,0.443870900,-0.434000,0.374000,0.421000,-16.900000,-41.900000,-24.800000
19001,184105673,451940,208.912064700,0.465486000,-0.456000,0.180000,0.189000,17.900000,-88.600000,-52.000000
19002,184114707,460974,208.912821800,0.466243100,-0.734000,-0.227000,0.054000,16.000000,-115.800000,-61.300000
19003,184124291,470558,208.919283800,0.472705100,-0.749000,-0.439000,0.304000,10.200000,-138.300000,-67.400000
