meta_label,2
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4652,2610392080,0,2421.805072100,0.000000000,0.837000,0.019000,0.563000,2.700000,-2.600000,-0.100000
4653,2610411247,19167,2421.824291200,0.019219100,0.836000,0.010000,0.567000,1.100000,-2.000000,-0.700000
4654,2610430566,38486,2421.843217900,0.038145800,0.837000,0.010000,0.570000,0.300000,-1.300000,-2.900000
4655,2610449733,57653,2421.863086300,0.058014200,0.813000,0.016000,0.575000,0.700000,-1.100000,-1.200000
4656,2610468960,76880,2421.885305400,0.080233300,0.812000,0.013000,0.589000,2.800000,-4.800000,1.100000
4657,2610488188,96108,2421.901012400,0.095940300,0.824000,0.020000,0.585000,4.400000,-5.400000,2.900000
4658,2610507415,115335,2421.921324900,0.116252800,0.812000,0.005000,0.585000,5.100000,-6.400000,4.200000
4659,2610526704,134624,2421.940289600,0.135217500,0.798000,-0.009000,0.596000,7.700000,-9.200000,4.300000
4660,2610545840,153760,2421.959169500,0.154097400,0.785000,-0.053000,0.604000,9.900000,-13.100000,1.500000
4661,2610565129,173049,2421.979733300,0.174661200,0.963000,-0.063000,0.541000,13.500000,-17.800000,-9.300000
4662,2610584326,192246,2421.997059500,0.191987400,0.807000,0.083000,0.528000,-2.400000,-1.500000,-13.600000
4663,2610603645,211565,2422.017039600,0.211967500,0.881000,0.107000,0.548000,-10.600000,-8.600000,-11.700000
4664,2610622812,230732,2422.036111300,0.231039200,0.836000,-0.022000,0.494000,-16.800000,-4.200000,-12.400000
4665,2610641978,249898,2422.055095300,0.250023200,0.848000,-0.015000,0.557000,-5.900000,0.900000,-47.900000
4666,2610661267,269187,2422.074178400,0.269106300,0.863000,0.175000,0.613000,-17.800000,-6.800000,-31.500000
4667,2610680464,288384,2422.092970400,0.287898300,0.822000,0.108000,0.500000,-4.400000,-12.900000,-4.100000
4668,2610699722,307642,2422.113120700,0.308048600,0.854000,0.041000,0.576000,3.100000,-6.900000,4.900000
4669,2610718919,326839,2422.136645300,0.331573200,0.837000,0.071000,0.577000,5.500000,-9.900000,13.700000
4670,2610738208,346128,2422.151028300,0.345956200,0.834000,0.032000,0.591000,9.900000,-5.800000,18.100000
4671,2610757374,365294,2422.170042900,0.364970800,0.811000,-0.022000,0.520000,12.700000,-5.800000,27.400000
4672,2610776602,384522,2422.189001700,0.383929600,0.836000,-0.092000,0.557000,14.400000,-2.600000,23.500000
4673,2610795829,403749,2422.209036400,0.403964300,0.824000,-0.087000,0.572000,7.400000,-4.500000,23.800000
4674,2610815057,422977,2422.232338400,0.427266300,0.834000,0.115000,0.525000,7.900000,0.400000,-2.300000
