meta_label,8
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
12330,1215453599,0,5529.153388600,0.000000000,0.835000,-0.101000,0.543000,-1.100000,-8.200000,-10.400000
12331,1215472888,19289,5529.171956600,0.018568000,0.831000,-0.118000,0.542000,3.200000,-15.300000,-17.300000
12332,1215492054,38455,5529.192555100,0.039166500,0.835000,-0.066000,0.503000,4.500000,-15.800000,-21.500000
12333,1215511221,57622,5529.212455100,0.059066500,0.939000,0.045000,0.432000,-10.400000,-2.900000,-17.200000
12334,1215530540,76941,5529.228759100,0.075370500,0.895000,0.024000,0.482000,-12.700000,0.400000,-14.200000
12335,1215549829,96230,5529.252001000,0.098612400,0.868000,-0.075000,0.477000,-5.200000,1.200000,-2.800000
12336,1215568995,115396,5529.267850700,0.114462100,0.837000,-0.068000,0.573000,2.000000,-1.900000,3.200000
12337,1215588223,134624,5529.286761300,0.133372700,0.865000,-0.081000,0.562000,14.300000,0.100000,8.000000
12338,1215607451,153852,5529.315664400,0.162275800,0.914000,-0.042000,0.507000,17.800000,-11.000000,12.400000
12339,1215626648,173049,5529.324755200,0.171366600,0.889000,0.100000,0.351000,8.300000,-10.000000,10.600000
12340,1215645936,192337,5529.344788300,0.191399700,0.895000,0.099000,0.508000,-4.200000,-7.500000,11.900000
12341,1215665103,211504,5529.367637700,0.214249100,0.907000,-0.101000,0.463000,-3.000000,-22.100000,9.900000
12342,1215684269,230670,5529.382787300,0.229398700,0.912000,-0.135000,0.378000,1.000000,-16.800000,7.800000
12343,1215703619,250020,5529.401714500,0.248325900,0.840000,-0.116000,0.524000,8.900000,-7.800000,9.100000
12344,1215722908,269309,5529.423273500,0.269884900,0.850000,-0.054000,0.528000,9.900000,-8.000000,15.800000
12345,1215742074,288475,5529.440917900,0.287529300,0.880000,0.112000,0.485000,9.100000,-1.400000,-7.200000
12346,1215761241,307642,5529.460223300,0.306834700,0.920000,-0.177000,0.543000,0.000000,-6.500000,9.300000
12347,1215780560,326961,5529.478860100,0.325471500,0.894000,0.007000,0.466000,-7.200000,-2.700000,7.000000
12348,1215799849,346250,5529.497838800,0.344450200,0.876000,0.018000,0.410000,-12.300000,-8.000000,6.700000
12349,1215819015,365416,5529.517830600,0.364442000,0.891000,-0.117000,0.432000,-17.000000,-1.400000,3.600000
12350,1215838243,384644,5529.539755700,0.386367100,0.907000,-0.213000,0.479000,-29.900000,-5.600000,-3.400000
12351,1215857470,403871,5529.555767500,0.402378900,0.848000,-0.025000,0.408000,-37.600000,13.800000,-56.200000
12352,1215876637,423038,5529.574666200,0.421277600,0.879000,-0.106000,0.454000,-49.600000,2.700000,-33.800000
12353,1215895865,442266,5529.594861900,0.441473300,0.873000,0.019000,0.519000,-19.600000,4.300000,-22.900000
12354,1215915092,461493,5529.613879500,0.460490900,0.878000,-0.003000,0.459000,-3.900000,2.000000,1.200000
12355,1215934289,480690,5529.632815100,0.479426500,0.882000,0.017000,0.446000,3.500000,9.500000,16.000000
12356,1215953608,500009,5529.656465600,0.503077000,0.982000,-0.053000,0.491000,-4.900000,9.000000,22.400000
12357,1215972836,519237,5529.670815300,0.517426700,0.888000,-0.024000,0.464000,-7.800000,12.000000,22.100000
12358,1215992033,538434,5529.690699700,0.537311100,0.856000,-0.045000,0.511000,-11.400000,10.600000,19.900000
12359,1216011261,557662,5529.710382800,0.556994200,0.823000,-0.147000,0.543000,-8.100000,7.900000,18.300000
12360,1216030549,576950,5529.728834100,0.575445500,0.823000,-0.162000,0.548000,-0.700000,3.000000,12.600000
12361,1216049777,596178,5529.747763900,0.594375300,0.844000,-0.140000,0.520000,4.700000,0.000000,9.300000
12362,1216068974,615375,5529.766705000,0.613316400,0.877000,-0.123000,0.497000,7.100000,-1.300000,7.700000
12363,1216088171,634572,5529.786729000,0.633340400,0.895000,-0.075000,0.465000,7.000000,0.700000,6.100000
12364,1216107399,653800,5529.811183900,0.657795300,0.877000,-0.065000,0.488000,2.600000,2.100000,8.200000
12365,1216126657,673058,5529.824740800,0.671352200,0.885000,-0.088000,0.500000,-0.400000,0.200000,10.100000
12366,1216145884,692285,5529.843826200,0.690437600,0.874000,-0.069000,0.493000,-1.200000,1.400000,13.600000
12367,1216165112,711513,5529.864166100,0.710777500,0.847000,-0.123000,0.512000,-1.600000,0.500000,14.900000
12368,1216184309,730710,5529.882869900,0.729481300,0.830000,-0.172000,0.523000,1.200000,-3.300000,7.800000
12369,1216203598,749999,5529.902450700,0.749062100,0.848000,-0.170000,0.519000,3.900000,-3.900000,0.900000
12370,1216222764,769165,5529.920834400,0.767445800,0.845000,-0.120000,0.520000,3.600000,-5.500000,1.400000
12371,1216241931,788332,5529.939777200,0.786388600,0.863000,-0.131000,0.502000,5.200000,-6.700000,2.600000
12372,1216261280,807681,5529.959884300,0.806495700,0.864000,-0.118000,0.498000,6.800000,-5.100000,0.800000
