meta_label,9
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
20001,3137419631,0,3156.573482200,0.000000000,0.845000,-0.072000,0.525000,3.400000,7.200000,5.200000
20002,3137438828,19197,3156.592413000,0.018930800,0.817000,-0.086000,0.563000,4.800000,2.500000,1.700000
20003,3137458147,38516,3156.615580500,0.042098300,0.820000,-0.094000,0.576000,7.900000,-10.800000,-0.100000
20004,3137477436,57805,3156.631518000,0.058035800,0.846000,-0.097000,0.535000,1.400000,-11.300000,-13.100000
20005,3137496633,77002,3156.650503400,0.077021200,0.873000,-0.070000,0.522000,0.300000,-9.800000,-17.500000
20006,3137515800,96169,3156.669599400,0.096117200,0.884000,-0.030000,0.450000,-4.400000,-6.200000,-21.700000
20007,3137535088,115457,3156.688630800,0.115148600,0.864000,-0.018000,0.520000,-14.400000,-3.500000,-7.700000
20008,3137554316,134685,3156.707395100,0.133912900,0.853000,-0.097000,0.531000,-5.000000,0.200000,-4.700000
20009,3137573513,153882,3156.733082900,0.159600700,0.824000,-0.086000,0.513000,-1.900000,-0.700000,-1.600000
20010,3137592740,173109,3156.746473400,0.172991200,0.836000,-0.057000,0.552000,7.900000,-0.600000,-0.100000
20011,3137612029,192398,3156.765526700,0.192044500,0.891000,-0.034000,0.578000,12.500000,-0.900000,6.200000
20012,3137631196,211565,3156.787132900,0.213650700,0.890000,-0.083000,0.485000,8.700000,-8.300000,17.700000
20013,3137650423,230792,3156.803474500,0.229992300,0.895000,0.056000,0.412000,14.200000,1.500000,-9.800000
20014,3137669651,250020,3156.824316500,0.250834300,0.851000,0.020000,0.536000,-0.400000,-4.800000,10.200000
20015,3137688848,269217,3156.842591000,0.269108800,0.884000,-0.148000,0.521000,-10.000000,-13.600000,-15.300000
20016,3137708167,288536,3156.861388700,0.287906500,0.834000,-0.167000,0.556000,-11.000000,0.400000,-23.200000
20017,3137727456,307825,3156.891420400,0.317938200,0.823000,-0.111000,0.563000,-3.000000,-1.800000,-11.500000
20018,3137746653,327022,3156.900455900,0.326973700,0.870000,0.018000,0.432000,5.000000,-4.500000,-3.700000
20019,3137765819,346188,3156.919346300,0.345864100,0.966000,0.030000,0.550000,7.200000,1.100000,2.300000
20020,3137785108,365477,3156.938517000,0.365034800,0.800000,-0.044000,0.569000,1.400000,-24.100000,35.000000
20021,3137804275,384644,3156.957518200,0.384036000,0.876000,-0.082000,0.545000,10.100000,-19.800000,37.900000
20022,3137823441,403810,3156.978636300,0.405154100,0.792000,-0.066000,0.410000,13.900000,-18.900000,34.000000
20023,3137842730,423099,3156.996578900,0.423096700,0.879000,-0.120000,0.459000,8.400000,2.500000,16.300000
20024,3137861957,442326,3157.021346700,0.447864500,0.868000,-0.118000,0.494000,-4.600000,4.000000,-5.700000
20025,3137881215,461584,3157.034559400,0.461077200,0.979000,-0.050000,0.379000,-9.900000,28.900000,-40.700000
20026,3137900382,480751,3157.054351600,0.480869400,0.916000,0.182000,0.545000,-35.100000,25.600000,-10.200000
20027,3137919671,500040,3157.075235700,0.501753500,0.773000,-0.053000,0.642000,-27.700000,22.100000,19.200000
20028,3137938837,519206,3157.092504500,0.519022300,0.761000,-0.205000,0.621000,-11.100000,-0.900000,13.500000
20029,3137958187,538556,3157.112219700,0.538737500,0.812000,-0.231000,0.554000,-0.900000,-4.400000,1.200000
20030,3137977353,557722,3157.130996100,0.557513900,0.806000,-0.140000,0.526000,6.900000,-9.300000,-2.100000
20031,3137996612,576981,3157.150569800,0.577087600,0.895000,-0.020000,0.477000,4.600000,-3.500000,-3.800000
20032,3138015809,596178,3157.169998000,0.596515800,0.876000,-0.008000,0.504000,-5.800000,3.000000,0.900000
20033,3138035097,615466,3157.188669900,0.615187700,0.832000,-0.085000,0.556000,-9.800000,0.600000,4.100000
20034,3138054294,634663,3157.207605500,0.634123300,0.855000,-0.172000,0.511000,-4.700000,-1.200000,1.600000
20035,3138073461,653830,3157.231268300,0.657786100,0.826000,-0.126000,0.542000,-1.900000,-2.500000,-1.700000
20036,3138092750,673119,3157.246489600,0.673007400,0.825000,-0.115000,0.553000,0.800000,-4.900000,-2.500000
20037,3138111977,692346,3157.265378000,0.691895800,0.866000,-0.126000,0.518000,4.300000,-7.300000,-4.700000
20038,3138131205,711574,3157.284581500,0.711099300,0.856000,-0.051000,0.528000,4.400000,-4.300000,-5.100000
20039,3138150402,730771,3157.303638800,0.730156600,0.846000,-0.061000,0.539000,2.600000,-3.300000,-0.500000
20040,3138169691,750060,3157.323568400,0.750086200,0.847000,-0.095000,0.541000,1.600000,-6.100000,0.500000
20041,3138188857,769226,3157.344183600,0.770701400,0.872000,-0.078000,0.513000,3.000000,-4.000000,-2.200000
20042,3138208085,788454,3157.361542500,0.788060300,0.850000,-0.047000,0.526000,-1.000000,-3.300000,1.900000
20043,3138227312,807681,3157.381422200,0.807940000,0.849000,-0.081000,0.494000,-0.200000,-5.800000,0.500000
20044,3138246540,826909,3157.399422800,0.825940600,0.897000,-0.055000,0.505000,1.900000,0.700000,0.100000
20045,3138265829,846198,3157.419424600,0.845942400,0.847000,-0.084000,0.528000,1.600000,0.500000,4.200000
