meta_label,A
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
37594,955218542,0,974.760438200,0.000000000,0.846000,0.006000,0.536000,6.300000,-8.100000,-2.900000
37595,955237708,19166,974.779399400,0.018961200,0.891000,0.077000,0.497000,1.800000,-2.800000,0.100000
37596,955256905,38363,974.798689400,0.038251200,0.854000,0.041000,0.566000,-0.800000,-1.400000,3.700000
37597,955276194,57652,974.818423800,0.057985600,0.758000,-0.041000,0.637000,2.700000,-9.300000,3.000000
37598,955295422,76880,974.841699900,0.081261700,0.719000,-0.169000,0.701000,16.500000,-25.400000,-3.400000
37599,955314680,96138,974.856522800,0.096084600,0.977000,0.188000,0.403000,17.300000,-10.900000,-18.800000
37600,955333846,115304,974.875467700,0.115029500,0.913000,0.257000,0.405000,-3.400000,-5.400000,15.200000
37601,955353135,134593,974.900232400,0.139794200,0.879000,0.124000,0.492000,-22.200000,-7.500000,13.500000
37602,955372362,153820,974.914645600,0.154207400,0.929000,-0.168000,0.373000,-30.500000,-8.500000,-22.500000
37603,955391560,173018,974.933758500,0.173320300,0.781000,-0.033000,0.487000,-27.800000,11.100000,-78.600000
37604,955410757,192215,974.954036000,0.193597800,0.830000,0.084000,0.668000,-26.900000,-0.500000,-24.000000
37605,955430076,211534,974.971542200,0.211104000,0.851000,-0.118000,0.646000,-10.900000,-3.500000,-5.900000
37606,955449242,230700,974.992152200,0.231714000,0.851000,0.097000,0.508000,9.100000,-7.100000,-4.900000
37607,955468470,249928,975.010603700,0.250165500,0.892000,0.227000,0.562000,4.900000,-13.600000,22.400000
37608,955487698,269156,975.029542600,0.269104400,0.847000,0.126000,0.471000,5.700000,-17.200000,36.600000
37609,955506895,288353,975.048613300,0.288175100,0.861000,0.009000,0.494000,-0.600000,-30.300000,64.400000
37610,955526183,307641,975.068560700,0.308122500,0.856000,-0.095000,0.468000,7.800000,-9.400000,36.500000
37611,955545441,326899,975.091195800,0.330757600,0.864000,-0.033000,0.496000,9.800000,7.300000,3.400000
37612,955564700,346158,975.106535500,0.346097300,0.876000,0.064000,0.504000,-2.800000,7.800000,5.600000
37613,955583866,365324,975.125583300,0.365145100,0.893000,0.022000,0.441000,-21.300000,31.700000,-3.400000
37614,955603155,384613,975.144626200,0.384188000,0.680000,-0.124000,0.701000,-23.500000,25.500000,-3.800000
37615,955622321,403779,975.164573800,0.404135600,0.611000,-0.256000,0.876000,9.100000,-8.800000,-20.400000
37616,955641488,422946,975.188687300,0.428249100,1.048000,0.142000,0.461000,14.400000,-21.500000,-38.900000
37617,955660807,442265,975.202603000,0.442164800,0.876000,0.239000,0.335000,-8.300000,-16.700000,-0.400000
37618,955680035,461493,975.221629800,0.461191600,0.901000,-0.057000,0.508000,-15.300000,-5.000000,-17.000000
37619,955699232,480690,975.244279500,0.483841300,0.906000,0.035000,0.482000,-20.500000,-13.400000,-29.900000
37620,955718429,499887,975.260512600,0.500074400,0.856000,0.158000,0.403000,-11.900000,-3.400000,-8.100000
37621,955737748,519206,975.280287300,0.519849100,0.864000,0.172000,0.490000,-5.300000,1.800000,6.500000
37622,955756914,538372,975.298551000,0.538112800,0.823000,0.028000,0.608000,0.600000,-0.400000,17.800000
37623,955776234,557692,975.318548300,0.558110100,0.980000,-0.005000,0.415000,-4.200000,8.100000,13.000000
37624,955795370,576828,975.342990300,0.582552100,0.965000,0.163000,0.391000,-37.600000,36.400000,14.000000
37625,955814567,596025,975.356762900,0.596324700,0.831000,0.026000,0.547000,-42.000000,43.300000,24.000000
37626,955833855,615313,975.375427800,0.614989600,0.703000,-0.147000,0.722000,-28.600000,25.400000,22.200000
37627,955853083,634541,975.394682400,0.634244200,0.683000,-0.241000,0.732000,-4.800000,2.600000,13.000000
37628,955872341,653799,975.414570400,0.654132200,0.782000,-0.200000,0.619000,15.500000,-13.700000,-0.100000
37629,955891508,672966,975.433439300,0.673001100,0.841000,-0.041000,0.540000,19.700000,-12.400000,-9.300000
37630,955910796,692254,975.453368100,0.692929900,0.885000,0.068000,0.504000,13.500000,-5.500000,-6.500000
37631,955930024,711482,975.471608500,0.711170300,0.907000,0.121000,0.508000,7.100000,-0.200000,4.000000
37632,955949282,730740,975.501769600,0.741331400,0.899000,0.082000,0.485000,0.400000,9.200000,9.000000
37633,955968418,749876,975.510516500,0.750078300,0.872000,0.000000,0.522000,-1.300000,11.900000,7.200000
37634,955987737,769195,975.529439400,0.769001200,0.823000,-0.068000,0.607000,-2.600000,10.200000,4.200000
37635,956006904,788362,975.548484200,0.788046000,0.759000,-0.112000,0.642000,3.400000,1.700000,1.200000
37636,956026101,807559,975.568367300,0.807929100,0.786000,-0.073000,0.618000,14.000000,-7.700000,-2.600000
37637,956045359,826817,975.587947900,0.827509700,0.848000,-0.007000,0.561000,18.800000,-11.100000,-4.100000
37638,956064556,846014,975.606497300,0.846059100,0.880000,0.044000,0.507000,14.300000,-6.300000,-5.400000
37639,956083906,865364,975.625416900,0.864978700,0.877000,0.065000,0.512000,8.600000,0.000000,-2.300000
37640,956103042,884500,975.644542800,0.884104600,0.870000,0.040000,0.531000,1.600000,4.300000,-0.300000
37641,956122208,903666,975.663673100,0.903234900,0.848000,-0.018000,0.578000,-4.100000,4.700000,0.700000
37642,956141497,922955,975.689545400,0.929107200,0.836000,-0.056000,0.573000,0.000000,3.300000,-2.100000
