meta_label,A
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
9040,4186896893,0,4205.863059000,0.000000000,0.890000,0.009000,0.427000,-22.000000,-47.600000,-25.700000
9041,4186916181,19288,4205.885858200,0.022799200,0.864000,0.040000,0.515000,-42.800000,-24.200000,-3.200000
9042,4186935379,38486,4205.902094200,0.039035200,0.872000,-0.052000,0.490000,-30.800000,-18.400000,0.200000
9043,4186954545,57652,4205.921196400,0.058137400,0.888000,-0.074000,0.480000,-37.100000,-5.900000,-12.300000
9044,4186973834,76941,4205.940046800,0.076987800,0.895000,-0.069000,0.533000,-30.300000,-2.400000,-18.500000
9045,4186993061,96168,4205.960158100,0.097099100,0.896000,-0.052000,0.512000,-22.300000,3.800000,-5.800000
9046,4187012319,115426,4205.981482200,0.118423200,0.839000,-0.072000,0.550000,-12.600000,2.400000,0.000000
9047,4187031547,134654,4205.998195700,0.135136700,0.797000,-0.042000,0.543000,-4.900000,-3.100000,1.500000
9048,4187050775,153882,4206.017072700,0.154013700,0.824000,-0.105000,0.558000,-0.500000,-9.800000,0.600000
9049,4187069972,173079,4206.042819800,0.179760800,0.820000,-0.190000,0.545000,1.100000,-10.200000,-9.500000
9050,4187089291,192398,4206.056193900,0.193134900,0.851000,-0.151000,0.540000,6.200000,-9.700000,-10.500000
9051,4187108427,211534,4206.075005100,0.211946100,0.884000,-0.073000,0.488000,7.900000,-10.200000,-4.900000
9052,4187127624,230731,4206.098819900,0.235760900,0.908000,-0.004000,0.474000,5.700000,-7.500000,-1.600000
9053,4187146913,250020,4206.113123600,0.250064600,0.898000,-0.005000,0.485000,2.300000,-4.900000,3.700000
9054,4187166201,269308,4206.133138000,0.270079000,0.880000,-0.062000,0.497000,-0.800000,-2.500000,5.400000
9055,4187185398,288505,4206.156142100,0.293083100,0.847000,-0.103000,0.539000,-2.500000,-2.100000,3.400000
9056,4187204565,307672,4206.171180600,0.308121600,0.807000,-0.140000,0.553000,-0.600000,-8.900000,0.900000
9057,4187223854,326961,4206.193255400,0.330196400,0.833000,-0.217000,0.572000,4.300000,-17.500000,-6.200000
9058,4187243081,346188,4206.210070000,0.347011000,0.960000,-0.048000,0.467000,0.900000,-3.400000,-13.100000
9059,4187262278,365385,4206.232924200,0.369865200,0.888000,-0.011000,0.480000,-6.700000,-8.800000,-7.600000
9060,4187281506,384613,4206.248123300,0.385064300,0.860000,0.054000,0.490000,-12.700000,-10.500000,-1.200000
9061,4187300795,403902,4206.267064400,0.404005400,0.875000,-0.093000,0.484000,-19.900000,-8.400000,3.700000
9062,4187319961,423068,4206.286135500,0.423076500,0.911000,-0.209000,0.444000,-27.900000,-7.100000,-39.000000
9063,4187339189,442296,4206.306174300,0.443115300,0.847000,-0.049000,0.419000,-41.600000,13.100000,-58.500000
9064,4187358416,461523,4206.327627500,0.464568500,0.866000,0.012000,0.578000,-29.900000,7.100000,-29.900000
9065,4187377613,480720,4206.344137000,0.481078000,0.853000,-0.215000,0.559000,-12.300000,-2.400000,-5.600000
9066,4187396933,500040,4206.363104200,0.500045200,0.873000,-0.165000,0.505000,4.900000,-7.200000,-14.700000
9067,4187416221,519328,4206.383152500,0.520093500,0.875000,-0.024000,0.478000,16.600000,-4.700000,-18.400000
9068,4187435418,538525,4206.402009700,0.538950700,0.899000,0.120000,0.537000,6.700000,-12.900000,4.500000
9069,4187454585,557692,4206.421111300,0.558052300,0.916000,0.095000,0.552000,-6.400000,-26.700000,30.100000
9070,4187473873,576980,4206.439999800,0.576940800,0.826000,-0.081000,0.341000,2.400000,-7.200000,13.400000
9071,4187493040,596147,4206.459071700,0.596012700,0.876000,-0.054000,0.534000,-4.900000,-29.700000,46.600000
9072,4187512207,615314,4206.479103300,0.616044300,0.830000,-0.119000,0.369000,2.100000,-3.200000,26.600000
9073,4187531526,634633,4206.499924800,0.636865800,0.876000,-0.097000,0.481000,2.800000,7.700000,10.400000
9074,4187550814,653921,4206.517070100,0.654011100,0.908000,-0.101000,0.478000,-2.300000,4.500000,14.000000
9075,4187569981,673088,4206.536328700,0.673269700,0.963000,-0.114000,0.385000,-6.800000,24.300000,0.800000
9076,4187589209,692316,4206.556061500,0.693002500,0.851000,-0.008000,0.547000,-12.600000,17.900000,12.100000
9077,4187608436,711543,4206.575040800,0.711981800,0.790000,-0.146000,0.581000,-3.500000,5.600000,7.100000
9078,4187627633,730740,4206.596645800,0.733586800,0.826000,-0.210000,0.565000,3.500000,-1.600000,0.600000
9079,4187646952,750059,4206.613170500,0.750111500,0.857000,-0.190000,0.495000,7.900000,-4.800000,-5.800000
9080,4187666088,769195,4206.632003600,0.768944600,0.877000,-0.071000,0.491000,6.300000,-0.600000,-10.400000
9081,4187685285,788392,4206.651948000,0.788889000,0.896000,-0.030000,0.480000,2.700000,1.400000,-5.200000
9082,4187704574,807681,4206.671091400,0.808032400,0.866000,-0.040000,0.509000,0.100000,1.200000,2.200000
9083,4187723863,826970,4206.690065700,0.827006700,0.844000,-0.107000,0.520000,1.200000,-0.600000,4.600000
9084,4187743060,846167,4206.709128500,0.846069500,0.859000,-0.151000,0.498000,1.200000,-0.600000,1.700000
9085,4187762226,865333,4206.730415600,0.867356600,0.861000,-0.106000,0.513000,0.000000,2.200000,-5.100000
9086,4187781546,884653,4206.748063300,0.885004300,0.861000,-0.083000,0.516000,0.000000,0.400000,-2.700000
9087,4187800834,903941,4206.767013000,0.903954000,0.857000,-0.079000,0.513000,1.000000,-0.300000,0.600000
9088,4187820001,923108,4206.786309800,0.923250800,0.854000,-0.104000,0.532000,3.600000,-4.200000,3.000000
9089,4187839137,942244,4206.805974600,0.942915600,0.826000,-0.156000,0.542000,13.100000,-9.100000,1.700000
9090,4187858456,961563,4206.825020700,0.961961700,0.771000,-0.223000,0.503000,23.800000,-13.100000,-4.400000
9091,4187877623,980730,4206.846849500,0.983790500,0.881000,-0.033000,0.522000,9.300000,1.400000,-16.300000
9092,4187896850,999957,4206.863155800,1.000096800,0.921000,-0.128000,0.511000,3.400000,-13.000000,-21.100000
9093,4187916078,1019185,4206.883052900,1.019993900,0.877000,-0.162000,0.467000,9.200000,-10.300000,-27.000000
9094,4187935275,1038382,4206.902143700,1.039084700,0.880000,-0.026000,0.471000,8.200000,-10.900000,-33.000000
9095,4187954594,1057701,4206.921096200,1.058037200,0.973000,0.113000,0.487000,-7.300000,-11.400000,-28.400000
9096,4187973883,1076990,4206.941536900,1.078477900,0.841000,0.174000,0.371000,-21.600000,-13.500000,-19.300000
9097,4187993019,1096126,4206.959126600,1.096067600,0.779000,0.199000,0.378000,-22.700000,-3.900000,-0.900000
9098,4188012246,1115353,4206.979048400,1.115989400,0.882000,-0.176000,0.575000,-13.000000,10.300000,26.400000
9099,4188031535,1134642,4207.001943700,1.138884700,0.859000,-0.144000,0.523000,3.100000,4.500000,26.300000
9100,4188050762,1153869,4207.016992900,1.153933900,1.118000,0.103000,0.297000,-9.800000,25.900000,27.900000
9101,4188069990,1173097,4207.036013900,1.172954900,0.975000,0.034000,0.443000,-47.300000,42.000000,35.400000
