meta_label,a
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
40376,2268973672,0,2288.281715300,0.000000000,0.834000,-0.019000,0.530000,9.300000,-8.200000,9.000000
40377,2268992869,19197,2288.301476200,0.019760900,0.846000,-0.023000,0.528000,10.800000,-11.200000,7.900000
40378,2269012066,38394,2288.321359000,0.039643700,0.906000,-0.094000,0.477000,7.600000,-10.800000,-1.900000
40379,2269031294,57622,2288.339461200,0.057745900,0.921000,-0.051000,0.440000,6.800000,-7.200000,-2.700000
40380,2269050552,76880,2288.358453000,0.076737700,0.922000,-0.005000,0.441000,4.000000,-3.600000,0.800000
40381,2269069779,96107,2288.379522000,0.097806700,0.877000,-0.013000,0.479000,2.800000,-3.200000,3.800000
40382,2269089007,115335,2288.397455700,0.115740400,0.866000,-0.061000,0.492000,2.200000,-4.200000,1.100000
40383,2269108204,134532,2288.419633400,0.137918100,0.865000,-0.095000,0.498000,0.400000,-6.400000,-7.300000
40384,2269127523,153851,2288.435490600,0.153775300,0.851000,-0.091000,0.504000,-0.900000,-10.100000,-19.100000
40385,2269146751,173079,2288.455652600,0.173937300,0.846000,-0.050000,0.532000,0.900000,-11.600000,-19.700000
40386,2269165948,192276,2288.474429000,0.192713700,0.953000,0.054000,0.444000,0.700000,-4.900000,-12.600000
40387,2269185176,211504,2288.493365600,0.211650300,0.895000,0.041000,0.453000,-5.000000,-3.500000,0.700000
40388,2269204464,230792,2288.515489500,0.233774200,0.873000,-0.056000,0.482000,0.500000,-2.600000,1.500000
40389,2269223631,249959,2288.531609900,0.249894600,0.865000,-0.050000,0.530000,7.800000,-3.200000,2.500000
40390,2269242797,269125,2288.550673300,0.268958000,0.878000,0.034000,0.459000,16.800000,-10.300000,20.800000
40391,2269262086,288414,2288.571729900,0.290014600,0.962000,-0.019000,0.334000,13.800000,-1.500000,-8.100000
40392,2269281314,307642,2288.589513200,0.307797900,0.878000,0.098000,0.429000,-15.300000,-12.600000,14.900000
40393,2269300572,326900,2288.612884700,0.331169400,0.944000,-0.107000,0.477000,-14.300000,-8.400000,-5.400000
40394,2269319799,346127,2288.627596600,0.345881300,0.850000,-0.068000,0.439000,-8.600000,1.200000,-29.800000
40395,2269339027,365355,2288.647435500,0.365720200,0.866000,-0.112000,0.527000,-2.000000,-0.500000,-18.700000
40396,2269358224,384552,2288.666382500,0.384667200,0.882000,0.006000,0.500000,11.700000,-5.800000,-9.100000
40397,2269377543,403871,2288.685560800,0.403845500,0.892000,0.125000,0.433000,13.800000,-3.400000,0.100000
