meta_label,E
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
8922,1432246863,0,1243.867062800,0.000000000,0.897000,-0.011000,0.438000,2.200000,-2.300000,-1.500000
8923,1432266090,19227,1243.886486200,0.019423400,0.909000,-0.007000,0.426000,1.500000,-1.400000,1.600000
8924,1432285318,38455,1243.906099200,0.039036400,0.903000,-0.034000,0.447000,2.400000,-0.100000,1.900000
8925,1432304546,57683,1243.925129000,0.058066200,0.878000,-0.051000,0.478000,-1.300000,-0.500000,-5.800000
8926,1432323834,76971,1243.944099100,0.077036300,0.856000,-0.041000,0.484000,-5.000000,-6.900000,-11.500000
8927,1432342970,96107,1243.963078600,0.096015800,0.862000,-0.093000,0.499000,-6.900000,-8.000000,-19.300000
8928,1432362259,115396,1243.986715900,0.119653100,1.002000,-0.030000,0.446000,-6.700000,-19.900000,-23.900000
8929,1432381456,134593,1244.002149900,0.135087100,0.904000,0.068000,0.376000,-13.700000,-10.800000,-3.500000
8930,1432400775,153912,1244.021157500,0.154094700,0.922000,-0.017000,0.341000,2.300000,-4.600000,-1.100000
8931,1432419942,173079,1244.040142700,0.173079900,0.927000,0.025000,0.513000,8.100000,-10.800000,13.100000
8932,1432439108,192245,1244.059170900,0.192108100,0.885000,-0.068000,0.396000,18.900000,-17.100000,18.700000
8933,1432458397,211534,1244.080494300,0.213431500,0.963000,-0.023000,0.395000,15.700000,-12.100000,11.500000
8934,1432477625,230762,1244.098133800,0.231071000,0.883000,0.009000,0.403000,2.600000,-11.400000,7.200000
8935,1432496852,249989,1244.117127000,0.250064200,0.917000,-0.046000,0.428000,-6.600000,-3.900000,-0.400000
8936,1432516049,269186,1244.136183600,0.269120800,0.918000,-0.018000,0.403000,-15.700000,-19.800000,-8.800000
8937,1432535338,288475,1244.156167400,0.289104600,0.949000,-0.016000,0.350000,-3.000000,-7.800000,-16.800000
8938,1432554504,307641,1244.176460500,0.309397700,0.866000,0.019000,0.397000,2.500000,0.000000,-2.800000
8939,1432573732,326869,1244.194171300,0.327108500,0.903000,-0.067000,0.414000,2.100000,3.300000,4.200000
8940,1432592960,346097,1244.213224100,0.346161300,0.921000,-0.063000,0.386000,-2.700000,9.500000,-1.000000
8941,1432612187,365324,1244.232240900,0.365178100,0.940000,0.002000,0.374000,-13.300000,22.700000,-0.700000
8942,1432631476,384613,1244.252055700,0.384992900,0.886000,-0.033000,0.431000,-17.900000,27.600000,2.300000
8943,1432650612,403749,1244.271989400,0.404926600,0.863000,-0.079000,0.485000,-14.400000,23.900000,-1.800000
8944,1432669901,423038,1244.290153600,0.423090800,0.805000,-0.114000,0.582000,-4.500000,8.600000,-4.600000
8945,1432689128,442265,1244.309142400,0.442079600,0.786000,-0.142000,0.592000,9.300000,-13.000000,-4.800000
8946,1432708417,461554,1244.329088400,0.462025600,0.992000,-0.135000,0.448000,17.400000,-27.000000,-17.200000
8947,1432727583,480720,1244.350616400,0.483553600,0.919000,0.118000,0.317000,-1.500000,-4.400000,-20.100000
8948,1432746750,499887,1244.367150200,0.500087400,0.943000,0.075000,0.358000,-0.500000,-10.000000,-10.700000
8949,1432766069,519206,1244.386137000,0.519074200,0.908000,0.004000,0.377000,-9.000000,-2.600000,-4.800000
8950,1432785358,538495,1244.406162400,0.539099600,0.922000,-0.054000,0.426000,-11.800000,-3.400000,-10.700000
8951,1432804524,557661,1244.424938700,0.557875900,0.916000,0.040000,0.335000,-10.000000,-6.100000,-17.800000
8952,1432823752,576889,1244.447642200,0.580579400,0.965000,0.181000,0.454000,-2.000000,-13.600000,-15.900000
8953,1432842979,596116,1244.463073000,0.596010200,0.867000,0.107000,0.368000,2.600000,-4.400000,-3.800000
8954,1432862207,615344,1244.482058700,0.614995900,0.915000,-0.107000,0.469000,6.900000,4.600000,3.200000
8955,1432881496,634633,1244.503384800,0.636322000,0.893000,0.019000,0.389000,3.000000,1.700000,-0.700000
8956,1432900632,653769,1244.521016800,0.653954000,0.963000,0.044000,0.424000,1.200000,10.600000,10.000000
8957,1432919829,672966,1244.541144300,0.674081500,0.859000,-0.006000,0.477000,-0.400000,12.000000,26.800000
8958,1432939117,692254,1244.559105800,0.692043000,0.846000,-0.154000,0.522000,10.800000,1.000000,27.100000
8959,1432958437,711574,1244.579092800,0.712030000,0.778000,-0.243000,0.560000,23.900000,-8.200000,13.900000
8960,1432977603,730740,1244.602926900,0.735864100,0.997000,-0.197000,0.450000,30.500000,-25.000000,-11.200000
8961,1432996770,749907,1244.617173200,0.750110400,0.920000,0.223000,0.323000,11.200000,-1.000000,-12.000000
8962,1433016058,769195,1244.636177800,0.769115000,0.914000,0.151000,0.326000,4.400000,-1.300000,-0.800000
8963,1433035255,788392,1244.655055200,0.787992400,0.912000,0.047000,0.463000,-21.900000,-9.200000,-0.500000
8964,1433054514,807651,1244.675162900,0.808100100,0.956000,0.023000,0.336000,-26.600000,-22.900000,-9.300000
8965,1433073711,826848,1244.695160300,0.828097500,0.854000,0.040000,0.368000,-15.100000,-14.100000,-2.200000
8966,1433092999,846136,1244.713024800,0.845962000,0.893000,0.049000,0.342000,-8.900000,-4.800000,-0.400000
8967,1433112166,865303,1244.732168700,0.865105900,0.909000,0.019000,0.413000,0.200000,1.100000,7.300000
8968,1433131455,884592,1244.752276200,0.885213400,1.047000,0.020000,0.293000,-7.500000,7.600000,17.000000
8969,1433150621,903758,1244.771152400,0.904089600,1.015000,0.170000,0.284000,-34.000000,34.200000,26.600000
8970,1433169849,922986,1244.790084000,0.923021200,0.967000,0.136000,0.362000,-41.600000,42.600000,42.700000
8971,1433189107,942244,1244.809129300,0.942066500,0.867000,-0.029000,0.476000,-41.200000,44.100000,59.800000
8972,1433208426,961563,1244.829144400,0.962081600,0.769000,-0.215000,0.553000,-30.600000,30.600000,51.900000
8973,1433227562,980699,1244.851998900,0.984936100,0.750000,-0.280000,0.607000,-14.900000,16.600000,34.500000
8974,1433246790,999927,1244.867120800,1.000058000,0.764000,-0.284000,0.602000,-1.000000,1.400000,18.400000
8975,1433266078,1019215,1244.886118700,1.019055900,0.785000,-0.257000,0.556000,10.100000,-14.500000,5.300000
8976,1433285245,1038382,1244.905113500,1.038050700,0.858000,-0.190000,0.457000,16.000000,-15.800000,-1.600000
8977,1433304411,1057548,1244.925187900,1.058125100,0.902000,-0.088000,0.427000,13.600000,-11.800000,-2.200000
8978,1433323731,1076868,1244.946768200,1.079705400,0.937000,-0.045000,0.401000,7.500000,-6.000000,-1.400000
8979,1433343019,1096156,1244.963174600,1.096111800,0.922000,-0.086000,0.415000,3.400000,-0.300000,0.000000
8980,1433362186,1115323,1244.982316900,1.115254100,0.904000,-0.086000,0.441000,2.500000,1.200000,0.700000
8981,1433381413,1134550,1245.002074000,1.135011200,0.884000,-0.102000,0.462000,2.000000,1.900000,1.400000
8982,1433400671,1153808,1245.021051400,1.153988600,0.873000,-0.110000,0.478000,1.400000,0.900000,1.300000
8983,1433419838,1172975,1245.040199700,1.173136900,0.870000,-0.106000,0.477000,1.500000,1.300000,0.400000
8984,1433439157,1192294,1245.059124700,1.192061900,0.863000,-0.106000,0.484000,0.900000,-0.700000,-0.200000
