meta_label,E
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5604,2860565295,0,2879.772189700,0.000000000,0.882000,0.142000,0.490000,6.100000,-12.900000,-10.900000
5605,2860584644,19349,2879.787244600,0.015054900,0.887000,0.196000,0.450000,-3.200000,-7.500000,-10.100000
5606,2860603780,38485,2879.806853700,0.034664000,0.809000,0.208000,0.526000,-14.400000,-6.600000,-10.000000
5607,2860623038,57743,2879.826182600,0.053992900,0.743000,0.131000,0.648000,-13.800000,-16.900000,-4.900000
5608,2860642266,76971,2879.845081700,0.072892000,0.783000,0.010000,0.673000,1.900000,-31.200000,2.600000
5609,2860661555,96260,2879.864248300,0.092058600,1.064000,0.033000,0.391000,2.200000,-23.200000,0.400000
5610,2860680782,115487,2879.883188400,0.110998700,0.870000,0.203000,0.442000,0.900000,-14.600000,12.900000
5611,2860700010,134715,2879.907149500,0.134959800,0.904000,0.036000,0.508000,16.800000,-10.000000,25.400000
5612,2860719207,153912,2879.922222900,0.150033200,0.846000,0.218000,0.397000,17.800000,-14.400000,15.200000
5613,2860738435,173140,2879.941193800,0.169004100,0.884000,0.023000,0.455000,-3.300000,-8.700000,5.800000
5614,2860757632,192337,2879.963482600,0.191292900,0.871000,0.099000,0.506000,-8.300000,-6.400000,-3.900000
5615,2860776829,211534,2879.979207100,0.207017400,0.946000,0.182000,0.405000,-11.900000,-27.400000,-0.500000
5616,2860796148,230853,2880.002219900,0.230030200,0.828000,0.171000,0.314000,-7.100000,0.300000,4.700000
5617,2860815284,249989,2880.018052700,0.245863000,0.839000,0.050000,0.488000,2.000000,5.300000,2.000000
5618,2860834664,269369,2880.037246600,0.265056900,0.851000,-0.054000,0.562000,4.500000,12.300000,-2.000000
5619,2860853800,288505,2880.059952700,0.287763000,0.916000,-0.013000,0.449000,-10.200000,29.300000,-36.100000
5620,2860873058,307763,2880.076265200,0.304075500,0.805000,0.192000,0.550000,-31.300000,36.000000,-36.100000
5621,2860892286,326991,2880.095239600,0.323049900,0.731000,0.097000,0.713000,-14.300000,17.000000,-21.800000
5622,2860911575,346280,2880.119113600,0.346923900,0.644000,0.000000,0.831000,14.600000,-22.300000,-8.000000
5623,2860930741,365446,2880.133055900,0.360866200,0.998000,0.108000,0.477000,18.900000,-23.100000,-19.400000
5624,2860949908,384613,2880.153292000,0.381102300,0.921000,0.301000,0.352000,-3.000000,-33.600000,-8.100000
5625,2860969196,403901,2880.175633200,0.403443500,0.860000,0.234000,0.367000,-16.000000,-10.200000,2.600000
5626,2860988393,423098,2880.191099800,0.418910100,0.889000,0.080000,0.475000,-20.900000,-14.000000,-2.800000
5627,2861007682,442387,2880.210153000,0.437963300,0.953000,0.242000,0.284000,-9.700000,-17.600000,-18.000000
5628,2861026849,461554,2880.229140900,0.456951200,0.881000,0.237000,0.273000,-4.700000,6.800000,8.000000
5629,2861046137,480842,2880.249213700,0.477024000,0.835000,0.024000,0.621000,3.300000,8.600000,19.500000
5630,2861065304,500009,2880.269467700,0.497278000,0.867000,0.019000,0.568000,15.000000,16.100000,20.100000
5631,2861084531,519236,2880.287263000,0.515073300,0.841000,0.060000,0.563000,-2.800000,37.500000,19.500000
5632,2861103759,538464,2880.306233400,0.534043700,0.628000,-0.050000,0.777000,5.500000,13.700000,11.800000
5633,2861122956,557661,2880.326232900,0.554043200,0.791000,-0.174000,0.728000,36.200000,-42.100000,-2.400000
5634,2861142306,577011,2880.348740500,0.576550800,0.886000,0.415000,0.359000,14.100000,-16.100000,-41.400000
5635,2861161442,596147,2880.364307200,0.592117500,0.869000,0.410000,0.209000,-30.600000,-23.800000,2.900000
5636,2861180761,615466,2880.387318800,0.615129100,0.964000,0.054000,0.443000,-37.400000,8.600000,23.800000
5637,2861199928,634633,2880.403293600,0.631103900,0.902000,0.170000,0.249000,-3.600000,-18.200000,0.500000
5638,2861219216,653921,2880.422142700,0.649953000,0.874000,0.205000,0.502000,11.300000,18.500000,28.700000
5639,2861238444,673149,2880.441233200,0.669043500,1.283000,0.392000,0.186000,-55.500000,64.600000,34.200000
5640,2861257671,692376,2880.460267500,0.688077800,0.927000,0.089000,0.412000,-84.300000,115.100000,57.900000
5641,2861276868,711573,2880.482956700,0.710767000,0.624000,-0.228000,0.736000,-77.100000,120.800000,39.500000
5642,2861296157,730862,2880.499278200,0.727088500,0.468000,-0.298000,1.014000,-47.200000,50.500000,18.600000
5643,2861315324,750029,2880.518212900,0.746023200,0.488000,-0.314000,0.972000,-0.700000,-0.500000,13.300000
5644,2861334551,769256,2880.540349300,0.768159600,0.666000,-0.215000,0.802000,41.200000,-30.600000,4.200000
5645,2861353779,788484,2880.556212900,0.784023200,0.822000,0.008000,0.587000,56.600000,-43.100000,-1.300000
5646,2861372976,807681,2880.576800100,0.804610400,0.973000,0.187000,0.407000,43.500000,-30.300000,4.900000
5647,2861392295,827000,2880.596885200,0.824695500,0.945000,0.269000,0.403000,19.900000,-2.300000,11.900000
5648,2861411584,846289,2880.614230600,0.842040900,0.913000,0.165000,0.445000,-0.200000,5.700000,15.000000
5649,2861430720,865425,2880.634329200,0.862139500,0.904000,0.001000,0.513000,-9.300000,16.500000,12.200000
5650,2861449947,884652,2880.652262200,0.880072500,0.784000,-0.054000,0.621000,-14.400000,15.900000,-2.400000
5651,2861469236,903941,2880.672203200,0.900013500,0.731000,-0.089000,0.682000,-6.300000,6.700000,-10.500000
5652,2861488342,923047,2880.695381200,0.923191500,0.746000,-0.088000,0.691000,7.800000,-8.900000,-9.100000
