meta_label,e
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
39218,2246705395,0,2266.017953200,0.000000000,0.827000,-0.020000,0.542000,6.400000,-7.700000,0.200000
39219,2246724561,19166,2266.037046500,0.019093300,0.846000,0.000000,0.523000,7.700000,-9.800000,5.200000
39220,2246743728,38333,2266.056183000,0.038229800,0.867000,-0.023000,0.508000,4.300000,-10.100000,2.100000
39221,2246763017,57622,2266.074990300,0.057037100,0.850000,-0.067000,0.538000,4.600000,-8.500000,-2.200000
39222,2246782183,76788,2266.094047400,0.076094200,0.765000,-0.172000,0.617000,15.700000,-13.100000,-6.400000
39223,2246801411,96016,2266.114106000,0.096152800,1.033000,-0.172000,0.469000,30.600000,-30.400000,-10.200000
39224,2246820638,115243,2266.135206000,0.117252800,0.873000,0.228000,0.405000,13.800000,-11.400000,-12.900000
39225,2246839835,134440,2266.152098500,0.134145300,0.877000,0.129000,0.367000,-2.100000,1.400000,-5.100000
39226,2246859185,153790,2266.171042800,0.153089600,0.912000,-0.016000,0.470000,-11.800000,3.700000,-7.500000
39227,2246878321,172926,2266.195086500,0.177133300,0.931000,-0.050000,0.416000,-14.300000,-3.700000,-33.100000
39228,2246897640,192245,2266.210206300,0.192253100,0.825000,0.101000,0.543000,-14.400000,-2.100000,-17.800000
39229,2246916807,211412,2266.228959100,0.211005900,0.806000,-0.027000,0.633000,-3.900000,2.900000,1.500000
39230,2246936096,230701,2266.248948600,0.230995400,0.829000,-0.074000,0.609000,1.800000,-2.900000,-6.800000
39231,2246955323,249928,2266.267136500,0.249183300,0.861000,-0.115000,0.480000,9.900000,-1.600000,-2.000000
39232,2246974551,269156,2266.287121900,0.269168700,0.977000,-0.005000,0.431000,18.500000,-3.300000,-4.000000
39233,2246993717,288322,2266.306044500,0.288091300,0.878000,0.244000,0.315000,9.300000,-8.600000,2.400000
39234,2247013036,307641,2266.324994000,0.307040800,0.953000,0.340000,0.553000,-13.500000,-6.100000,24.000000
39235,2247032203,326808,2266.344161200,0.326208000,0.882000,-0.108000,0.405000,-34.200000,-16.100000,26.100000
39236,2247051431,346036,2266.366397700,0.348444500,0.814000,-0.165000,0.526000,-25.700000,-12.600000,-7.900000
39237,2247070658,365263,2266.383092500,0.365139300,0.782000,-0.013000,0.483000,-9.800000,5.400000,-3.900000
39238,2247089855,384460,2266.402163500,0.384210300,0.890000,0.000000,0.467000,2.100000,7.600000,-12.400000
39239,2247109205,403810,2266.424335900,0.406382700,1.050000,0.177000,0.376000,-7.000000,7.600000,2.600000
39240,2247128341,422946,2266.440151600,0.422198400,0.931000,0.135000,0.432000,-24.100000,35.600000,29.600000
39241,2247147599,442204,2266.460100000,0.442146800,0.782000,-0.078000,0.590000,-21.300000,33.200000,30.200000
39242,2247166827,461432,2266.482022900,0.464069700,0.732000,-0.229000,0.653000,-11.300000,6.600000,13.900000
39243,2247186115,480720,2266.497962400,0.480009200,0.736000,-0.250000,0.650000,6.900000,-6.800000,-4.200000
39244,2247205282,499887,2266.517045400,0.499092200,0.820000,-0.033000,0.514000,9.600000,-10.200000,-10.100000
39245,2247224448,519053,2266.537452900,0.519499700,0.891000,0.066000,0.479000,7.500000,-5.600000,-7.400000
39246,2247243768,538373,2266.556104500,0.538151300,0.897000,0.044000,0.487000,2.300000,-1.800000,0.400000
39247,2247263026,557631,2266.575121400,0.557168200,0.892000,-0.043000,0.495000,-1.000000,2.400000,2.600000
39248,2247282223,576828,2266.595487100,0.577533900,0.834000,-0.049000,0.532000,-0.600000,-0.300000,0.500000
39249,2247301420,596025,2266.614100500,0.596147300,0.852000,-0.093000,0.542000,2.800000,-2.500000,-0.200000
39250,2247320678,615283,2266.635354600,0.617401400,0.836000,-0.057000,0.551000,6.800000,-6.300000,-2.800000
39251,2247339875,634480,2266.655059000,0.637105800,0.862000,-0.032000,0.528000,7.800000,-8.000000,-2.500000
39252,2247359194,653799,2266.671084800,0.653131600,0.874000,0.001000,0.507000,6.000000,-5.700000,-2.100000
39253,2247378330,672935,2266.693050800,0.675097600,0.855000,0.000000,0.505000,3.700000,-5.400000,0.600000
39254,2247397527,692132,2266.710144100,0.692190900,0.901000,-0.022000,0.477000,0.800000,-2.900000,-2.700000
39255,2247416816,711421,2266.730446200,0.712493000,0.871000,0.001000,0.500000,-1.300000,1.900000,-0.200000
39256,2247436044,730649,2266.748048900,0.730095700,0.858000,-0.038000,0.545000,1.300000,1.000000,1.700000
39257,2247455302,749907,2266.766982300,0.749029100,0.847000,-0.036000,0.544000,4.000000,-0.900000,2.700000
39258,2247474468,769073,2266.787206500,0.769253300,0.834000,-0.045000,0.545000,5.500000,-3.600000,2.700000
