meta_label,G
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
26915,517994992,0,329.778269800,0.000000000,0.873000,0.057000,0.483000,4.900000,-1.900000,-7.200000
26916,518014159,19167,329.795147400,0.016877600,0.902000,0.061000,0.463000,5.400000,-7.900000,-2.800000
26917,518033386,38394,329.815093300,0.036823500,0.914000,0.046000,0.428000,9.200000,-8.400000,-3.000000
26918,518052645,57653,329.834223800,0.055954000,0.878000,0.074000,0.437000,7.100000,-4.000000,-3.300000
26919,518071842,76850,329.853224200,0.074954400,0.883000,0.060000,0.454000,4.300000,-5.800000,-5.800000
26920,518091130,96138,329.874500900,0.096231100,0.892000,0.083000,0.456000,8.700000,-6.100000,-3.100000
26921,518110297,115305,329.897818300,0.119548500,0.915000,0.056000,0.431000,6.300000,-8.400000,-3.300000
26922,518129555,134563,329.911196300,0.132926500,0.908000,0.035000,0.436000,1.000000,-9.500000,-10.300000
26923,518148783,153791,329.930318000,0.152048200,0.891000,0.041000,0.445000,-2.100000,-12.900000,-16.900000
26924,518168071,173079,329.949184800,0.170915000,0.890000,0.087000,0.424000,-0.600000,-14.000000,-16.900000
26925,518187238,192246,329.973087100,0.194817300,0.889000,0.071000,0.442000,1.000000,-12.600000,-12.900000
26926,518206404,211412,329.988262400,0.209992600,0.870000,0.028000,0.494000,2.800000,-17.900000,-15.600000
26927,518225693,230701,330.007211000,0.228941200,0.997000,0.127000,0.335000,-10.000000,-13.300000,-25.200000
26928,518245012,250020,330.026401500,0.248131700,0.912000,0.139000,0.340000,-22.800000,-4.000000,-18.700000
26929,518264179,269187,330.045127000,0.266857200,0.884000,0.148000,0.456000,-14.200000,-2.400000,-12.500000
26930,518283528,288536,330.066739600,0.288469800,0.897000,0.060000,0.467000,-6.500000,-2.200000,0.200000
26931,518302634,307642,330.084150600,0.305880800,0.873000,0.050000,0.442000,6.400000,-3.700000,-2.800000
26932,518321800,326808,330.103318600,0.325048800,0.906000,0.151000,0.431000,11.800000,-3.000000,7.600000
26933,518341181,346189,330.122922500,0.344652700,0.977000,0.129000,0.417000,17.900000,-7.300000,26.700000
26934,518360317,365325,330.142406800,0.364137000,0.893000,0.196000,0.341000,20.400000,-9.300000,39.600000
26935,518379575,384583,330.163566900,0.385297100,0.942000,0.129000,0.329000,0.800000,-9.900000,28.200000
26936,518398772,403780,330.180293300,0.402023500,0.913000,-0.015000,0.394000,-9.900000,-5.100000,4.900000
26937,518418091,423099,330.199254700,0.420984900,0.877000,-0.065000,0.497000,-10.000000,-3.900000,-16.900000
26938,518437258,442266,330.224017000,0.445747200,0.886000,0.075000,0.495000,-6.900000,-0.900000,-25.000000
26939,518456516,461524,330.238336900,0.460067100,0.872000,0.171000,0.416000,-8.100000,-0.400000,-9.300000
26940,518475713,480721,330.259441200,0.481171400,0.915000,0.167000,0.477000,-2.100000,1.900000,-4.900000
26941,518495032,500040,330.276263300,0.497993500,0.892000,0.014000,0.362000,-4.400000,-7.200000,6.200000
26942,518514168,519176,330.295216300,0.516946500,0.946000,0.050000,0.409000,-6.600000,-6.200000,-3.400000
26943,518533426,538434,330.320139500,0.541869700,0.951000,0.097000,0.291000,-10.800000,-5.800000,-12.600000
26944,518552654,557662,330.334265800,0.555996000,0.909000,0.143000,0.466000,-6.200000,-10.100000,-5.500000
26945,518571851,576859,330.353149900,0.574880100,0.881000,0.048000,0.398000,1.700000,-4.000000,4.900000
26946,518591170,596178,330.375867600,0.597597800,0.906000,0.009000,0.508000,9.400000,-6.100000,2.200000
26947,518610306,615314,330.391032500,0.612762700,0.908000,0.252000,0.451000,12.800000,-16.300000,38.100000
26948,518629595,634603,330.411328800,0.633059000,0.924000,0.071000,0.245000,11.500000,1.200000,27.000000
26949,518648792,653800,330.430184400,0.651914600,0.927000,0.053000,0.313000,9.700000,-0.100000,32.100000
26950,518668111,673119,330.449209300,0.670939500,0.960000,-0.119000,0.450000,6.500000,9.400000,7.300000
26951,518687277,692285,330.468243800,0.689974000,0.951000,-0.019000,0.368000,-10.400000,14.400000,-21.200000
26952,518706444,711452,330.488972600,0.710702800,0.869000,0.174000,0.461000,-22.200000,19.000000,-22.300000
26953,518725733,730741,330.507314100,0.729044300,0.899000,0.135000,0.441000,-19.900000,15.300000,-14.400000
26954,518744899,749907,330.526225000,0.747955200,0.906000,0.072000,0.437000,-15.300000,12.800000,-5.300000
26955,518764066,769074,330.545208500,0.766938700,0.931000,0.053000,0.415000,-13.700000,13.200000,0.600000
26956,518783385,788393,330.564560700,0.786290900,0.881000,0.016000,0.469000,-9.500000,12.700000,4.300000
26957,518802674,807682,330.585636000,0.807366200,0.871000,0.025000,0.486000,-1.700000,5.800000,2.900000
26958,518821840,826848,330.603207400,0.824937600,0.901000,0.054000,0.446000,0.700000,1.200000,4.200000
26959,518841129,846137,330.622409000,0.844139200,0.938000,0.065000,0.400000,-0.700000,4.000000,0.100000
26960,518860295,865303,330.642357600,0.864087800,0.943000,0.048000,0.409000,-6.100000,11.200000,-5.800000
26961,518879523,884531,330.661293500,0.883023700,0.964000,0.040000,0.421000,-14.100000,17.800000,-10.200000
26962,518898812,903820,330.680568900,0.902299100,1.002000,-0.004000,0.439000,-12.400000,24.300000,-14.900000
26963,518917978,922986,330.699096500,0.920826700,0.958000,-0.019000,0.490000,-7.400000,25.700000,-22.200000
26964,518937236,942244,330.718952700,0.940682900,0.944000,-0.016000,0.560000,2.100000,14.000000,-29.500000
26965,518956433,961441,330.738182600,0.959912800,0.927000,-0.045000,0.588000,13.700000,2.500000,-38.900000
