meta_label,G
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
60013,872140345,0,5185.901950800,0.000000000,0.861000,0.092000,0.518000,6.300000,-5.800000,-0.800000
60014,872159542,19197,5185.918612400,0.016661600,0.865000,0.114000,0.507000,0.900000,-5.400000,-1.700000
60015,872178862,38517,5185.938553400,0.036602600,0.855000,0.073000,0.517000,2.300000,-7.600000,-2.800000
60016,872198028,57683,5185.958180300,0.056229500,0.849000,0.045000,0.543000,8.800000,-10.900000,-4.700000
60017,872217347,77002,5185.976583200,0.074632400,0.832000,0.048000,0.558000,12.900000,-16.300000,-10.600000
60018,872236575,96230,5185.995556800,0.093606000,0.926000,0.110000,0.454000,10.400000,-20.000000,-16.000000
60019,872255833,115488,5186.020072900,0.118122100,0.861000,0.157000,0.463000,-8.500000,-7.300000,-12.400000
60020,872275000,134655,5186.034513400,0.132562600,0.859000,0.135000,0.500000,-15.500000,-4.400000,-10.800000
60021,872294288,153943,5186.053649100,0.151698300,0.859000,0.072000,0.548000,-12.800000,-6.600000,-4.500000
60022,872313516,173171,5186.072568500,0.170617700,0.810000,0.026000,0.473000,-10.200000,0.700000,-11.300000
60023,872332713,192368,5186.092571600,0.190620800,0.911000,0.141000,0.426000,-8.500000,-10.100000,-0.700000
60024,872351910,211565,5186.112645200,0.210694400,0.848000,0.044000,0.590000,13.500000,2.700000,2.400000
60025,872371229,230884,5186.130481300,0.228530500,0.904000,0.116000,0.508000,22.600000,-6.400000,23.400000
60026,872390365,250020,5186.149475800,0.247525000,0.874000,0.145000,0.369000,24.000000,-7.100000,32.500000
60027,872409562,269217,5186.168465900,0.266515100,0.955000,0.392000,0.460000,13.900000,-3.900000,4.500000
60028,872428881,288536,5186.188496200,0.286545400,0.922000,-0.051000,0.425000,-12.100000,-9.300000,20.100000
60029,872448078,307733,5186.207624000,0.305673200,0.772000,-0.048000,0.479000,-15.400000,-5.200000,-7.600000
60030,872467306,326961,5186.226491500,0.324540700,0.794000,-0.050000,0.613000,-12.000000,-2.100000,-25.400000
60031,872486534,346189,5186.246565100,0.344614300,0.883000,0.152000,0.661000,-11.400000,-5.300000,-19.300000
60032,872505792,365447,5186.265502900,0.363552100,0.830000,0.074000,0.467000,-12.300000,-1.000000,-9.000000
60033,872525019,384674,5186.284483400,0.382532600,0.906000,0.191000,0.431000,-0.800000,-16.400000,1.900000
60034,872544277,403932,5186.306346400,0.404395600,0.883000,0.077000,0.345000,-7.000000,1.800000,-0.200000
60035,872563475,423130,5186.322607800,0.420657000,0.905000,0.068000,0.515000,-4.900000,-6.700000,-3.600000
60036,872582641,442296,5186.341547600,0.439596800,0.907000,0.102000,0.502000,1.300000,-10.300000,-8.400000
60037,872601960,461615,5186.363403100,0.461452300,0.862000,-0.019000,0.566000,5.200000,-5.600000,4.200000
60038,872621249,480904,5186.380479800,0.478529000,0.869000,0.183000,0.517000,13.400000,-6.500000,1.200000
60039,872640415,500070,5186.400168800,0.498218000,0.864000,0.245000,0.443000,1.100000,-6.000000,52.500000
60040,872659643,519298,5186.418579300,0.516628500,0.898000,-0.041000,0.322000,4.800000,7.100000,24.100000
60041,872678871,538526,5186.438422500,0.536471700,0.911000,-0.018000,0.504000,3.600000,6.000000,17.600000
60042,872698068,557723,5186.460649200,0.558698400,0.998000,0.029000,0.345000,-3.200000,14.900000,-11.500000
60043,872717387,577042,5186.476545100,0.574594300,0.899000,0.227000,0.455000,-36.800000,41.400000,-11.800000
60044,872736523,596178,5186.495755200,0.593804400,0.775000,0.099000,0.630000,-32.100000,32.200000,-2.000000
60045,872755720,615375,5186.519871500,0.617920700,0.750000,-0.019000,0.686000,-12.700000,13.900000,7.700000
60046,872775009,634664,5186.534477000,0.632526200,0.790000,-0.041000,0.629000,4.800000,-5.300000,2.200000
60047,872794297,653952,5186.553403600,0.651452800,0.853000,0.028000,0.531000,8.300000,-7.300000,-0.800000
60048,872813494,673149,5186.572418600,0.670467800,0.864000,0.069000,0.494000,5.300000,-3.700000,-1.100000
60049,872832661,692316,5186.593683900,0.691733100,0.874000,0.094000,0.488000,4.600000,-1.000000,1.200000
60050,872851950,711605,5186.611400500,0.709449700,0.868000,0.077000,0.507000,3.800000,0.600000,3.100000
60051,872871177,730832,5186.630408000,0.728457200,0.860000,0.044000,0.523000,3.100000,1.000000,1.200000
60052,872890374,750029,5186.649405000,0.747454200,0.840000,0.044000,0.545000,3.200000,0.800000,-2.300000
60053,872909602,769257,5186.668412400,0.766461600,0.841000,0.035000,0.561000,3.600000,-1.800000,-3.800000
60054,872928891,788546,5186.688397300,0.786446500,0.840000,0.039000,0.558000,5.700000,-4.000000,-4.400000
60055,872948057,807712,5186.708926900,0.806976100,0.859000,0.055000,0.526000,6.500000,-4.200000,-7.400000
60056,872967285,826940,5186.726503200,0.824552400,0.875000,0.064000,0.498000,3.600000,-3.000000,-9.800000
60057,872986512,846167,5186.745484400,0.843533600,0.903000,0.115000,0.463000,-0.600000,-0.500000,-12.500000
