meta_label,g
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
44931,3616823549,0,3635.891705500,0.000000000,0.851000,-0.058000,0.525000,2.600000,-3.600000,-3.200000
44932,3616842868,19319,3635.910635200,0.018929700,0.843000,-0.067000,0.543000,0.100000,-4.000000,-6.500000
44933,3616862004,38455,3635.929736300,0.038030800,0.834000,-0.078000,0.559000,0.400000,-8.400000,-7.700000
44934,3616881201,57652,3635.949659400,0.057953900,0.800000,-0.130000,0.575000,3.500000,-13.300000,-14.400000
44935,3616900429,76880,3635.971725100,0.080019600,0.920000,-0.085000,0.485000,4.300000,-16.900000,-25.300000
44936,3616919809,96260,3635.987717600,0.096012100,0.865000,0.064000,0.499000,-17.000000,-3.200000,-16.500000
44937,3616938975,115426,3636.006642500,0.114937000,0.875000,0.013000,0.476000,-17.200000,-3.600000,-5.500000
44938,3616958142,134593,3636.026655400,0.134949900,0.881000,-0.026000,0.533000,-6.100000,-4.000000,-1.100000
44939,3616977431,153882,3636.045696100,0.153990600,0.835000,-0.004000,0.478000,7.700000,0.700000,2.500000
44940,3616996628,173079,3636.064734300,0.173028800,0.896000,0.006000,0.623000,18.600000,-4.300000,25.800000
44941,3617015916,192367,3636.083605300,0.191899800,0.907000,-0.103000,0.473000,4.400000,-14.400000,5.900000
44942,3617035083,211534,3636.105517700,0.213812200,0.848000,0.057000,0.454000,-13.000000,-5.700000,3.400000
44943,3617054371,230822,3636.122588400,0.230882900,0.884000,-0.176000,0.491000,-14.500000,-8.700000,-10.200000
44944,3617073538,249989,3636.141579000,0.249873500,0.833000,-0.045000,0.529000,-12.100000,6.400000,-25.500000
44945,3617092766,269217,3636.160692700,0.268987200,0.863000,-0.074000,0.595000,-4.900000,-6.000000,-5.200000
44946,3617111993,288444,3636.179685200,0.287979700,0.882000,-0.031000,0.522000,3.000000,-10.800000,-5.100000
44947,3617131190,307641,3636.199632000,0.307926500,0.882000,-0.048000,0.365000,11.600000,-4.700000,-6.700000
44948,3617150540,326991,3636.218573300,0.326867800,0.931000,0.004000,0.495000,18.800000,3.000000,-3.400000
44949,3617169676,346127,3636.237773900,0.346068400,0.889000,-0.076000,0.446000,6.500000,-23.000000,19.100000
44950,3617188934,365385,3636.257842900,0.366137400,0.863000,0.002000,0.553000,2.900000,-32.700000,25.600000
44951,3617208162,384613,3636.275745800,0.384040300,0.827000,-0.061000,0.499000,7.800000,-4.600000,3.600000
44952,3617227450,403901,3636.295740300,0.404034800,0.820000,-0.057000,0.548000,8.200000,0.800000,-0.200000
44953,3617246678,423129,3636.316403500,0.424698000,0.777000,0.146000,0.632000,-4.500000,-4.800000,32.800000
44954,3617265906,442357,3636.333620400,0.441914900,0.912000,-0.036000,0.430000,-3.100000,1.900000,23.700000
44955,3617285072,461523,3636.352706000,0.461000500,0.886000,-0.024000,0.352000,1.800000,8.900000,14.400000
44956,3617304391,480842,3636.377335800,0.485630300,0.920000,-0.112000,0.461000,7.700000,22.200000,-3.500000
44957,3617323558,500009,3636.391747500,0.500042000,0.949000,0.118000,0.520000,-18.000000,20.500000,1.900000
44958,3617342785,519236,3636.410703400,0.518997900,0.826000,0.009000,0.555000,-24.900000,12.900000,18.300000
44959,3617362013,538464,3636.429668100,0.537962600,0.823000,-0.141000,0.543000,-20.500000,8.700000,17.200000
44960,3617381210,557661,3636.450152600,0.558447100,0.802000,-0.194000,0.571000,-13.100000,5.600000,10.300000
44961,3617400499,576950,3636.468629500,0.576924000,0.791000,-0.208000,0.569000,-4.500000,0.500000,5.200000
44962,3617419665,596116,3636.487634600,0.595929100,0.816000,-0.155000,0.550000,-0.800000,-2.500000,-2.900000
44963,3617438862,615313,3636.507628300,0.615922800,0.829000,-0.097000,0.530000,-0.800000,-2.600000,-6.700000
44964,3617458151,634602,3636.525715000,0.634009500,0.891000,-0.052000,0.527000,5.000000,-6.000000,-4.200000
44965,3617477440,653891,3636.545664000,0.653958500,0.898000,0.001000,0.482000,0.700000,-1.100000,1.800000
44966,3617496637,673088,3636.564747900,0.673042400,0.865000,-0.028000,0.501000,-4.100000,1.200000,7.000000
44967,3617515803,692254,3636.583673300,0.691967800,0.882000,-0.095000,0.511000,-6.300000,4.300000,5.500000
44968,3617535061,711512,3636.602774700,0.711069200,0.866000,-0.095000,0.527000,-7.700000,5.900000,5.000000
44969,3617554320,730771,3636.622795900,0.731090400,0.828000,-0.117000,0.529000,-4.700000,4.800000,2.100000
44970,3617573517,749968,3636.641744300,0.750038800,0.875000,-0.130000,0.531000,-2.900000,4.500000,-0.500000
44971,3617592744,769195,3636.661933600,0.770228100,0.840000,-0.086000,0.532000,-4.600000,6.200000,-2.300000
