meta_label,g
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
52603,1475707976,0,2916.536406800,0.000000000,0.860000,-0.015000,0.514000,-1.900000,-12.700000,-14.800000
52604,1475727203,19227,2916.556489100,0.020082300,0.898000,-0.015000,0.481000,-8.100000,-11.100000,-14.200000
52605,1475746370,38394,2916.576560900,0.040154100,0.887000,-0.026000,0.515000,-11.800000,-3.700000,-6.900000
52606,1475765598,57622,2916.594418700,0.058011900,0.860000,-0.087000,0.494000,-3.800000,-3.000000,-4.500000
52607,1475784825,76849,2916.613466000,0.077059200,0.868000,-0.087000,0.505000,3.700000,-2.900000,-2.800000
52608,1475804022,96046,2916.632366300,0.095959500,0.887000,-0.047000,0.514000,11.500000,-4.600000,7.300000
52609,1475823372,115396,2916.652742800,0.116336000,0.891000,0.037000,0.497000,6.100000,-10.000000,16.500000
52610,1475842508,134532,2916.671534100,0.135127300,0.880000,0.070000,0.524000,-6.300000,-7.900000,5.200000
52611,1475861766,153790,2916.690373500,0.153966700,0.876000,-0.050000,0.464000,-24.800000,-8.400000,6.100000
52612,1475880994,173018,2916.712649800,0.176243000,0.817000,-0.095000,0.552000,-22.400000,-2.800000,-18.600000
52613,1475900282,192306,2916.729589900,0.193183100,0.833000,-0.106000,0.603000,-11.400000,-0.800000,-12.000000
52614,1475919510,211534,2916.753828900,0.217422100,0.882000,-0.156000,0.516000,1.700000,-8.800000,-4.900000
52615,1475938738,230762,2916.767647700,0.231240900,0.881000,-0.053000,0.423000,13.000000,-5.300000,-9.300000
52616,1475957935,249959,2916.786495100,0.250088300,0.936000,0.128000,0.513000,12.600000,-4.200000,-1.900000
52617,1475977223,269247,2916.810292500,0.273885700,0.877000,0.024000,0.477000,2.800000,-27.300000,41.600000
52618,1475996390,288414,2916.825362200,0.288955400,0.840000,-0.127000,0.481000,6.500000,-20.500000,29.000000
52619,1476015617,307641,2916.844412900,0.308006100,0.842000,-0.189000,0.493000,2.500000,-13.500000,20.300000
52620,1476034845,326869,2916.863558400,0.327151600,0.833000,0.011000,0.611000,7.000000,-17.500000,23.100000
52621,1476054042,346066,2916.883727300,0.347320500,0.862000,-0.081000,0.357000,11.100000,5.000000,6.300000
52622,1476073361,365385,2916.902486900,0.366080100,0.921000,0.012000,0.478000,3.100000,5.000000,8.400000
52623,1476092497,384521,2916.921405000,0.384998200,0.858000,-0.035000,0.492000,-2.800000,14.600000,14.100000
52624,1476111694,403718,2916.945699400,0.409292600,1.006000,-0.051000,0.430000,-1.300000,19.100000,-8.500000
52625,1476131014,423038,2916.959520700,0.423113900,0.866000,0.053000,0.500000,-16.400000,18.800000,7.200000
52626,1476150302,442326,2916.979387400,0.442980600,0.853000,-0.059000,0.533000,-17.400000,15.600000,10.800000
52627,1476169469,461493,2917.001514800,0.465108000,0.821000,-0.094000,0.564000,-14.900000,13.200000,11.400000
52628,1476188635,480659,2917.017470700,0.481063900,0.818000,-0.161000,0.567000,-11.700000,7.700000,7.900000
52629,1476207955,499979,2917.042389400,0.505982600,0.822000,-0.178000,0.568000,-4.600000,2.400000,2.200000
52630,1476227243,519267,2917.056197300,0.519790500,0.848000,-0.141000,0.527000,-0.100000,-1.400000,-1.000000
52631,1476246410,538434,2917.075338800,0.538932000,0.870000,-0.096000,0.494000,0.500000,-1.200000,-1.800000
52632,1476265637,557661,2917.094452800,0.558046000,0.876000,-0.073000,0.496000,-2.200000,-0.500000,-0.500000
52633,1476284865,576889,2917.113427900,0.577021100,0.869000,-0.072000,0.500000,-3.700000,0.700000,1.600000
52634,1476304031,596055,2917.132429700,0.596022900,0.864000,-0.087000,0.510000,-4.000000,2.500000,1.200000
52635,1476323198,615222,2917.153486100,0.617079300,0.848000,-0.103000,0.519000,-1.500000,2.100000,-0.100000
52636,1476342517,634541,2917.171598600,0.635191800,0.847000,-0.107000,0.538000,0.800000,0.600000,-1.000000
52637,1476361714,653738,2917.190588500,0.654181700,0.842000,-0.102000,0.547000,1.900000,0.200000,-0.700000
52638,1476380972,672996,2917.213850100,0.677443300,0.839000,-0.078000,0.538000,0.600000,-1.200000,-0.300000
