meta_label,H
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
27184,523167736,0,334.948235400,0.000000000,0.902000,0.048000,0.416000,1.200000,-4.700000,-5.500000
27185,523187055,19319,334.967350600,0.019115200,0.889000,0.055000,0.425000,0.000000,-4.000000,-11.000000
27186,523206343,38607,334.987567800,0.039332400,0.879000,0.054000,0.451000,-0.500000,-3.100000,-15.000000
27187,523225479,57743,335.006298400,0.058063000,0.833000,0.016000,0.509000,-1.900000,-7.900000,-18.100000
27188,523244737,77001,335.025373100,0.077137700,0.992000,-0.003000,0.478000,1.100000,-22.000000,-29.500000
27189,523263965,96229,335.044494500,0.096259100,0.922000,0.215000,0.363000,-10.500000,-13.000000,-8.400000
27190,523283193,115457,335.063672000,0.115436600,0.928000,0.107000,0.315000,0.400000,-2.700000,-1.300000
27191,523302481,134745,335.083282900,0.135047500,0.927000,0.167000,0.445000,14.000000,-3.100000,2.700000
27192,523321648,153912,335.102478600,0.154243200,0.914000,0.166000,0.406000,12.400000,-12.600000,48.200000
27193,523340906,173170,335.124445300,0.176209900,0.914000,0.027000,0.341000,19.500000,-3.000000,38.500000
27194,523360103,192367,335.140387000,0.192151600,0.876000,-0.031000,0.402000,6.600000,0.700000,8.700000
27195,523379422,211686,335.167061900,0.218826500,0.902000,0.061000,0.525000,-13.300000,-3.500000,-0.700000
27196,523398589,230853,335.180029000,0.231793600,0.887000,-0.024000,0.395000,-14.400000,3.800000,-36.600000
27197,523417755,250019,335.198377300,0.250141900,0.922000,0.199000,0.452000,-14.400000,-9.000000,-16.200000
27198,523437044,269308,335.221289300,0.273053900,0.938000,0.069000,0.335000,-6.700000,-5.100000,0.000000
27199,523456363,288627,335.237380200,0.289144800,0.937000,0.118000,0.375000,-0.400000,-6.900000,4.000000
27200,523475530,307794,335.256198000,0.307962600,0.926000,0.118000,0.354000,0.100000,-6.400000,0.700000
27201,523494818,327082,335.275379700,0.327144300,0.891000,0.055000,0.370000,-4.600000,-0.800000,-0.900000
27202,523514107,346371,335.294295800,0.346060400,0.892000,0.021000,0.420000,-10.300000,7.200000,-14.300000
27203,523533182,365446,335.313963100,0.365727700,0.874000,0.012000,0.522000,-16.700000,5.200000,-21.000000
27204,523552440,384704,335.333320800,0.385085400,0.871000,0.068000,0.464000,-16.100000,-4.400000,-20.200000
27205,523571668,403932,335.353301400,0.405066000,0.932000,0.098000,0.397000,-11.600000,-11.400000,-1.600000
27206,523590926,423190,335.371447000,0.423211600,0.916000,0.068000,0.415000,1.200000,-6.200000,-2.900000
27207,523610123,442387,335.390314200,0.442078800,0.912000,0.282000,0.497000,8.700000,-14.900000,10.100000
27208,523629442,461706,335.412614000,0.464378600,0.926000,0.094000,0.343000,16.400000,-19.100000,33.600000
27209,523648609,480873,335.429281400,0.481046000,0.895000,0.158000,0.380000,21.900000,-12.300000,44.600000
27210,523667775,500039,335.448256400,0.500021000,0.925000,-0.166000,0.263000,16.500000,1.100000,17.400000
27211,523687064,519328,335.469091000,0.520855600,0.903000,-0.068000,0.441000,-2.100000,5.400000,-5.300000
27212,523706230,538494,335.486281400,0.538046000,0.928000,-0.089000,0.322000,-18.800000,2.600000,-31.000000
27213,523725519,557783,335.506294700,0.558059300,0.949000,0.183000,0.381000,-21.700000,12.400000,-33.300000
27214,523744716,576980,335.525380200,0.577144800,0.931000,0.230000,0.370000,-25.300000,21.700000,0.900000
27215,523764005,596269,335.544296800,0.596061400,0.887000,0.083000,0.475000,-12.800000,10.700000,7.700000
27216,523783171,615435,335.568463900,0.620228500,0.884000,0.010000,0.490000,-7.200000,5.200000,5.900000
27217,523802399,634663,335.586694100,0.638458700,0.876000,0.001000,0.454000,-2.400000,1.500000,-2.000000
27218,523821627,653891,335.602304900,0.654069500,0.897000,0.060000,0.437000,0.400000,0.700000,-3.600000
27219,523840824,673088,335.624281900,0.676046500,0.898000,0.092000,0.430000,1.300000,-1.000000,2.200000
27220,523860143,692407,335.640331300,0.692095900,0.913000,0.078000,0.416000,4.700000,-0.400000,6.900000
27221,523879279,711543,335.661958100,0.713722700,0.913000,0.048000,0.417000,1.300000,0.300000,7.700000
27222,523898567,730831,335.679308700,0.731073300,0.912000,0.035000,0.423000,0.200000,2.100000,4.600000
27223,523917795,750059,335.698207500,0.749972100,0.902000,0.029000,0.439000,0.000000,1.300000,2.000000
27224,523937084,769348,335.719285700,0.771050300,0.900000,0.043000,0.439000,0.100000,0.000000,2.300000
27225,523956250,788514,335.736277500,0.788042100,0.916000,0.040000,0.421000,1.400000,-0.600000,2.900000
27226,523975417,807681,335.757966900,0.809731500,0.930000,0.048000,0.404000,1.300000,3.200000,1.500000
27227,523994705,826969,335.775307600,0.827072200,0.924000,0.059000,0.403000,-1.900000,7.300000,2.800000
27228,524013964,846228,335.794205900,0.845970500,0.913000,0.068000,0.419000,-4.500000,9.500000,4.700000
27229,524033161,865425,335.816389300,0.868153900,0.904000,0.038000,0.447000,-4.200000,9.000000,3.200000
27230,524052419,884683,335.832257600,0.884022200,0.912000,0.022000,0.454000,-5.000000,9.000000,-0.600000
27231,524071646,903910,335.852215100,0.903979700,0.936000,0.000000,0.441000,-5.900000,10.900000,-4.400000
27232,524090813,923077,335.871337100,0.923101700,0.984000,-0.014000,0.416000,-6.000000,16.600000,-11.800000
27233,524110163,942427,335.890255400,0.942020000,0.968000,0.000000,0.404000,-8.500000,22.300000,-20.500000
27234,524129329,961593,335.914446800,0.966211400,0.943000,0.055000,0.432000,-13.600000,24.000000,-30.900000
