meta_label,H
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
57414,3856871681,0,3875.897262500,0.000000000,0.837000,0.045000,0.529000,-0.500000,4.500000,2.500000
57415,3856890969,19288,3875.919378600,0.022116100,0.824000,0.022000,0.548000,-2.300000,4.300000,-6.300000
57416,3856910166,38485,3875.935122700,0.037860200,0.810000,0.007000,0.560000,-5.400000,4.000000,-16.700000
57417,3856929333,57652,3875.955030700,0.057768200,0.780000,-0.019000,0.629000,-4.000000,-2.700000,-31.700000
57418,3856948622,76941,3875.976014900,0.078752400,0.767000,-0.014000,0.579000,5.300000,-20.600000,-39.300000
57419,3856967849,96168,3875.993219400,0.095956900,0.937000,0.192000,0.539000,-9.200000,-11.800000,-23.200000
57420,3856987046,115365,3876.012948300,0.115685800,0.862000,0.100000,0.390000,1.800000,-11.500000,-8.700000
57421,3857006274,134593,3876.034351100,0.137088600,0.929000,0.342000,0.563000,11.600000,-4.200000,3.200000
57422,3857025563,153882,3876.051118400,0.153855900,0.762000,0.113000,0.467000,7.900000,-21.400000,76.200000
57423,3857044729,173048,3876.072094700,0.174832200,0.911000,-0.048000,0.508000,14.500000,-6.500000,57.200000
57424,3857063957,192276,3876.089117900,0.191855400,0.782000,-0.054000,0.491000,11.600000,7.600000,4.200000
57425,3857083184,211503,3876.108066200,0.210803700,0.841000,-0.060000,0.631000,-15.000000,-1.100000,-3.500000
57426,3857102381,230700,3876.138268100,0.241005600,0.844000,-0.051000,0.509000,-10.200000,6.700000,-44.200000
57427,3857121701,250020,3876.147050800,0.249788300,0.880000,0.188000,0.519000,-3.400000,1.400000,-21.200000
57428,3857140989,269308,3876.165917000,0.268654500,0.909000,0.085000,0.571000,-2.600000,-13.000000,-4.600000
57429,3857160186,288505,3876.185097700,0.287835200,0.864000,0.203000,0.419000,-1.300000,-10.200000,7.800000
57430,3857179353,307672,3876.215112500,0.317850000,0.846000,0.148000,0.440000,-2.800000,-2.000000,20.000000
57431,3857198641,326960,3876.229335000,0.332072500,0.845000,-0.109000,0.513000,-5.100000,5.600000,5.100000
57432,3857217808,346127,3876.243073000,0.345810500,0.895000,0.017000,0.489000,-26.900000,25.400000,-21.800000
57433,3857236975,365294,3876.262950400,0.365687900,0.737000,-0.004000,0.610000,-33.200000,24.100000,-28.100000
57434,3857256263,384582,3876.286247500,0.388985000,0.712000,-0.070000,0.756000,-14.000000,1.000000,-31.600000
57435,3857275491,403810,3876.301223700,0.403961200,1.008000,-0.106000,0.584000,14.200000,-34.000000,-24.400000
57436,3857294749,423068,3876.321536600,0.424274100,0.847000,0.233000,0.502000,14.900000,-18.200000,-22.500000
57437,3857313915,442234,3876.339137900,0.441875400,0.869000,0.403000,0.519000,22.600000,-20.300000,26.700000
57438,3857333204,461523,3876.357924400,0.460661900,0.796000,0.358000,0.511000,13.800000,-26.300000,97.100000
57439,3857352371,480690,3876.378117800,0.480855300,0.850000,-0.047000,0.405000,8.500000,-23.200000,97.600000
57440,3857371598,499917,3876.397011300,0.499748800,0.858000,-0.309000,0.444000,16.500000,0.600000,11.600000
57441,3857390887,519206,3876.417459900,0.520197400,0.828000,-0.089000,0.553000,0.900000,6.700000,-11.500000
57442,3857410053,538372,3876.435174800,0.537912300,0.893000,-0.096000,0.413000,-27.300000,23.100000,-48.700000
57443,3857429342,557661,3876.455170300,0.557907800,0.938000,0.224000,0.541000,-42.400000,34.300000,-29.600000
57444,3857448661,576980,3876.474479300,0.577216800,0.833000,0.096000,0.616000,-23.800000,18.700000,4.200000
57445,3857467828,596147,3876.493168100,0.595905600,0.823000,-0.021000,0.618000,-11.200000,5.900000,16.000000
57446,3857486994,615313,3876.514050800,0.616788300,0.813000,-0.073000,0.578000,1.600000,2.000000,11.500000
57447,3857506283,634602,3876.531174800,0.633912300,0.838000,-0.053000,0.554000,5.900000,-0.400000,5.200000
57448,3857525511,653830,3876.551171300,0.653908800,0.838000,0.002000,0.545000,1.600000,0.700000,-1.600000
57449,3857544708,673027,3876.576108900,0.678846400,0.852000,0.008000,0.542000,-1.600000,1.300000,-6.700000
57450,3857563935,692254,3876.589201800,0.691939300,0.841000,0.025000,0.552000,-1.900000,1.400000,-6.000000
57451,3857583224,711543,3876.608095500,0.710833000,0.864000,0.034000,0.555000,0.700000,1.500000,-2.400000
57452,3857602391,730710,3876.634037200,0.736774700,0.890000,0.005000,0.530000,2.000000,3.200000,1.400000
57453,3857621618,749937,3876.647150300,0.749887800,0.906000,-0.001000,0.518000,-1.000000,8.000000,-5.700000
57454,3857640846,769165,3876.666423500,0.769161000,0.920000,-0.003000,0.516000,-1.700000,16.700000,-11.700000
57455,3857660043,788362,3876.685217800,0.787955300,0.927000,-0.010000,0.528000,2.000000,22.000000,-21.100000
57456,3857679362,807681,3876.705833300,0.808570800,0.913000,0.050000,0.569000,4.500000,23.800000,-26.500000
