meta_label,h
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
50276,2459350656,0,2478.624815700,0.000000000,0.869000,0.177000,0.499000,2.900000,-3.900000,4.800000
50277,2459369945,19289,2478.647190200,0.022374500,0.854000,0.180000,0.517000,1.500000,-1.100000,5.100000
50278,2459389051,38395,2478.663792900,0.038977200,0.826000,0.166000,0.525000,2.100000,-2.100000,4.500000
50279,2459408400,57744,2478.682802100,0.057986400,0.831000,0.154000,0.537000,2.200000,-3.400000,2.300000
50280,2459427567,76911,2478.703222500,0.078406800,0.835000,0.151000,0.539000,3.900000,-3.400000,0.500000
50281,2459446794,96138,2478.720759200,0.095943500,0.815000,0.148000,0.524000,1.800000,-4.100000,-4.300000
50282,2459466053,115397,2478.740860500,0.116044800,0.798000,0.131000,0.551000,0.500000,-8.200000,-12.800000
50283,2459485280,134624,2478.759970000,0.135154300,0.774000,0.136000,0.575000,0.700000,-12.300000,-26.000000
50284,2459504508,153852,2478.778888800,0.154073100,0.730000,0.114000,0.642000,4.500000,-24.300000,-38.100000
50285,2459523674,173018,2478.798223900,0.173408200,1.020000,0.177000,0.466000,1.600000,-17.900000,-39.400000
50286,2459542902,192246,2478.816834400,0.192018700,0.911000,0.368000,0.244000,-3.300000,-15.800000,0.300000
50287,2459562130,211474,2478.839555100,0.214739400,0.883000,0.421000,0.424000,18.000000,0.300000,0.400000
50288,2459581327,230671,2478.855813200,0.230997500,0.833000,0.419000,0.600000,-0.300000,-11.300000,75.700000
50289,2459600676,250020,2478.880522200,0.255706500,0.829000,0.011000,0.409000,9.800000,-6.600000,66.300000
50290,2459619812,269156,2478.893784400,0.268968700,0.777000,0.148000,0.506000,2.200000,-4.800000,26.400000
50291,2459639132,288476,2478.913792500,0.288976800,0.872000,0.067000,0.570000,-18.900000,-2.300000,-1.700000
50292,2459658298,307642,2478.937876800,0.313061100,0.769000,-0.240000,0.522000,-32.800000,-13.300000,-16.700000
50293,2459677587,326931,2478.951822500,0.327006800,0.852000,0.401000,0.382000,-1.600000,-12.500000,-101.100000
50294,2459696784,346128,2478.970825700,0.346010000,0.887000,0.345000,0.433000,-21.000000,-12.200000,-19.100000
50295,2459716011,365355,2478.991605500,0.366789800,0.944000,0.188000,0.625000,-4.100000,-1.100000,3.200000
50296,2459735239,384583,2479.009851000,0.385035300,0.800000,0.234000,0.449000,14.200000,-5.300000,0.000000
50297,2459754528,403872,2479.029912900,0.405097200,0.802000,0.256000,0.390000,1.700000,4.300000,8.500000
50298,2459773694,423038,2479.050402200,0.425586500,0.819000,0.299000,0.483000,-4.800000,7.000000,41.500000
50299,2459792922,442266,2479.066762200,0.441946500,0.885000,0.122000,0.477000,-9.300000,8.300000,21.600000
50300,2459812149,461493,2479.087167900,0.462352200,0.920000,0.060000,0.512000,-9.600000,5.800000,-1.900000
50301,2459831346,480690,2479.105886900,0.481071200,0.965000,0.174000,0.416000,-15.100000,24.900000,-29.700000
50302,2459850666,500010,2479.124781000,0.499965300,0.812000,0.239000,0.523000,-22.200000,25.200000,-10.500000
50303,2459869893,519237,2479.150932200,0.526116500,0.782000,0.207000,0.591000,-13.300000,19.100000,-5.800000
50304,2459889151,538495,2479.163772800,0.538957100,0.775000,0.163000,0.597000,-7.600000,10.100000,1.600000
50305,2459908318,557662,2479.182764000,0.557948300,0.795000,0.135000,0.588000,-0.800000,1.600000,1.000000
50306,2459927607,576951,2479.201808300,0.576992600,0.843000,0.140000,0.550000,0.100000,-3.300000,-0.100000
50307,2459946773,596117,2479.228427600,0.603611900,0.844000,0.179000,0.517000,1.200000,-3.400000,1.000000
50308,2459965940,615284,2479.239788600,0.614972900,0.873000,0.167000,0.482000,1.600000,-2.600000,4.800000
50309,2459985259,634603,2479.259685100,0.634869400,0.890000,0.166000,0.478000,3.500000,4.600000,5.200000
50310,2460004547,653891,2479.278621600,0.653805900,0.862000,0.156000,0.502000,3.100000,8.300000,3.900000
50311,2460023714,673058,2479.297699600,0.672883900,0.836000,0.137000,0.539000,-0.400000,5.900000,0.300000
50312,2460042942,692286,2479.316617300,0.691801600,0.814000,0.149000,0.568000,1.300000,2.800000,-5.000000
50313,2460062169,711513,2479.341372300,0.716556600,0.793000,0.186000,0.562000,3.100000,-1.000000,-3.900000
50314,2460081366,730710,2479.357217900,0.732402200,0.830000,0.188000,0.543000,4.100000,-4.000000,0.300000
50315,2460100624,749968,2479.374769000,0.749953300,0.859000,0.158000,0.505000,5.000000,-2.600000,2.100000
50316,2460119822,769166,2479.398555500,0.773739800,0.874000,0.168000,0.495000,3.100000,0.600000,-0.900000
50317,2460139019,788363,2479.412717700,0.787902000,0.862000,0.183000,0.501000,-0.600000,3.700000,-2.000000
50318,2460158307,807651,2479.436055500,0.811239800,0.832000,0.169000,0.534000,-1.700000,4.100000,-1.400000
