meta_label,L
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
37256,716852417,0,528.598674300,0.000000000,0.903000,0.198000,0.359000,0.600000,-2.900000,-3.600000
37257,716871583,19166,528.618652200,0.019977900,0.897000,0.231000,0.389000,4.100000,-3.200000,-2.800000
37258,716890872,38455,528.641618200,0.042943900,0.890000,0.218000,0.394000,7.600000,-2.700000,5.100000
37259,716910130,57713,528.657335000,0.058660700,0.903000,0.188000,0.375000,6.700000,-3.500000,-0.800000
37260,716929327,76910,528.679885700,0.081211400,0.901000,0.193000,0.363000,2.000000,-2.600000,-9.100000
37261,716948494,96077,528.694480100,0.095805800,0.888000,0.190000,0.400000,-2.500000,-2.500000,-15.800000
37262,716967813,115396,528.714541600,0.115867300,0.809000,0.169000,0.499000,-6.300000,-11.700000,-27.900000
37263,716987803,135386,528.734565500,0.135891200,0.780000,0.167000,0.616000,1.400000,-31.700000,-32.900000
37264,717006207,153790,528.753100900,0.154426600,1.095000,0.319000,0.261000,1.100000,-25.800000,-28.800000
37265,717025465,173048,528.771501500,0.172827200,0.922000,0.249000,0.128000,-3.500000,-18.700000,-6.800000
37266,717044662,192245,528.791399600,0.192725300,0.951000,0.385000,0.217000,7.400000,-1.200000,5.100000
37267,717063951,211534,528.815127800,0.216453500,0.917000,0.524000,0.412000,3.800000,2.400000,80.100000
37268,717083117,230700,528.829499800,0.230825500,0.853000,-0.048000,0.365000,22.700000,7.600000,54.300000
37269,717102406,249989,528.853931700,0.255257400,0.896000,0.060000,0.394000,3.200000,-9.100000,19.700000
37270,717121573,269156,528.867480000,0.268805700,0.900000,0.283000,0.436000,-19.800000,-9.800000,-2.100000
37271,717140892,288475,528.887457900,0.288783600,0.913000,0.176000,0.333000,-40.100000,-16.000000,-6.000000
37272,717160058,307641,528.906458100,0.307783800,0.982000,0.125000,0.233000,-24.500000,-23.500000,-36.500000
37273,717179225,326808,528.925603000,0.326928700,0.882000,0.316000,0.223000,-18.700000,-4.200000,-10.600000
37274,717198513,346096,528.944580000,0.345905700,0.921000,0.184000,0.409000,-10.700000,-5.500000,-14.400000
37275,717217833,365416,528.968165700,0.369491400,0.881000,0.145000,0.389000,-1.200000,1.400000,-7.600000
37276,717236999,384582,528.983512300,0.384838000,0.904000,0.249000,0.364000,9.600000,2.900000,-4.200000
37277,717256227,403810,529.002523900,0.403849600,0.938000,0.228000,0.261000,10.500000,12.000000,2.200000
37278,717275454,423037,529.028748200,0.430073900,1.077000,0.309000,0.189000,-1.000000,21.600000,-0.300000
37279,717294621,442204,529.040529300,0.441855000,0.956000,0.259000,0.261000,-19.300000,46.100000,13.800000
37280,717313971,461554,529.060510300,0.461836000,0.857000,0.185000,0.430000,-19.500000,41.500000,14.300000
37281,717333107,480690,529.079447500,0.480773200,0.817000,0.160000,0.515000,-15.700000,31.800000,11.400000
37282,717352395,499978,529.099177700,0.500503400,0.796000,0.140000,0.565000,-11.300000,17.500000,7.000000
37283,717371592,519175,529.122840600,0.524166300,0.810000,0.108000,0.563000,-0.700000,2.400000,-2.200000
37284,717390912,538495,529.137479800,0.538805500,0.869000,0.131000,0.495000,7.100000,-10.700000,-6.900000
37285,717410078,557661,529.156557900,0.557883600,0.914000,0.182000,0.331000,10.500000,-7.600000,-8.500000
37286,717429306,576889,529.178360800,0.579686500,0.947000,0.248000,0.290000,5.000000,1.800000,-5.100000
37287,717448533,596116,529.194627600,0.595953300,0.943000,0.233000,0.331000,0.100000,9.100000,-5.000000
37288,717467730,615313,529.215375600,0.616701300,0.932000,0.169000,0.399000,-4.500000,12.000000,-7.300000
37289,717486927,634510,529.233504800,0.634830500,0.933000,0.139000,0.436000,-7.600000,10.200000,-18.600000
37290,717506186,653769,529.252450800,0.653776500,0.930000,0.145000,0.438000,-11.000000,7.300000,-29.900000
37291,717525474,673057,529.276119600,0.677445300,0.927000,0.158000,0.438000,-13.000000,3.400000,-40.400000
37292,717544641,692224,529.290712600,0.692038300,0.915000,0.187000,0.421000,-9.700000,2.000000,-49.300000
37293,717563929,711512,529.312450600,0.713776300,0.874000,0.250000,0.430000,-6.300000,-2.000000,-51.900000
37294,717583096,730679,529.330834800,0.732160500,0.833000,0.302000,0.468000,-3.500000,-7.400000,-46.900000
