meta_label,L
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1602,4043864211,0,4062.856749900,0.000000000,0.848000,0.264000,0.477000,0.800000,-2.600000,-5.300000
1603,4043883377,19166,4062.877121700,0.020371800,0.837000,0.250000,0.479000,0.600000,-2.500000,-4.500000
1604,4043902697,38486,4062.900108700,0.043358800,0.822000,0.246000,0.490000,3.100000,-5.000000,-6.400000
1605,4043921863,57652,4062.913767400,0.057017500,0.788000,0.214000,0.536000,2.900000,-11.100000,-12.800000
1606,4043941091,76880,4062.936714500,0.079964600,0.730000,0.206000,0.618000,1.600000,-27.100000,-26.000000
1607,4043960318,96107,4062.952778700,0.096028800,0.993000,0.281000,0.472000,0.900000,-28.100000,-22.700000
1608,4043979515,115304,4062.971664700,0.114914800,0.859000,0.363000,0.345000,-2.200000,-18.200000,-2.800000
1609,4043998835,134624,4062.992595700,0.135845800,0.863000,0.281000,0.373000,16.300000,1.200000,4.500000
1610,4044018123,153912,4063.009816100,0.153066200,0.851000,0.380000,0.458000,16.300000,8.700000,58.800000
1611,4044037259,173048,4063.029810500,0.173060600,0.793000,0.094000,0.396000,10.300000,6.300000,57.100000
1612,4044056487,192276,4063.048892600,0.192142700,0.875000,0.148000,0.551000,11.300000,-6.300000,-13.600000
1613,4044075745,211534,4063.067795700,0.211045800,0.857000,0.268000,0.445000,-10.000000,-13.400000,-9.600000
1614,4044094942,230731,4063.087494400,0.230744500,0.875000,0.297000,0.326000,-17.500000,-10.500000,-7.300000
1615,4044114109,249898,4063.109648300,0.252898400,1.002000,0.262000,0.422000,-14.300000,-9.700000,-9.400000
1616,4044133397,269186,4063.125792600,0.269042700,0.797000,0.314000,0.232000,-13.700000,-5.500000,-8.200000
1617,4044152625,288414,4063.147466100,0.290716200,0.824000,0.242000,0.544000,0.700000,5.500000,4.400000
1618,4044171852,307641,4063.163830300,0.307080400,0.804000,0.219000,0.553000,10.600000,6.800000,2.300000
1619,4044191019,326808,4063.183738900,0.326989000,0.912000,0.265000,0.421000,4.000000,7.400000,-6.100000
1620,4044210338,346127,4063.202752700,0.346002800,1.004000,0.335000,0.231000,-28.600000,39.400000,-13.800000
1621,4044229566,365355,4063.221974200,0.365224300,0.898000,0.354000,0.344000,-47.000000,45.600000,-5.100000
1622,4044248824,384613,4063.240808500,0.384058600,0.778000,0.243000,0.650000,-37.200000,32.500000,10.700000
1623,4044267990,403779,4063.259745900,0.402996000,0.712000,0.122000,0.707000,-14.200000,8.800000,15.200000
1624,4044287188,422977,4063.280636000,0.423886100,0.762000,0.123000,0.639000,6.800000,-6.000000,11.600000
1625,4044306476,442265,4063.298923600,0.442173700,0.845000,0.221000,0.502000,16.200000,-10.000000,8.700000
1626,4044325765,461554,4063.317687900,0.460938000,0.891000,0.270000,0.415000,10.500000,-2.600000,6.000000
1627,4044344962,480751,4063.337029100,0.480279200,0.878000,0.272000,0.425000,1.600000,5.600000,6.300000
1628,4044364128,499917,4063.355654500,0.498904600,0.879000,0.240000,0.444000,-4.000000,11.600000,3.200000
1629,4044383417,519206,4063.375836600,0.519086700,0.823000,0.236000,0.507000,-2.100000,13.600000,4.200000
1630,4044402645,538434,4063.395659800,0.538909900,0.830000,0.187000,0.541000,1.500000,10.500000,3.200000
1631,4044421842,557631,4063.413833000,0.557083100,0.802000,0.202000,0.552000,1.600000,7.800000,1.000000
1632,4044441069,576858,4063.433162100,0.576412200,0.791000,0.212000,0.568000,2.600000,2.600000,1.200000
1633,4044460358,596147,4063.455188100,0.598438200,0.809000,0.192000,0.553000,1.800000,-4.000000,-2.200000
1634,4044479525,615314,4063.471745300,0.614995400,0.798000,0.217000,0.533000,7.000000,-8.100000,-2.200000
1635,4044498752,634541,4063.491589800,0.634839900,0.832000,0.227000,0.499000,7.200000,-9.300000,-4.100000
