meta_label,l
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
34712,3188445794,0,2999.757253900,0.000000000,0.848000,-0.032000,0.560000,5.500000,-2.700000,-1.000000
34713,3188465083,19289,2999.777301500,0.020047600,0.875000,-0.020000,0.544000,5.700000,2.000000,-4.600000
34714,3188484249,38455,2999.795327600,0.038073700,0.849000,0.030000,0.568000,1.500000,4.200000,-2.800000
34715,3188503446,57652,2999.814219200,0.056965300,0.792000,0.022000,0.591000,-0.900000,1.500000,-1.200000
34716,3188522765,76971,2999.838311600,0.081057700,0.807000,0.000000,0.592000,-1.100000,-2.500000,-1.800000
34717,3188542085,96291,2999.853181800,0.095927900,0.820000,-0.012000,0.577000,-1.500000,-2.600000,-4.300000
34718,3188561251,115457,2999.872257500,0.115003600,0.821000,-0.003000,0.576000,-0.200000,-3.200000,-4.300000
34719,3188580418,134624,2999.891345500,0.134091600,0.837000,-0.014000,0.573000,2.800000,-4.000000,-3.300000
34720,3188599706,153912,2999.910481000,0.153227100,0.841000,0.015000,0.568000,3.800000,-4.100000,-2.800000
34721,3188618873,173079,2999.930334800,0.173080900,0.828000,0.021000,0.565000,1.700000,-4.300000,-1.200000
34722,3188638101,192307,2999.951764700,0.194510800,0.838000,-0.001000,0.569000,0.900000,-4.400000,-0.400000
34723,3188657359,211565,2999.968292800,0.211038900,0.838000,-0.008000,0.568000,0.900000,-4.000000,-1.600000
34724,3188676586,230792,2999.987197200,0.229943300,0.825000,0.003000,0.571000,2.200000,-3.000000,-0.600000
34725,3188695783,249989,3000.009797100,0.252543200,0.833000,-0.001000,0.571000,1.600000,-3.500000,-2.200000
34726,3188715041,269247,3000.026302900,0.269049000,0.851000,0.013000,0.576000,1.200000,-0.700000,-2.400000
34727,3188734269,288475,3000.045743900,0.288490000,0.829000,0.016000,0.570000,-0.300000,-0.200000,-0.500000
34728,3188753497,307703,3000.064371500,0.307117600,0.818000,0.007000,0.585000,-0.100000,-1.700000,-2.500000
34729,3188772785,326991,3000.090741700,0.333487800,0.830000,0.012000,0.576000,0.000000,-2.500000,-2.400000
34730,3188791952,346158,3000.103339700,0.346085800,0.832000,0.001000,0.561000,-0.100000,-2.100000,-1.500000
34731,3188811210,365416,3000.122365500,0.365111600,0.849000,0.000000,0.558000,2.200000,-1.200000,-3.100000
34732,3188830407,384613,3000.141366700,0.384112800,0.838000,0.016000,0.552000,-0.400000,0.500000,-3.500000
