meta_label,l
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25524,1983369679,0,2002.728969900,0.000000000,0.887000,-0.229000,0.413000,-2.300000,2.000000,-1.800000
25525,1983388906,19227,2002.747820800,0.018850900,0.873000,-0.237000,0.437000,-3.800000,2.400000,-1.300000
25526,1983408134,38455,2002.768616000,0.039646100,0.871000,-0.243000,0.441000,-1.100000,1.300000,-3.100000
25527,1983427331,57652,2002.785999300,0.057029400,0.864000,-0.219000,0.441000,1.500000,-0.800000,0.000000
25528,1983446650,76971,2002.810700100,0.081730200,0.889000,-0.231000,0.431000,2.100000,-2.800000,1.500000
25529,1983465878,96199,2002.828513800,0.099543900,0.889000,-0.213000,0.414000,0.800000,-0.900000,0.300000
25530,1983485136,115457,2002.843981900,0.115012000,0.887000,-0.225000,0.416000,-2.200000,3.500000,-0.400000
25531,1983504303,134624,2002.869573700,0.140603800,0.867000,-0.227000,0.450000,-1.300000,3.200000,0.000000
25532,1983523591,153912,2002.883064300,0.154094400,0.830000,-0.262000,0.472000,-0.900000,-4.300000,-3.800000
25533,1983542758,173079,2002.903643600,0.174673700,0.807000,-0.319000,0.477000,0.000000,-7.100000,-16.500000
25534,1983561924,192245,2002.920904400,0.191934500,0.774000,-0.439000,0.483000,11.700000,-10.700000,-37.500000
25535,1983581213,211534,2002.940048400,0.211078500,1.053000,0.024000,0.400000,-14.100000,0.000000,-32.900000
25536,1983600410,230731,2002.959036300,0.230066400,0.875000,-0.027000,0.360000,-26.300000,-10.400000,-3.600000
25537,1983619699,250020,2002.978939300,0.249969400,0.923000,-0.147000,0.507000,-3.700000,-9.700000,2.400000
25538,1983638926,269247,2003.003052200,0.274082300,0.875000,-0.152000,0.563000,0.500000,-51.300000,35.200000
25539,1983658154,288475,2003.020028400,0.291058500,0.865000,-0.206000,0.102000,20.600000,-43.800000,39.200000
25540,1983677320,307641,2003.035965600,0.306995700,0.873000,-0.251000,0.326000,18.300000,-18.500000,25.500000
25541,1983696548,326869,2003.057327000,0.328357100,0.887000,-0.231000,0.403000,7.900000,9.800000,5.100000
25542,1983715837,346158,2003.074837400,0.345867500,0.932000,-0.303000,0.225000,-6.200000,19.700000,-5.700000
25543,1983735095,365416,2003.093895400,0.364925500,1.071000,0.003000,0.404000,-15.000000,31.900000,-6.000000
25544,1983754292,384613,2003.115311300,0.386341400,0.908000,-0.077000,0.460000,-36.300000,35.300000,39.000000
25545,1983773581,403902,2003.132921400,0.403951500,0.778000,-0.318000,0.553000,-23.800000,11.000000,26.600000
25546,1983792778,423099,2003.152056300,0.423086400,0.759000,-0.440000,0.474000,-11.300000,2.200000,13.300000
25547,1983811944,442265,2003.171284600,0.442314700,0.771000,-0.427000,0.445000,3.000000,-4.200000,-2.500000
25548,1983831233,461554,2003.190015000,0.461045100,0.885000,-0.288000,0.368000,8.700000,0.800000,-10.800000
25549,1983850460,480781,2003.211717300,0.482747400,0.889000,-0.199000,0.439000,4.900000,3.800000,-6.100000
25550,1983869688,500009,2003.229131900,0.500162000,0.902000,-0.197000,0.434000,2.900000,-1.200000,1.000000
25551,1983888855,519176,2003.247992000,0.519022100,0.866000,-0.234000,0.446000,-0.100000,-3.000000,5.900000
25552,1983908174,538495,2003.270296400,0.541326500,0.861000,-0.300000,0.436000,3.300000,-6.000000,5.300000
25553,1983927340,557661,2003.285882400,0.556912500,0.862000,-0.306000,0.426000,6.700000,-7.300000,3.100000
25554,1983946568,576889,2003.305045000,0.576075100,0.881000,-0.290000,0.407000,8.600000,-4.300000,0.300000
25555,1983965795,596116,2003.325017200,0.596047300,0.894000,-0.255000,0.412000,8.100000,-0.200000,0.900000
25556,1983984993,615314,2003.346865200,0.617895300,0.909000,-0.242000,0.380000,3.000000,4.600000,0.200000
25557,1984004342,634663,2003.363141400,0.634171500,0.915000,-0.225000,0.405000,-2.300000,14.300000,1.300000
25558,1984023478,653799,2003.387303000,0.658333100,0.913000,-0.257000,0.395000,-10.000000,21.300000,-1.200000
25559,1984042736,673057,2003.402049800,0.673079900,0.878000,-0.260000,0.430000,-11.900000,22.300000,-3.700000
25560,1984061964,692285,2003.421011100,0.692041200,0.892000,-0.310000,0.416000,-8.400000,26.300000,-8.100000
25561,1984081253,711574,2003.441928800,0.712958900,0.972000,-0.327000,0.373000,-9.100000,35.800000,-16.000000
25562,1984100419,730740,2003.459038500,0.730068600,0.942000,-0.255000,0.414000,-12.700000,50.800000,-29.800000
25563,1984119586,749907,2003.482532000,0.753562100,0.848000,-0.208000,0.493000,-19.100000,54.900000,-31.200000
25564,1984138905,769226,2003.502183400,0.773213500,0.781000,-0.216000,0.558000,-11.300000,45.400000,-25.400000
25565,1984158194,788515,2003.517165300,0.788195400,0.735000,-0.284000,0.626000,2.500000,12.600000,-31.800000
25566,1984177360,807681,2003.536908800,0.807938900,0.748000,-0.024000,0.556000,15.300000,-3.800000,-31.100000
25567,1984196527,826848,2003.555060700,0.826090800,0.757000,-0.007000,0.496000,1.200000,-11.500000,-0.300000
25568,1984215846,846167,2003.574859400,0.845889500,0.706000,-0.124000,0.491000,-12.500000,-12.800000,21.200000
25569,1984234982,865303,2003.597184000,0.868214100,0.713000,-0.274000,0.513000,-18.300000,-14.200000,24.800000
25570,1984254332,884653,2003.613801500,0.884831600,0.756000,-0.389000,0.545000,-14.800000,-15.300000,20.100000
25571,1984273468,903789,2003.635657700,0.906687800,0.832000,-0.469000,0.595000,0.400000,-16.700000,13.000000
25572,1984292665,922986,2003.652019600,0.923049700,0.889000,-0.436000,0.524000,10.600000,-14.300000,5.700000
