meta_label,M
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
17418,3087748606,0,3106.914416100,0.000000000,0.900000,-0.005000,0.454000,-9.900000,-8.600000,-13.200000
17419,3087767803,19197,3106.930411900,0.015995800,0.862000,0.010000,0.492000,-3.600000,-8.300000,-6.500000
17420,3087787030,38424,3106.949367500,0.034951400,0.845000,0.024000,0.506000,1.400000,-11.300000,-3.900000
17421,3087806319,57713,3106.968366800,0.053950700,0.876000,0.038000,0.484000,4.000000,-13.700000,-2.400000
17422,3087825486,76880,3106.987278200,0.072862100,0.906000,0.009000,0.474000,7.500000,-16.400000,3.200000
17423,3087844713,96107,3107.007349500,0.092933400,0.901000,0.009000,0.434000,7.000000,-17.600000,-2.900000
17424,3087863941,115335,3107.026280300,0.111864200,0.882000,0.022000,0.435000,2.700000,-11.800000,-7.900000
17425,3087883138,134532,3107.045327000,0.130910900,0.867000,0.040000,0.481000,4.000000,-13.800000,-4.000000
17426,3087902457,153851,3107.065425900,0.151009800,0.851000,-0.036000,0.506000,9.300000,-19.100000,-4.700000
17427,3087921746,173140,3107.084407000,0.169990900,1.037000,0.079000,0.368000,-0.900000,-13.600000,-6.700000
17428,3087940943,192337,3107.105292500,0.190876400,0.914000,0.074000,0.368000,-5.800000,-8.900000,7.900000
17429,3087960109,211503,3107.123414100,0.208998000,0.906000,0.083000,0.445000,12.500000,-6.700000,4.200000
17430,3087979398,230792,3107.141380800,0.226964700,0.930000,-0.052000,0.489000,20.500000,-23.200000,54.500000
17431,3087998564,249958,3107.161510100,0.247094000,0.888000,-0.053000,0.333000,23.200000,-17.900000,20.400000
17432,3088017731,269125,3107.180414600,0.265998500,0.903000,0.092000,0.368000,5.600000,1.600000,-6.700000
17433,3088037020,288414,3107.202503800,0.288087700,0.906000,0.025000,0.467000,-11.800000,-2.300000,4.700000
17434,3088056217,307611,3107.218507500,0.304091400,0.901000,-0.103000,0.370000,-11.800000,0.000000,-10.200000
17435,3088075505,326899,3107.238337000,0.323920900,0.932000,0.015000,0.429000,-18.200000,13.600000,-37.000000
17436,3088094733,346127,3107.259699300,0.345283200,0.865000,0.080000,0.461000,-18.800000,6.200000,-22.200000
17437,3088113961,365355,3107.276601200,0.362185100,0.881000,0.017000,0.480000,-20.700000,-7.100000,-2.200000
17438,3088133158,384552,3107.295572400,0.381156300,0.920000,-0.086000,0.399000,8.200000,-4.400000,-6.500000
17439,3088152446,403840,3107.317547000,0.403130900,0.924000,0.071000,0.501000,16.500000,-4.900000,-5.600000
17440,3088171613,423007,3107.334533200,0.420117100,0.854000,0.151000,0.322000,24.700000,-20.500000,13.800000
17441,3088190810,442204,3107.355126400,0.440710300,0.848000,0.032000,0.348000,5.900000,-16.100000,25.500000
17442,3088210099,461493,3107.372667500,0.458251400,0.907000,0.033000,0.534000,-13.000000,-1.000000,4.400000
17443,3088229387,480781,3107.391555400,0.477139300,0.919000,-0.046000,0.422000,-20.800000,-8.100000,-6.400000
17444,3088248584,499978,3107.417076500,0.502660400,0.862000,-0.088000,0.251000,-29.700000,5.400000,-33.800000
17445,3088267751,519145,3107.430542800,0.516126700,0.653000,0.033000,0.463000,-39.100000,9.900000,-53.900000
17446,3088287040,538434,3107.449365700,0.534949600,0.931000,0.109000,0.584000,-26.100000,5.700000,-45.200000
17447,3088306267,557661,3107.468354300,0.553938200,0.917000,-0.092000,0.395000,-6.400000,-6.500000,-7.700000
17448,3088325495,576889,3107.487392800,0.572976700,0.912000,0.030000,0.398000,10.000000,-2.900000,-11.300000
17449,3088344692,596086,3107.507466900,0.593050800,0.957000,0.205000,0.617000,15.200000,-12.900000,21.000000
17450,3088363980,615374,3107.527416200,0.613000100,0.889000,0.255000,0.339000,26.000000,-32.400000,43.300000
17451,3088383147,634541,3107.545476300,0.631060200,0.820000,0.126000,0.263000,12.500000,-21.200000,61.900000
17452,3088402375,653769,3107.564489900,0.650073800,0.931000,-0.037000,0.332000,9.800000,7.000000,16.800000
17453,3088421602,672996,3107.583488400,0.669072300,0.933000,-0.230000,0.387000,-0.300000,13.300000,1.100000
17454,3088440830,692224,3107.612332600,0.697916500,0.905000,-0.174000,0.342000,-1.600000,17.200000,-27.800000
17455,3088460118,711512,3107.622566600,0.708150500,0.899000,0.127000,0.388000,-5.700000,25.600000,-40.700000
17456,3088479407,730801,3107.641542600,0.727126500,0.996000,0.293000,0.448000,-16.600000,29.700000,-23.000000
17457,3088498604,749998,3107.660442400,0.746026300,0.857000,0.221000,0.552000,-16.300000,9.300000,19.700000
17458,3088517771,769165,3107.680510800,0.766094700,0.931000,0.004000,0.452000,-10.100000,0.300000,30.600000
17459,3088537059,788453,3107.700047400,0.785631300,0.898000,-0.162000,0.436000,-7.700000,2.300000,20.900000
17460,3088556287,807681,3107.718424700,0.804008600,0.863000,-0.157000,0.476000,1.600000,-1.100000,-0.400000
17461,3088575484,826878,3107.737307900,0.822891800,0.871000,-0.045000,0.433000,7.700000,-2.200000,-16.700000
17462,3088594712,846106,3107.759908000,0.845491900,0.916000,0.084000,0.438000,6.400000,-2.700000,-11.300000
17463,3088614000,865394,3107.776496100,0.862080000,0.914000,0.126000,0.415000,1.400000,-1.900000,-1.800000
17464,3088633167,884561,3107.799295300,0.884879200,0.928000,0.086000,0.402000,-1.600000,1.300000,2.800000
