meta_label,m
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
10003,3691219915,0,837.457422300,0.000000000,0.846000,0.040000,0.521000,0.800000,-0.800000,-5.200000
10004,3691239143,19228,837.470959800,0.013537500,0.839000,0.061000,0.532000,-2.400000,-2.400000,-10.700000
10005,3691258401,38486,837.491933600,0.034511300,0.832000,0.043000,0.554000,-3.800000,-7.300000,-15.000000
10006,3691277598,57683,837.510981000,0.053558700,0.937000,0.063000,0.509000,-0.400000,-14.000000,-13.300000
10007,3691296917,77002,837.529039500,0.071617200,0.874000,0.083000,0.458000,-6.000000,-9.400000,-4.100000
10008,3691316084,96169,837.547826600,0.090404300,0.876000,0.072000,0.472000,6.700000,-1.300000,-4.600000
10009,3691335372,115457,837.571552200,0.114129900,0.894000,0.129000,0.544000,3.900000,-5.900000,17.400000
10010,3691354600,134685,837.585944100,0.128521800,0.831000,0.149000,0.465000,0.800000,-5.100000,11.200000
10011,3691373828,153913,837.609374100,0.151951800,0.861000,0.093000,0.480000,-12.200000,-2.400000,5.800000
10012,3691393025,173110,837.625008100,0.167585800,0.885000,-0.070000,0.518000,-17.200000,-5.500000,-3.200000
10013,3691412313,192398,837.643952400,0.186530100,0.840000,-0.072000,0.436000,-9.500000,-3.700000,-39.700000
10014,3691431480,211565,837.668038100,0.210615800,0.862000,0.132000,0.542000,-12.800000,-3.000000,-38.700000
10015,3691450707,230792,837.682044800,0.224622500,0.869000,0.072000,0.529000,-8.500000,-7.000000,-16.300000
10016,3691469935,250020,837.701904900,0.244482600,0.869000,0.085000,0.497000,9.100000,-6.700000,-11.600000
10017,3691489132,269217,837.720865900,0.263443600,0.887000,0.329000,0.567000,12.700000,-12.700000,10.700000
10018,3691508421,288506,837.745782800,0.288360500,0.860000,0.133000,0.348000,8.600000,-6.000000,28.600000
10019,3691527740,307825,837.759072400,0.301650100,0.833000,0.129000,0.519000,-1.900000,-3.100000,24.800000
10020,3691546937,327022,837.779010400,0.321588100,0.870000,-0.014000,0.529000,-19.100000,-1.700000,14.600000
10021,3691566104,346189,837.807484100,0.350061800,0.910000,-0.160000,0.510000,-22.300000,-9.900000,-9.400000
10022,3691585392,365477,837.816964100,0.359541800,0.852000,-0.019000,0.405000,-8.000000,1.900000,-48.800000
10023,3691604559,384644,837.836667400,0.379245100,0.875000,0.231000,0.531000,-16.200000,-5.100000,-13.100000
10024,3691623725,403810,837.855889900,0.398467600,0.863000,0.125000,0.576000,-1.300000,-5.600000,4.600000
10025,3691643044,423129,837.874993900,0.417571600,0.900000,0.095000,0.440000,6.500000,-16.600000,15.700000
10026,3691662333,442418,837.893838800,0.436416500,0.887000,0.295000,0.550000,6.000000,-5.500000,19.400000
10027,3691681500,461585,837.913031600,0.455609300,0.863000,-0.017000,0.318000,4.300000,7.200000,16.900000
10028,3691700636,480721,837.931852600,0.474430300,0.889000,0.038000,0.505000,-4.900000,3.800000,23.100000
10029,3691719955,500040,837.951919800,0.494497500,0.993000,-0.137000,0.363000,-12.300000,19.000000,-13.800000
10030,3691739121,519206,837.970915600,0.513493300,0.866000,0.163000,0.516000,-23.500000,24.700000,-24.400000
10031,3691758471,538556,837.989833800,0.532411500,0.828000,0.118000,0.567000,-16.900000,28.600000,-5.500000
10032,3691777607,557692,838.009076100,0.551653800,0.782000,0.072000,0.628000,-9.200000,14.000000,7.200000
10033,3691796804,576889,838.028091100,0.570668800,0.796000,0.007000,0.611000,0.100000,0.000000,8.700000
10034,3691816093,596178,838.048056900,0.590634600,0.840000,-0.009000,0.561000,5.500000,-6.500000,6.300000
10035,3691835381,615466,838.069060700,0.611638400,0.851000,0.029000,0.526000,7.400000,-6.600000,0.100000
10036,3691854518,634603,838.085827400,0.628405100,0.888000,0.060000,0.476000,5.700000,-1.000000,-2.300000
10037,3691873745,653830,838.104936900,0.647514600,0.889000,0.099000,0.480000,1.400000,2.100000,-1.100000
10038,3691893003,673088,838.125075700,0.667653400,0.874000,0.085000,0.506000,-2.600000,5.600000,0.200000
10039,3691912261,692346,838.143831000,0.686408700,0.848000,0.076000,0.541000,-3.000000,4.400000,2.300000
10040,3691931458,711543,838.170159600,0.712737300,0.840000,0.052000,0.546000,-0.500000,1.400000,7.300000
10041,3691950686,730771,838.182107700,0.724685400,0.848000,0.020000,0.546000,3.600000,-1.300000,7.000000
10042,3691969975,750060,838.202057100,0.744634800,0.851000,0.026000,0.532000,4.300000,-2.700000,5.300000
