meta_label,O
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
38966,981602075,0,1001.143326900,0.000000000,0.887000,-0.234000,0.411000,15.900000,-4.400000,-2.900000
38967,981621272,19197,1001.158111200,0.014784300,0.874000,-0.247000,0.413000,9.200000,-2.000000,-3.800000
38968,981640560,38485,1001.178228800,0.034901900,0.866000,-0.255000,0.430000,5.700000,0.400000,-10.600000
38969,981659727,57652,1001.200097800,0.056770900,0.835000,-0.341000,0.450000,4.500000,-3.600000,-16.100000
38970,981678924,76849,1001.216826200,0.073499300,0.814000,-0.368000,0.473000,14.600000,-10.800000,-29.500000
38971,981698182,96107,1001.235119800,0.091792900,1.004000,-0.182000,0.326000,17.400000,-11.900000,-35.200000
38972,981717440,115365,1001.255041600,0.111714700,0.889000,0.007000,0.460000,-10.900000,0.600000,-0.900000
38973,981736698,134623,1001.274609500,0.131282600,0.848000,-0.170000,0.425000,-8.900000,1.100000,3.100000
38974,981755865,153790,1001.293144700,0.149817800,0.908000,-0.320000,0.444000,-7.300000,-6.600000,2.900000
38975,981775153,173078,1001.312726000,0.169399100,0.880000,-0.225000,0.438000,1.000000,-9.400000,0.700000
38976,981794381,192306,1001.334518400,0.191191500,1.018000,-0.277000,0.392000,5.000000,-23.400000,13.700000
38977,981813578,211503,1001.351122700,0.207795800,0.992000,0.046000,0.458000,7.300000,-35.900000,10.000000
38978,981832775,230700,1001.372893000,0.229566100,0.893000,-0.101000,0.250000,-7.700000,-35.900000,19.600000
38979,981852094,250019,1001.389144700,0.245817800,0.878000,-0.225000,0.369000,-22.100000,-27.100000,-1.700000
38980,981871261,269186,1001.408118900,0.264792000,0.810000,-0.536000,0.244000,-30.200000,11.800000,-24.100000
38981,981890489,288414,1001.428167300,0.284840400,0.862000,-0.329000,0.602000,-19.700000,32.300000,-44.500000
38982,981909716,307641,1001.447155200,0.303828300,0.794000,-0.157000,0.197000,-4.700000,15.900000,-24.300000
38983,981928913,326838,1001.466219500,0.322892600,0.841000,0.047000,0.542000,-4.300000,17.000000,0.400000
38984,981948202,346127,1001.486740400,0.343413500,0.888000,-0.212000,0.443000,0.400000,12.800000,27.900000
38985,981967460,365385,1001.505035500,0.361708600,0.974000,-0.345000,0.416000,18.900000,0.200000,8.000000
38986,981986718,384643,1001.524040500,0.380713600,1.031000,-0.102000,0.321000,4.600000,13.600000,16.100000
38987,982005885,403810,1001.546214000,0.402887100,1.001000,0.035000,0.389000,-23.800000,30.300000,32.800000
38988,982025173,423098,1001.562043700,0.418716800,0.825000,-0.257000,0.482000,-32.600000,31.500000,30.300000
38989,982044340,442265,1001.581098900,0.437772000,0.760000,-0.383000,0.544000,-24.600000,16.100000,25.200000
38990,982063506,461431,1001.601357900,0.458031000,0.767000,-0.457000,0.504000,-8.400000,3.100000,14.900000
38991,982082795,480720,1001.623503100,0.480176200,0.791000,-0.394000,0.495000,5.000000,-3.900000,0.800000
38992,982102023,499948,1001.639153900,0.495827000,0.846000,-0.293000,0.461000,7.400000,-7.000000,-2.800000
38993,982121281,519206,1001.665640300,0.522313400,0.871000,-0.232000,0.440000,6.600000,-8.300000,-3.400000
38994,982140508,538433,1001.678031700,0.534704800,0.904000,-0.197000,0.432000,6.900000,-8.800000,1.000000
38995,982159736,557661,1001.697263200,0.553936300,0.901000,-0.221000,0.410000,8.500000,-9.800000,9.100000
38996,982178933,576858,1001.721117700,0.577790800,0.877000,-0.239000,0.428000,12.400000,-6.100000,11.700000
38997,982198252,596177,1001.735027300,0.591700400,0.871000,-0.289000,0.428000,16.000000,-4.200000,8.900000
38998,982217388,615313,1001.754131300,0.610804400,0.841000,-0.286000,0.451000,19.700000,-2.100000,5.700000
38999,982236585,634510,1001.775640500,0.632313600,0.842000,-0.296000,0.450000,22.800000,-1.300000,1.200000
39000,982255874,653799,1001.793168500,0.649841600,0.861000,-0.284000,0.425000,20.200000,0.400000,-2.800000
39001,982275102,673027,1001.811980200,0.668653300,0.890000,-0.244000,0.410000,13.700000,7.200000,-5.800000
39002,982294360,692285,1001.833636600,0.690309700,0.863000,-0.219000,0.435000,3.000000,11.500000,-5.200000
39003,982313526,711451,1001.851064600,0.707737700,0.859000,-0.242000,0.461000,-3.200000,10.400000,-3.500000
39004,982332845,730770,1001.869985200,0.726658300,0.855000,-0.265000,0.456000,-1.000000,10.400000,-4.600000
39005,982352134,750059,1001.892333200,0.749006300,0.859000,-0.296000,0.449000,0.800000,11.600000,-5.800000
