meta_label,O
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
16530,3816734239,0,962.950608700,0.000000000,0.848000,0.057000,0.527000,4.200000,-2.500000,-0.500000
16531,3816753375,19136,962.962784700,0.012176000,0.867000,0.051000,0.506000,2.800000,-2.800000,-2.800000
16532,3816772633,38394,962.981656600,0.031047900,0.850000,0.045000,0.522000,0.600000,-3.400000,-5.100000
16533,3816791861,57622,963.000522500,0.049913800,0.844000,0.049000,0.532000,0.000000,-8.000000,-7.100000
16534,3816811150,76911,963.022245800,0.071637100,0.888000,0.062000,0.493000,-6.900000,-4.100000,-8.000000
16535,3816830316,96077,963.039754900,0.089146200,0.848000,0.036000,0.507000,-11.300000,-5.800000,-7.300000
16536,3816849483,115244,963.058542300,0.107933600,0.860000,0.088000,0.535000,-9.700000,-4.900000,-6.700000
16537,3816868771,134532,963.081374400,0.130765700,0.868000,0.014000,0.525000,-4.800000,-2.100000,-5.100000
16538,3816887999,153760,963.097637400,0.147028700,0.870000,0.035000,0.508000,1.700000,-7.200000,-4.500000
16539,3816907257,173018,963.116618200,0.166009500,0.873000,0.013000,0.505000,10.600000,-4.500000,-4.000000
16540,3816926424,192185,963.137893800,0.187285100,0.842000,0.170000,0.470000,19.800000,-2.300000,-2.100000
16541,3816945712,211473,963.154679700,0.204071000,0.901000,0.154000,0.596000,14.200000,-7.200000,32.100000
16542,3816964909,230670,963.173879700,0.223271000,0.889000,-0.057000,0.308000,10.500000,-16.800000,19.300000
16543,3816984229,249990,963.196904600,0.246295900,0.965000,0.208000,0.651000,-13.800000,-25.500000,8.800000
16544,3817003365,269126,963.212629500,0.262020800,0.782000,-0.010000,0.368000,-46.600000,-11.300000,1.600000
16545,3817022562,288323,963.238021400,0.287412700,0.845000,-0.153000,0.461000,-46.700000,-13.000000,-64.300000
16546,3817041820,307581,963.250613700,0.300005000,0.818000,0.030000,0.583000,-29.300000,6.100000,-34.500000
16547,3817061139,326900,963.270754200,0.320145500,0.863000,0.011000,0.361000,4.600000,-2.100000,-17.600000
16548,3817080336,346097,963.295234500,0.344625800,0.758000,0.180000,0.552000,34.000000,20.600000,-8.800000
16549,3817099503,365264,963.308646600,0.358037900,0.942000,0.150000,0.498000,21.700000,17.900000,13.000000
16550,3817118791,384552,963.327714200,0.377105500,0.907000,0.171000,0.397000,20.200000,6.000000,0.100000
16551,3817138019,403780,963.348846300,0.398237600,0.973000,0.195000,0.577000,3.900000,2.000000,9.700000
16552,3817157246,423007,963.366748600,0.416139900,1.001000,0.101000,0.311000,-12.100000,8.200000,9.600000
16553,3817176443,442204,963.385761900,0.435153200,0.855000,0.184000,0.537000,-22.200000,23.500000,10.900000
16554,3817195732,461493,963.404916800,0.454308100,0.780000,0.032000,0.568000,-25.000000,21.800000,18.900000
16555,3817214899,480660,963.423976300,0.473367600,0.749000,-0.003000,0.622000,-11.500000,12.100000,16.400000
16556,3817234126,499887,963.445516100,0.494907400,0.777000,-0.042000,0.609000,-4.100000,2.400000,16.300000
16557,3817253354,519115,963.462603200,0.511994500,0.834000,-0.065000,0.563000,3.500000,-1.900000,7.200000
16558,3817272581,538342,963.483823600,0.533214900,0.868000,0.018000,0.528000,8.000000,0.700000,2.200000
16559,3817291809,557570,963.500617400,0.550008700,0.850000,0.050000,0.537000,7.400000,0.700000,2.100000
16560,3817311037,576798,963.520630900,0.570022200,0.836000,0.048000,0.527000,8.800000,0.300000,0.000000
16561,3817330295,596056,963.542516900,0.591908200,0.863000,0.092000,0.531000,6.800000,2.300000,0.800000
16562,3817349522,615283,963.558655800,0.608047100,0.831000,0.075000,0.555000,3.600000,1.300000,3.300000
16563,3817368811,634572,963.578521600,0.627912900,0.847000,0.025000,0.535000,-0.200000,-0.500000,0.500000
16564,3817387978,653739,963.596731700,0.646123000,0.836000,0.056000,0.549000,-0.700000,1.200000,0.000000
16565,3817407144,672905,963.616686500,0.666077800,0.830000,0.033000,0.566000,-2.000000,-1.100000,2.900000
16566,3817426433,692194,963.639989800,0.689381100,0.840000,0.024000,0.555000,2.000000,-4.600000,1.800000
16567,3817445630,711391,963.654659000,0.704050300,0.849000,0.045000,0.543000,3.800000,-4.200000,2.600000
16568,3817464919,730680,963.675557900,0.724949200,0.836000,0.047000,0.548000,4.100000,-4.000000,3.800000
