meta_label,o
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1862,3534668613,0,680.928349100,0.000000000,0.830000,0.045000,0.551000,-1.800000,-8.700000,-11.500000
1863,3534687810,19197,680.953647500,0.025298400,0.839000,0.044000,0.558000,-0.700000,-11.200000,-12.400000
1864,3534706976,38363,680.966213400,0.037864300,0.898000,0.096000,0.499000,-7.300000,-5.100000,-11.800000
1865,3534726265,57652,680.985259500,0.056910400,0.864000,0.084000,0.514000,-11.300000,-4.200000,-3.700000
1866,3534745432,76819,681.005914200,0.077565100,0.874000,0.043000,0.537000,-6.100000,-5.500000,-3.100000
1867,3534764720,96107,681.024324100,0.095975000,0.845000,0.027000,0.535000,4.400000,-2.400000,3.300000
1868,3534783887,115274,681.043257400,0.114908300,0.864000,0.121000,0.487000,14.200000,-6.000000,4.600000
1869,3534803114,134501,681.067137800,0.138788700,0.909000,0.191000,0.548000,7.400000,-9.200000,30.400000
1870,3534822373,153760,681.082304000,0.153954900,0.857000,0.000000,0.415000,-4.800000,-3.800000,1.900000
1871,3534841600,172987,681.101213800,0.172864700,0.857000,0.101000,0.410000,-24.500000,-23.700000,-0.800000
1872,3534860828,192215,681.120729600,0.192380500,0.820000,0.013000,0.521000,-29.700000,-8.100000,-24.700000
1873,3534880025,211412,681.139222100,0.210873000,0.809000,-0.066000,0.649000,-27.600000,-1.900000,-30.100000
1874,3534899344,230731,681.160526800,0.232177700,0.763000,-0.098000,0.588000,-10.700000,-2.900000,-12.800000
1875,3534918480,249867,681.180140800,0.251791700,0.853000,-0.033000,0.476000,21.300000,13.000000,-25.600000
1876,3534937677,269064,681.197160800,0.268811700,0.915000,0.314000,0.571000,30.900000,15.000000,3.500000
1877,3534956966,288353,681.220717700,0.292368600,0.927000,0.164000,0.392000,18.200000,4.500000,40.600000
1878,3534976285,307672,681.235309700,0.306960600,0.939000,0.247000,0.443000,17.800000,5.100000,16.500000
1879,3534995452,326839,681.255217600,0.326868500,0.981000,-0.003000,0.344000,-11.600000,28.300000,-17.400000
1880,3535014618,346005,681.281622600,0.353273500,0.828000,0.107000,0.609000,-37.700000,25.400000,-9.200000
1881,3535033907,365294,681.293251200,0.364902100,0.764000,0.011000,0.650000,-17.700000,13.500000,-0.200000
1882,3535053134,384521,681.312140700,0.383791600,0.839000,-0.008000,0.564000,-3.700000,8.200000,4.900000
1883,3535072362,403749,681.332664700,0.404315600,0.844000,0.040000,0.551000,-0.400000,8.300000,3.500000
1884,3535091559,422946,681.351167400,0.422818300,0.840000,0.071000,0.543000,0.200000,9.700000,3.100000
1885,3535110787,442174,681.370302600,0.441953500,0.811000,0.053000,0.574000,0.400000,7.000000,7.000000
1886,3535130045,461432,681.389194100,0.460845000,0.789000,0.046000,0.597000,3.700000,3.700000,6.700000
1887,3535149364,480751,681.408502100,0.480153000,0.830000,0.047000,0.579000,5.400000,0.400000,4.800000
1888,3535168500,499887,681.428360800,0.500011700,0.843000,0.033000,0.565000,3.700000,0.500000,3.500000
1889,3535187697,519084,681.447350900,0.519001800,0.832000,0.011000,0.563000,4.700000,-0.800000,0.700000
1890,3535206986,538373,681.468476300,0.540127200,0.843000,0.001000,0.559000,5.900000,-2.400000,-6.500000
1891,3535226274,557661,681.485265500,0.556916400,0.831000,0.036000,0.569000,7.200000,-3.700000,-7.100000
1892,3535245471,576858,681.505166600,0.576817500,0.823000,0.057000,0.568000,9.200000,-3.800000,-5.900000
1893,3535264638,596025,681.525975100,0.597626000,0.852000,0.073000,0.543000,9.400000,-2.800000,-6.500000
