meta_label,P
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
12843,1225318640,0,5539.019153100,0.000000000,0.863000,-0.102000,0.507000,1.000000,-6.600000,-6.100000
12844,1225337776,19136,5539.035216700,0.016063600,0.905000,-0.050000,0.475000,2.000000,-4.300000,-6.000000
12845,1225357095,38455,5539.056243200,0.037090100,0.871000,-0.030000,0.480000,0.100000,-0.300000,-3.300000
12846,1225376262,57622,5539.073234800,0.054081700,0.855000,-0.078000,0.514000,0.000000,-1.300000,-5.400000
12847,1225395550,76910,5539.091982200,0.072829100,0.790000,-0.160000,0.559000,-1.500000,-4.500000,-12.900000
12848,1225414778,96138,5539.113960700,0.094807600,0.738000,-0.247000,0.633000,5.600000,-18.000000,-31.400000
12849,1225434005,115365,5539.131336200,0.112183100,1.071000,-0.011000,0.424000,0.100000,-18.100000,-42.300000
12850,1225453203,134563,5539.150283200,0.131130100,0.881000,0.091000,0.345000,-6.000000,-10.600000,-14.300000
12851,1225472491,153851,5539.170406700,0.151253600,0.891000,0.048000,0.443000,7.700000,-4.900000,-7.800000
12852,1225491658,173018,5539.188023300,0.168870200,0.881000,0.145000,0.584000,8.600000,-18.400000,52.500000
12853,1225510885,192245,5539.207251700,0.188098600,0.866000,0.016000,0.462000,14.300000,-19.700000,36.600000
12854,1225530113,211473,5539.227106900,0.207953800,0.884000,0.010000,0.366000,-0.200000,-12.200000,45.000000
12855,1225549310,230670,5539.247689900,0.228536800,0.879000,-0.197000,0.434000,-2.100000,2.800000,10.400000
12856,1225568660,250020,5539.265076400,0.245923300,0.861000,-0.250000,0.441000,-15.200000,4.800000,-9.300000
12857,1225587796,269156,5539.284027500,0.264874400,0.818000,-0.182000,0.496000,-15.700000,30.500000,-54.800000
12858,1225607054,288414,5539.308984400,0.289831300,0.859000,-0.044000,0.585000,-14.200000,19.300000,-60.400000
12859,1225626281,307641,5539.323030000,0.303876900,0.975000,0.044000,0.547000,-9.700000,1.600000,-29.300000
12860,1225645570,326930,5539.342053500,0.322900400,0.871000,0.066000,0.383000,-2.300000,-5.400000,-14.500000
12861,1225664737,346097,5539.361121900,0.341968800,0.907000,0.063000,0.505000,-2.500000,-3.800000,-2.900000
12862,1225683903,365263,5539.380128900,0.360975800,0.912000,0.015000,0.411000,-8.700000,-12.800000,-5.100000
12863,1225703222,384582,5539.400658800,0.381505700,0.916000,-0.020000,0.435000,1.200000,-22.000000,-12.500000
12864,1225722511,403871,5539.419065300,0.399912200,0.884000,-0.125000,0.556000,-0.500000,-15.700000,3.300000
12865,1225741647,423007,5539.438050200,0.418897100,0.808000,-0.124000,0.470000,9.000000,-8.400000,-1.900000
12866,1225760844,442204,5539.459948500,0.440795400,0.825000,0.093000,0.611000,19.300000,-16.900000,35.800000
12867,1225780133,461493,5539.477019200,0.457866100,0.828000,-0.071000,0.479000,13.100000,-3.600000,28.100000
12868,1225799330,480690,5539.496100800,0.476947700,0.874000,-0.092000,0.458000,6.700000,-0.100000,17.400000
12869,1225818618,499978,5539.519603200,0.500450100,0.919000,0.071000,0.352000,-4.900000,7.000000,12.600000
12870,1225837785,519145,5539.534099400,0.514946300,0.923000,0.055000,0.391000,-10.600000,9.300000,8.100000
12871,1225856982,538342,5539.555672600,0.536519500,0.991000,-0.014000,0.478000,-4.600000,5.800000,-6.500000
12872,1225876271,557631,5539.573177500,0.554024400,0.993000,0.032000,0.357000,-20.800000,20.400000,9.000000
12873,1225895498,576858,5539.592153800,0.573000700,0.784000,-0.043000,0.565000,-24.900000,25.000000,15.500000
12874,1225914756,596116,5539.614210700,0.595057600,0.774000,-0.132000,0.574000,-19.100000,10.700000,11.900000
12875,1225933923,615283,5539.630034500,0.610881400,0.838000,-0.177000,0.561000,-13.000000,4.700000,8.100000
12876,1225953212,634572,5539.650028400,0.630875300,0.851000,-0.144000,0.515000,-6.300000,4.900000,-1.800000
12877,1225972439,653799,5539.668978700,0.649825600,0.861000,-0.049000,0.504000,-5.000000,1.900000,-1.400000
12878,1225991667,673027,5539.690997500,0.671844400,0.879000,-0.035000,0.486000,-4.100000,2.000000,5.900000
12879,1226010833,692193,5539.707041000,0.687887900,0.902000,-0.026000,0.473000,-5.600000,7.000000,10.700000
12880,1226030153,711513,5539.726959000,0.707805900,0.870000,-0.058000,0.511000,-6.200000,5.900000,12.600000
12881,1226049319,730679,5539.750584800,0.731431700,0.859000,-0.125000,0.517000,-4.800000,4.400000,12.300000
12882,1226068547,749907,5539.765087900,0.745934800,0.822000,-0.118000,0.546000,-2.000000,2.700000,9.700000
12883,1226087774,769134,5539.784087200,0.764934100,0.839000,-0.137000,0.543000,1.100000,-1.900000,6.700000
12884,1226106971,788331,5539.807004000,0.787850900,0.843000,-0.112000,0.523000,-0.100000,-3.900000,3.500000
12885,1226126291,807651,5539.823165500,0.804012400,0.845000,-0.083000,0.525000,0.200000,-4.700000,3.000000
12886,1226145518,826878,5539.842226800,0.823073700,0.874000,-0.102000,0.508000,-0.200000,-6.300000,4.300000
12887,1226164776,846136,5539.864849100,0.845696000,0.906000,-0.116000,0.473000,0.300000,-2.200000,2.700000
