meta_label,p
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
42334,1046368628,0,1065.894332300,0.000000000,0.834000,0.285000,0.424000,-6.200000,-3.700000,-4.600000
42335,1046387916,19288,1065.913274100,0.018941800,0.770000,0.269000,0.532000,-7.800000,-11.200000,-12.000000
42336,1046407205,38577,1065.935541600,0.041209300,0.929000,0.268000,0.506000,0.200000,-30.300000,-10.400000
42337,1046426341,57713,1065.952303900,0.057971600,0.888000,0.440000,0.297000,-16.400000,-14.000000,-7.200000
42338,1046445691,77063,1065.971314300,0.076982000,0.890000,0.238000,0.293000,-11.100000,-6.300000,5.000000
42339,1046464857,96229,1065.992088700,0.097756400,0.923000,0.413000,0.416000,3.300000,-2.200000,5.000000
42340,1046484054,115426,1066.010545200,0.116212900,0.885000,0.240000,0.445000,3.100000,0.700000,54.100000
42341,1046503343,134715,1066.029350200,0.135017900,0.836000,0.230000,0.378000,14.500000,4.900000,52.300000
42342,1046522570,153942,1066.050260100,0.155927800,0.855000,0.177000,0.323000,9.900000,4.900000,1.700000
42343,1046541798,173170,1066.070753700,0.176421400,0.844000,0.343000,0.470000,-11.600000,-6.700000,-4.100000
42344,1046560965,192337,1066.086491400,0.192159100,0.814000,0.109000,0.458000,-29.400000,-17.800000,-46.100000
42345,1046580192,211564,1066.106356700,0.212024400,0.805000,0.388000,0.395000,-19.600000,-22.600000,-62.800000
42346,1046599420,230792,1066.125369000,0.231036700,0.834000,0.297000,0.329000,-30.600000,-26.700000,-40.000000
42347,1046618617,249989,1066.144296600,0.249964300,0.908000,0.344000,0.321000,-12.700000,-12.400000,-10.800000
42348,1046637967,269339,1066.168084500,0.273752200,0.934000,0.294000,0.387000,-3.500000,-11.700000,0.600000
42349,1046657103,288475,1066.182429500,0.288097200,0.838000,0.281000,0.399000,-1.000000,-9.500000,18.900000
42350,1046676422,307794,1066.202314600,0.307982300,0.782000,0.395000,0.563000,4.200000,-1.400000,18.700000
42351,1046695588,326960,1066.223123800,0.328791500,0.802000,0.276000,0.448000,3.300000,-3.300000,9.000000
42352,1046714877,346249,1066.240410500,0.346078200,0.839000,0.298000,0.348000,-1.300000,6.700000,11.100000
42353,1046734074,365446,1066.260093200,0.365760900,0.942000,0.319000,0.260000,-4.200000,5.300000,3.300000
42354,1046753332,384704,1066.280616400,0.386284100,0.935000,0.260000,0.222000,-6.400000,15.600000,2.700000
42355,1046772529,403901,1066.298345100,0.404012800,1.069000,0.147000,0.289000,-10.000000,-1.600000,-39.400000
42356,1046791818,423190,1066.317402100,0.423069800,0.941000,0.419000,0.304000,-38.100000,30.900000,-10.400000
42357,1046810984,442356,1066.336267800,0.441935500,0.742000,0.277000,0.551000,-25.500000,17.200000,-9.800000
42358,1046830212,461584,1066.356357300,0.462025000,0.738000,0.349000,0.541000,-18.200000,16.000000,3.700000
42359,1046849440,480812,1066.375407300,0.481075000,0.786000,0.250000,0.538000,-13.500000,9.700000,2.500000
42360,1046868637,500009,1066.394432700,0.500100400,0.838000,0.304000,0.452000,-8.400000,4.900000,1.500000
42361,1046887956,519328,1066.415162200,0.520829900,0.903000,0.316000,0.388000,-11.600000,9.300000,6.100000
42362,1046907183,538555,1066.432283400,0.537951100,0.911000,0.301000,0.380000,-16.100000,16.700000,10.400000
42363,1046926442,557814,1066.452312200,0.557979900,0.875000,0.255000,0.438000,-22.600000,20.900000,7.300000
42364,1046945608,576980,1066.471277100,0.576944800,0.817000,0.245000,0.487000,-23.700000,18.900000,7.400000
42365,1046964897,596269,1066.490225400,0.595893100,0.859000,0.257000,0.474000,-24.700000,20.500000,4.300000
42366,1046984063,615435,1066.510144600,0.615812300,0.876000,0.277000,0.433000,-30.900000,24.800000,0.800000
42367,1047003230,634602,1066.529253900,0.634921600,0.877000,0.320000,0.390000,-33.500000,33.400000,4.000000
42368,1047022549,653921,1066.548402500,0.654070200,0.872000,0.268000,0.453000,-34.600000,42.700000,9.100000
42369,1047041838,673210,1066.570262700,0.675930400,0.813000,0.180000,0.535000,-26.900000,40.200000,3.400000
42370,1047061004,692376,1066.586189300,0.691857000,0.795000,0.222000,0.557000,-29.900000,38.800000,3.000000
42371,1047080232,711604,1066.605467500,0.711135200,0.819000,0.248000,0.514000,-33.700000,42.100000,2.600000
42372,1047099459,730831,1066.630282100,0.735949800,0.831000,0.265000,0.501000,-41.700000,51.000000,5.000000
42373,1047118657,750029,1066.644316900,0.749984600,0.797000,0.234000,0.549000,-43.100000,56.400000,11.600000
42374,1047137976,769348,1066.663995900,0.769663600,0.780000,0.218000,0.571000,-45.200000,58.100000,13.300000
42375,1047157112,788484,1066.682341400,0.788009100,0.768000,0.209000,0.606000,-48.800000,59.700000,15.500000
42376,1047176278,807650,1066.702287300,0.807955000,0.739000,0.157000,0.625000,-46.000000,61.600000,16.100000
42377,1047195628,827000,1066.723403000,0.829070700,0.718000,0.125000,0.682000,-39.800000,62.300000,16.200000
42378,1047214917,846289,1066.740228000,0.845895700,0.677000,0.083000,0.735000,-32.600000,58.500000,9.900000
42379,1047234083,865455,1066.759359200,0.865026900,0.646000,0.066000,0.783000,-24.800000,49.900000,6.400000
42380,1047253250,884622,1066.779722600,0.885390300,0.627000,0.059000,0.800000,-15.700000,39.300000,2.000000
