meta_label,p
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
15929,1284662369,0,5598.347992100,0.000000000,0.909000,0.052000,0.442000,-0.600000,-3.400000,-3.900000
15930,1284681596,19227,5598.368219300,0.020227200,0.878000,0.037000,0.496000,-0.700000,-3.100000,-1.900000
15931,1284700824,38455,5598.387753000,0.039760900,0.848000,0.011000,0.524000,1.700000,-4.900000,-3.800000
15932,1284720021,57652,5598.406316300,0.058324200,0.832000,0.007000,0.534000,0.300000,-7.500000,-9.600000
15933,1284739371,77002,5598.425199000,0.077206900,0.793000,-0.027000,0.578000,-1.400000,-14.200000,-19.800000
15934,1284758507,96138,5598.444994000,0.097001900,0.756000,-0.080000,0.637000,3.600000,-26.600000,-32.500000
15935,1284777765,115396,5598.464313500,0.116321400,0.789000,-0.088000,0.673000,14.200000,-51.700000,-46.100000
15936,1284796992,134623,5598.483098800,0.135106700,0.978000,0.328000,0.173000,1.600000,-14.500000,-27.200000
15937,1284816281,153912,5598.501951700,0.153959600,0.898000,0.236000,0.247000,1.800000,-10.800000,-7.400000
15938,1284835448,173079,5598.523089300,0.175097200,0.954000,0.327000,0.559000,13.700000,-7.000000,13.000000
15939,1284854614,192245,5598.541051800,0.193059700,0.888000,-0.070000,0.404000,18.900000,-21.000000,62.400000
15940,1284873933,211564,5598.560002500,0.212010400,0.803000,0.075000,0.390000,22.300000,-14.900000,53.700000
15941,1284893222,230853,5598.579139400,0.231147300,0.905000,-0.052000,0.442000,10.000000,-1.800000,4.900000
15942,1284912389,250020,5598.598089300,0.250097200,0.879000,0.020000,0.510000,-12.400000,-1.900000,-8.500000
15943,1284931616,269247,5598.620086900,0.272094800,0.907000,-0.211000,0.442000,-32.600000,15.700000,-65.400000
15944,1284950844,288475,5598.637077100,0.289085000,0.685000,0.126000,0.557000,-29.200000,9.200000,-69.800000
15945,1284970041,307672,5598.656039700,0.308047600,0.899000,0.247000,0.400000,-19.800000,-4.200000,-42.900000
15946,1284989360,326991,5598.679133600,0.331141500,0.926000,0.130000,0.439000,-14.400000,-7.600000,-11.200000
15947,1285008496,346127,5598.695091500,0.347099400,0.938000,0.216000,0.365000,1.100000,-12.400000,3.600000
15948,1285027693,365324,5598.714150500,0.366158400,0.874000,0.123000,0.564000,4.800000,-8.800000,16.700000
15949,1285046982,384613,5598.735126700,0.387134600,0.827000,-0.084000,0.464000,10.100000,-10.000000,31.000000
15950,1285066209,403840,5598.752066000,0.404073900,0.846000,0.003000,0.588000,17.200000,-5.800000,17.100000
15951,1285085468,423099,5598.770887100,0.422895000,0.857000,0.061000,0.489000,4.000000,2.100000,15.600000
15952,1285104634,442265,5598.791175800,0.443183700,0.892000,0.140000,0.385000,-3.600000,5.200000,5.300000
15953,1285123923,461554,5598.811354400,0.463362300,0.949000,0.166000,0.252000,-6.600000,5.000000,-3.700000
15954,1285143150,480781,5598.829134600,0.481142500,1.042000,0.068000,0.390000,-2.900000,11.000000,-5.700000
15955,1285162378,500009,5598.847996900,0.500004800,1.040000,0.180000,0.324000,-20.100000,30.900000,10.300000
15956,1285181575,519206,5598.868952000,0.520959900,0.842000,0.080000,0.555000,-19.300000,27.300000,14.100000
15957,1285200864,538495,5598.886969800,0.538977700,0.786000,-0.029000,0.617000,-14.900000,19.700000,10.100000
15958,1285220030,557661,5598.906091900,0.558099800,0.755000,-0.062000,0.629000,-8.100000,2.600000,3.000000
15959,1285239258,576889,5598.925001600,0.577009500,0.840000,-0.007000,0.553000,-3.600000,-2.600000,-4.400000
15960,1285258485,596116,5598.944003100,0.596011000,0.870000,0.038000,0.500000,-1.900000,-3.400000,-5.800000
15961,1285277682,615313,5598.964129800,0.616137700,0.882000,0.099000,0.470000,0.400000,-1.600000,-1.700000
15962,1285296941,634572,5598.982967000,0.634974900,0.922000,0.072000,0.459000,0.600000,0.700000,5.300000
15963,1285316138,653769,5599.002048700,0.654056600,0.926000,0.107000,0.433000,-1.100000,8.400000,10.600000
15964,1285335487,673118,5599.022428300,0.674436200,0.884000,0.066000,0.466000,-4.700000,12.100000,14.400000
15965,1285354654,692285,5599.041095200,0.693103100,0.870000,0.011000,0.500000,-4.600000,12.300000,12.200000
15966,1285373943,711574,5599.059976500,0.711984400,0.838000,0.018000,0.534000,-4.200000,11.000000,10.600000
15967,1285393109,730740,5599.082929900,0.734937800,0.835000,-0.048000,0.564000,-1.800000,3.800000,2.300000
