meta_label,Q
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
14631,2802288198,0,2613.667340100,0.000000000,0.885000,0.117000,0.488000,-0.700000,0.800000,-5.000000
14632,2802307456,19258,2613.692059300,0.024719200,0.866000,0.116000,0.514000,-1.300000,1.000000,-4.500000
14633,2802326653,38455,2613.706303500,0.038963400,0.845000,0.129000,0.520000,-0.800000,0.600000,-7.200000
14634,2802345820,57622,2613.726084400,0.058744300,0.834000,0.141000,0.521000,-0.700000,-1.100000,-6.300000
14635,2802365200,77002,2613.744151600,0.076811500,0.826000,0.156000,0.536000,-0.900000,-3.300000,-4.400000
14636,2802384336,96138,2613.763205100,0.095865000,0.813000,0.152000,0.533000,-3.300000,-6.100000,-3.600000
14637,2802403594,115396,2613.788934700,0.121594600,0.804000,0.135000,0.543000,-5.700000,-9.000000,-3.200000
14638,2802422730,134532,2613.802246900,0.134906800,0.810000,0.118000,0.552000,-7.000000,-10.900000,-8.700000
14639,2802442110,153912,2613.821416000,0.154075900,0.864000,0.135000,0.545000,-17.700000,-17.900000,-12.400000
14640,2802461277,173079,2613.843509300,0.176169200,0.936000,0.235000,0.465000,-21.200000,-6.000000,3.100000
14641,2802480443,192245,2613.859270000,0.191929900,0.860000,0.129000,0.487000,-10.500000,2.800000,7.300000
14642,2802499732,211534,2613.879200200,0.211860100,0.830000,0.099000,0.486000,-3.600000,-3.300000,9.300000
14643,2802519051,230853,2613.898231400,0.230891300,0.901000,-0.017000,0.598000,4.300000,5.300000,17.900000
14644,2802538187,249989,2613.917329600,0.249989500,0.838000,0.260000,0.470000,6.100000,-6.300000,14.700000
14645,2802557384,269186,2613.941700400,0.274360300,0.913000,0.065000,0.496000,12.500000,0.000000,49.300000
14646,2802576673,288475,2613.956144400,0.288804300,0.877000,0.163000,0.458000,10.500000,-10.900000,17.900000
14647,2802595839,307641,2613.975365400,0.308025300,0.866000,0.157000,0.455000,-13.100000,-13.800000,9.100000
14648,2802615189,326991,2613.994322800,0.326982700,0.967000,0.099000,0.507000,-27.700000,-18.600000,-0.400000
14649,2802634356,346158,2614.013349900,0.346009800,0.762000,-0.052000,0.406000,-33.700000,-9.900000,-28.500000
14650,2802653614,365416,2614.034993000,0.367652900,0.817000,0.054000,0.565000,-18.700000,-0.300000,-20.200000
14651,2802672811,384613,2614.052441000,0.385100900,0.854000,0.004000,0.608000,-2.200000,0.500000,-16.800000
14652,2802692130,403932,2614.071369000,0.404028900,0.835000,0.134000,0.468000,13.600000,6.600000,-11.000000
14653,2802711297,423099,2614.094434200,0.427094100,0.874000,0.302000,0.512000,12.200000,13.000000,14.800000
14654,2802730463,442265,2614.109257600,0.441917500,0.906000,0.069000,0.545000,23.000000,2.600000,13.300000
14655,2802749752,461554,2614.130439000,0.463098900,0.912000,0.033000,0.504000,19.000000,1.500000,16.100000
14656,2802768918,480720,2614.148238300,0.480898200,0.793000,0.116000,0.540000,12.800000,2.900000,4.300000
14657,2802788085,499887,2614.167230300,0.499890200,0.850000,0.094000,0.546000,7.100000,-12.300000,5.500000
14658,2802807404,519206,2614.186269400,0.518929300,0.883000,0.174000,0.467000,2.500000,-1.000000,-7.500000
14659,2802826632,538434,2614.206932800,0.539592700,0.896000,0.145000,0.523000,-8.300000,-6.400000,-0.300000
14660,2802845859,557661,2614.225297600,0.557957500,0.871000,0.095000,0.491000,-10.000000,-18.200000,13.100000
14661,2802865087,576889,2614.244084500,0.576744400,0.893000,0.199000,0.523000,3.000000,-16.600000,8.600000
14662,2802884345,596147,2614.263083900,0.595743800,0.887000,0.090000,0.312000,5.600000,-13.200000,21.600000
14663,2802903542,615344,2614.286588300,0.619248200,0.850000,0.107000,0.470000,8.800000,-6.200000,10.800000
14664,2802922831,634633,2614.302243500,0.634903400,0.846000,-0.028000,0.546000,9.100000,1.800000,-10.900000
14665,2802941997,653799,2614.325364300,0.658024200,0.912000,0.022000,0.403000,-11.500000,17.500000,-36.400000
