meta_label,q
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
15127,3043692680,0,3062.862556700,0.000000000,0.859000,0.139000,0.501000,-1.600000,-8.000000,-8.600000
15128,3043711908,19228,3062.883697900,0.021141200,0.844000,0.123000,0.523000,-3.900000,-11.300000,-7.100000
15129,3043731075,38395,3062.901620000,0.039063300,0.878000,0.091000,0.495000,-5.400000,-13.200000,-7.700000
15130,3043750302,57622,3062.920548700,0.057992000,0.892000,0.144000,0.507000,-10.300000,-8.100000,-3.000000
15131,3043769530,76850,3062.944743900,0.082187200,0.864000,0.093000,0.461000,-6.500000,-4.700000,-5.400000
15132,3043788788,96108,3062.958571400,0.096014700,0.872000,0.129000,0.506000,-9.100000,-6.800000,0.500000
15133,3043808016,115336,3062.978761800,0.116205100,0.867000,0.043000,0.517000,-5.300000,-0.600000,1.300000
15134,3043827243,134563,3063.000014100,0.137457400,0.870000,0.063000,0.494000,13.700000,0.700000,2.000000
15135,3043846440,153760,3063.016589500,0.154032800,0.874000,0.221000,0.423000,15.900000,-2.500000,9.100000
15136,3043865759,173079,3063.035589800,0.173033100,0.950000,0.149000,0.452000,10.100000,-2.300000,12.300000
15137,3043885048,192368,3063.055503600,0.192946900,0.888000,0.123000,0.429000,-3.200000,-4.600000,7.400000
15138,3043904184,211504,3063.074514300,0.211957600,0.856000,0.050000,0.490000,-18.700000,-13.600000,-13.700000
15139,3043923412,230732,3063.093499900,0.230943200,0.849000,-0.003000,0.471000,-14.900000,-4.600000,-33.000000
15140,3043942700,250020,3063.112531900,0.249975200,0.831000,0.110000,0.581000,-10.700000,-5.300000,-10.200000
15141,3043961867,269187,3063.132660400,0.270103700,0.876000,0.071000,0.468000,-0.700000,-9.900000,-2.800000
15142,3043981033,288353,3063.151545400,0.288988700,0.880000,0.113000,0.409000,5.600000,-3.500000,-0.300000
15143,3044000322,307642,3063.170520900,0.307964200,0.896000,0.230000,0.530000,3.700000,-0.200000,14.400000
15144,3044019550,326870,3063.189527900,0.326971200,0.884000,-0.023000,0.475000,11.600000,-12.300000,45.600000
15145,3044038808,346128,3063.208517600,0.345960900,0.903000,0.048000,0.481000,28.200000,-7.700000,40.500000
15146,3044058035,365355,3063.228519600,0.365962900,0.850000,0.096000,0.456000,18.500000,-10.300000,42.700000
15147,3044077263,384583,3063.247555800,0.384999100,0.862000,0.198000,0.409000,-5.300000,-1.200000,-3.700000
15148,3044096460,403780,3063.266492200,0.403935500,0.893000,-0.029000,0.454000,-31.100000,-5.000000,-3.400000
15149,3044115779,423099,3063.288585200,0.426028500,0.973000,-0.024000,0.432000,-22.800000,-14.700000,-44.500000
15150,3044134915,442235,3063.305602800,0.443046100,0.827000,0.276000,0.376000,-20.500000,-0.300000,-6.100000
15151,3044154112,461432,3063.324638000,0.462081300,0.887000,0.167000,0.496000,-7.800000,5.400000,16.700000
15152,3044173401,480721,3063.344765000,0.482208300,0.991000,0.090000,0.420000,-6.200000,24.200000,28.200000
15153,3044192690,500010,3063.362543400,0.499986700,0.965000,0.068000,0.436000,-16.600000,40.000000,13.500000
15154,3044211887,519207,3063.381476400,0.518919700,0.836000,0.090000,0.468000,-29.400000,44.100000,0.100000
15155,3044231053,538373,3063.401476100,0.538919400,0.781000,0.070000,0.628000,-33.700000,37.100000,-0.900000
15156,3044250342,557662,3063.420529500,0.557972800,0.716000,0.009000,0.691000,-21.100000,16.600000,6.300000
15157,3044269570,576890,3063.439549900,0.576993200,0.737000,-0.071000,0.695000,-7.400000,-3.200000,7.400000
15158,3044288767,596087,3063.458560200,0.596003500,0.839000,-0.061000,0.585000,8.900000,-12.500000,1.200000
15159,3044307964,615284,3063.478525800,0.615969100,0.892000,0.036000,0.481000,13.100000,-8.900000,-2.100000
15160,3044327283,634603,3063.497650000,0.635093300,0.912000,0.094000,0.451000,11.500000,-4.600000,-2.000000
15161,3044346449,653769,3063.517339000,0.654782300,0.913000,0.116000,0.460000,7.200000,-0.400000,-0.100000
15162,3044365677,672997,3063.535528100,0.672971400,0.891000,0.094000,0.482000,3.100000,5.300000,4.100000
15163,3044384905,692225,3063.554499300,0.691942600,0.842000,0.047000,0.552000,3.100000,6.200000,6.600000
15164,3044404132,711452,3063.576800400,0.714243700,0.836000,0.011000,0.566000,7.700000,0.000000,4.800000
15165,3044423421,730741,3063.593590700,0.731034000,0.823000,0.018000,0.558000,12.400000,-3.800000,2.000000
15166,3044442709,750029,3063.612591800,0.750035100,0.843000,0.014000,0.534000,14.600000,-5.800000,-4.300000
15167,3044461907,769227,3063.636354400,0.773797700,0.857000,0.049000,0.515000,15.300000,-5.500000,-7.400000
15168,3044481073,788393,3063.651607700,0.789051000,0.894000,0.069000,0.488000,13.500000,-2.700000,-10.300000
15169,3044500362,807682,3063.670626100,0.808069400,0.866000,0.117000,0.490000,9.800000,-0.100000,-8.400000
