meta_label,R
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
45476,3627303873,0,3646.369834800,0.000000000,0.864000,-0.093000,0.501000,1.000000,-1.700000,-4.700000
45477,3627323222,19349,3646.390629200,0.020794400,0.866000,-0.119000,0.500000,-1.300000,-0.100000,-6.800000
45478,3627342358,38485,3646.408992800,0.039158000,0.840000,-0.142000,0.511000,1.700000,-1.000000,-7.300000
45479,3627361616,57743,3646.427854000,0.058019200,0.816000,-0.165000,0.539000,5.900000,-0.600000,-12.900000
45480,3627380844,76971,3646.446907400,0.077072600,0.790000,-0.221000,0.566000,8.500000,-10.200000,-21.300000
45481,3627400133,96260,3646.466019100,0.096184300,1.005000,-0.091000,0.381000,7.900000,-16.800000,-34.400000
45482,3627419299,115426,3646.485973500,0.116138700,0.927000,0.068000,0.536000,-12.300000,-11.400000,-14.500000
45483,3627438466,134593,3646.507586600,0.137751800,0.883000,-0.022000,0.383000,2.700000,-1.500000,-4.600000
45484,3627457724,153851,3646.524113500,0.154278700,0.896000,0.075000,0.643000,9.700000,-9.800000,14.000000
45485,3627476982,173109,3646.543081800,0.173247000,0.839000,-0.157000,0.382000,17.500000,-32.300000,41.300000
45486,3627496179,192306,3646.566692800,0.196858000,0.880000,-0.179000,0.399000,7.000000,-3.200000,13.700000
45487,3627515590,211717,3646.581979000,0.212144200,0.869000,-0.130000,0.624000,-14.500000,-3.900000,-2.300000
45488,3627534726,230853,3646.601012600,0.231177800,0.824000,-0.348000,0.243000,-24.900000,19.100000,-38.200000
45489,3627553862,249989,3646.620100000,0.250265200,0.869000,-0.051000,0.665000,-21.400000,36.600000,-67.100000
45490,3627573212,269339,3646.647480200,0.277645400,0.872000,0.102000,0.445000,-32.700000,6.700000,-41.600000
45491,3627592348,288475,3646.658937000,0.289102200,0.840000,0.023000,0.492000,-8.200000,-2.200000,-7.100000
45492,3627611545,307672,3646.678245300,0.308410500,0.939000,-0.005000,0.578000,10.600000,-13.100000,5.000000
45493,3627630833,326960,3646.700366000,0.330531200,0.835000,-0.018000,0.638000,10.700000,-20.800000,28.400000
45494,3627650152,346279,3646.715971700,0.346136900,0.810000,-0.218000,0.500000,14.400000,-17.200000,26.000000
45495,3627669319,365446,3646.739383900,0.369549100,0.964000,-0.177000,0.385000,8.200000,-15.400000,10.000000
45496,3627688486,384613,3646.754854300,0.385019500,0.864000,0.128000,0.356000,-4.700000,-6.300000,-3.500000
45497,3627707774,403901,3646.774085200,0.404250400,0.912000,-0.100000,0.488000,-13.700000,-3.900000,3.500000
45498,3627727002,423129,3646.798206100,0.428371300,0.865000,-0.092000,0.495000,-12.400000,-17.100000,-9.000000
45499,3627746229,442356,3646.812031000,0.442196200,0.935000,-0.130000,0.586000,-1.200000,-4.700000,-4.900000
45500,3627765427,461554,3646.831881200,0.462046400,0.838000,0.052000,0.277000,0.000000,-0.300000,8.800000
45501,3627784715,480842,3646.851249700,0.481414900,0.877000,-0.195000,0.508000,5.300000,2.300000,12.500000
45502,3627803882,500009,3646.869978200,0.500143400,0.971000,-0.117000,0.342000,-3.200000,19.800000,-8.600000
45503,3627823079,519206,3646.888939900,0.519105100,0.953000,0.078000,0.405000,-42.300000,38.900000,3.200000
45504,3627842337,538464,3646.911138200,0.541303400,0.836000,0.030000,0.618000,-30.600000,7.000000,22.700000
45505,3627861534,557661,3646.927963600,0.558128800,0.795000,-0.256000,0.572000,-13.500000,2.100000,29.000000
45506,3627880884,577011,3646.952482800,0.582648000,0.778000,-0.310000,0.553000,7.200000,-8.300000,17.200000
45507,3627900020,596147,3646.965942800,0.596108000,0.842000,-0.231000,0.501000,15.800000,-8.800000,5.100000
45508,3627919278,615405,3646.985977000,0.616142200,0.871000,-0.109000,0.492000,14.600000,-4.300000,-2.700000
45509,3627938505,634632,3647.005269900,0.635435100,0.881000,-0.050000,0.497000,12.100000,-2.900000,1.900000
45510,3627957794,653921,3647.024058300,0.654223500,0.879000,-0.069000,0.498000,8.400000,-5.800000,6.400000
45511,3627976961,673088,3647.042944000,0.673109200,0.912000,-0.120000,0.446000,4.900000,-2.700000,5.800000
45512,3627996127,692254,3647.068986300,0.699151500,0.855000,-0.150000,0.496000,1.600000,-1.100000,4.500000
45513,3628015446,711573,3647.081967400,0.712132600,0.854000,-0.175000,0.498000,5.200000,-2.600000,-0.700000
45514,3628034735,730862,3647.104136000,0.734301200,0.848000,-0.142000,0.507000,7.000000,-2.800000,-1.800000
45515,3628053902,750029,3647.119923700,0.750088900,0.862000,-0.129000,0.500000,8.700000,-1.700000,-3.200000
45516,3628073129,769256,3647.140160200,0.770325400,0.887000,-0.101000,0.485000,7.600000,-1.100000,-2.200000
45517,3628092357,788484,3647.158909100,0.789074300,0.887000,-0.088000,0.486000,5.400000,-0.300000,0.300000
45518,3628111554,807681,3647.178023800,0.808189000,0.877000,-0.104000,0.491000,3.700000,0.400000,0.600000
45519,3628130873,827000,3647.196899100,0.827064300,0.865000,-0.122000,0.510000,2.900000,0.800000,0.600000
45520,3628150009,846136,3647.215989400,0.846154600,0.880000,-0.149000,0.480000,2.800000,3.200000,-2.100000
45521,3628169206,865333,3647.234799700,0.864964900,0.896000,-0.152000,0.461000,3.900000,6.400000,-7.200000
