meta_label,R
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
17148,47846449,0,4361.753691800,0.000000000,0.858000,0.136000,0.498000,3.200000,-1.400000,-5.100000
17149,47865616,19167,4361.771717000,0.018025200,0.817000,0.119000,0.545000,-0.600000,-2.600000,-7.700000
17150,47884935,38486,4361.796600300,0.042908500,0.783000,0.084000,0.566000,0.900000,-11.600000,-15.900000
17151,47904102,57653,4361.810785100,0.057093300,0.814000,0.058000,0.578000,6.100000,-14.800000,-20.600000
17152,47923451,77002,4361.829744900,0.076053100,1.034000,0.131000,0.465000,6.500000,-20.500000,-23.000000
17153,47942557,96108,4361.851490700,0.097798900,0.900000,0.268000,0.468000,-10.500000,-11.700000,-7.700000
17154,47961846,115397,4361.867713300,0.114021500,0.882000,0.086000,0.374000,3.200000,-8.000000,-3.700000
17155,47981073,134624,4361.886635700,0.132943900,0.885000,0.295000,0.473000,15.900000,-0.500000,4.600000
17156,48000362,153913,4361.910035500,0.156343700,0.878000,0.159000,0.535000,24.400000,-11.900000,57.200000
17157,48019528,173079,4361.925709100,0.172017300,0.819000,0.023000,0.406000,15.100000,2.300000,19.000000
17158,48038695,192246,4361.944761700,0.191069900,0.861000,0.134000,0.579000,-12.400000,-3.400000,2.400000
17159,48058014,211565,4361.967385400,0.213693600,0.851000,-0.118000,0.464000,-28.500000,-7.800000,-14.800000
17160,48077303,230854,4361.983663100,0.229971300,0.878000,0.115000,0.475000,-15.900000,-2.800000,-73.500000
17161,48096469,250020,4362.003259000,0.249567200,0.902000,0.341000,0.484000,-34.200000,-14.100000,-49.200000
17162,48115697,269248,4362.021796400,0.268104600,0.888000,0.188000,0.389000,-28.000000,-15.800000,-28.500000
17163,48134924,288475,4362.042730300,0.289038500,0.811000,0.092000,0.571000,-7.800000,-5.100000,1.100000
17164,48154122,307673,4362.059718600,0.306026800,0.877000,0.125000,0.572000,9.400000,-1.300000,5.800000
17165,48173380,326931,4362.079694700,0.326002900,0.818000,0.238000,0.557000,6.600000,-8.400000,31.400000
17166,48192577,346128,4362.098798200,0.345106400,0.808000,-0.014000,0.555000,14.600000,-2.400000,21.200000
17167,48211774,365325,4362.117760300,0.364068500,0.920000,0.042000,0.482000,12.900000,-10.900000,7.800000
17168,48231032,384583,4362.139777700,0.386085900,0.900000,0.278000,0.225000,2.200000,-11.400000,-3.000000
17169,48250229,403780,4362.156685900,0.402994100,0.970000,0.195000,0.466000,-23.100000,-7.000000,7.400000
17170,48269548,423099,4362.175745400,0.422053600,0.856000,0.237000,0.468000,-17.700000,-21.200000,24.100000
17171,48288715,442266,4362.198776800,0.445085000,0.902000,0.054000,0.361000,-3.300000,-2.600000,14.900000
17172,48308003,461554,4362.213665600,0.459973800,0.910000,0.028000,0.632000,-3.500000,13.500000,12.100000
17173,48327200,480751,4362.233760000,0.480068200,0.883000,-0.079000,0.377000,-4.900000,-2.400000,-2.700000
17174,48346489,500040,4362.253644100,0.499952300,0.988000,0.101000,0.378000,-21.000000,30.500000,-36.200000
17175,48365656,519207,4362.271669500,0.517977700,0.869000,0.236000,0.518000,-36.200000,33.500000,-17.700000
17176,48384944,538495,4362.294202400,0.540510600,0.808000,0.217000,0.575000,-22.400000,19.200000,5.000000
17177,48404080,557631,4362.309787200,0.556095400,0.823000,0.111000,0.559000,-10.500000,9.000000,22.000000
17178,48423461,577012,4362.329638400,0.575946600,0.809000,0.044000,0.580000,1.400000,3.600000,26.100000
17179,48442597,596148,4362.350310700,0.596618900,0.816000,0.005000,0.561000,12.200000,-1.600000,17.000000
17180,48461763,615314,4362.367839500,0.614147700,0.843000,0.052000,0.533000,11.800000,-3.700000,5.200000
17181,48481113,634664,4362.386763300,0.633071500,0.859000,0.081000,0.503000,8.800000,-5.000000,-2.300000
17182,48500249,653800,4362.406852800,0.653161000,0.868000,0.128000,0.496000,7.000000,-4.100000,0.000000
17183,48519507,673058,4362.425845500,0.672153700,0.876000,0.103000,0.488000,4.300000,-2.800000,1.500000
17184,48538735,692286,4362.446648600,0.692956800,0.884000,0.091000,0.490000,1.100000,-0.200000,0.000000
17185,48558023,711574,4362.463903100,0.710211300,0.867000,0.070000,0.512000,2.900000,0.200000,0.000000
17186,48577220,730771,4362.484843700,0.731151900,0.859000,0.091000,0.522000,3.800000,0.800000,0.500000
17187,48596448,749999,4362.502790100,0.749098300,0.836000,0.084000,0.531000,6.500000,-0.200000,1.500000
17188,48615675,769226,4362.521814900,0.768123100,0.836000,0.095000,0.537000,9.500000,-2.700000,3.500000
17189,48634964,788515,4362.547231800,0.793540000,0.857000,0.076000,0.519000,9.000000,-5.300000,1.600000
17190,48654131,807682,4362.559916300,0.806224500,0.872000,0.081000,0.491000,8.700000,-4.600000,-1.700000
17191,48673297,826848,4362.580259300,0.826567500,0.873000,0.099000,0.495000,6.500000,-3.200000,-1.000000
