meta_label,r
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
56247,1082049365,0,893.731313900,0.000000000,0.911000,-0.106000,0.409000,3.900000,-4.300000,-0.800000
56248,1082068532,19167,893.753570100,0.022256200,0.905000,-0.118000,0.425000,6.000000,-3.600000,0.200000
56249,1082087820,38455,893.769963500,0.038649600,0.912000,-0.097000,0.419000,6.100000,-2.900000,-0.800000
56250,1082106987,57622,893.789445100,0.058131200,0.898000,-0.083000,0.426000,2.000000,-2.700000,0.400000
56251,1082126153,76788,893.808459200,0.077145300,0.900000,-0.112000,0.427000,2.400000,-2.300000,1.600000
56252,1082145473,96108,893.829978900,0.098665000,0.903000,-0.131000,0.426000,3.400000,-3.100000,1.400000
56253,1082164761,115396,893.846421300,0.115107400,0.879000,-0.141000,0.432000,7.700000,-3.800000,0.900000
56254,1082183928,134563,893.871566700,0.140252800,0.882000,-0.115000,0.438000,4.300000,-4.700000,-5.300000
56255,1082203216,153851,893.885679400,0.154365500,0.862000,-0.149000,0.450000,-2.300000,-4.400000,-13.000000
56256,1082222383,173018,893.904471400,0.173157500,0.836000,-0.184000,0.502000,-1.700000,-11.000000,-20.800000
56257,1082241611,192246,893.926568100,0.195254200,1.049000,-0.071000,0.360000,-3.500000,-20.300000,-28.400000
56258,1082260899,211534,893.943433800,0.212119900,0.922000,0.071000,0.362000,-13.700000,-8.000000,-7.800000
56259,1082280035,230670,893.963973000,0.232659100,0.942000,-0.038000,0.376000,4.200000,0.100000,5.300000
56260,1082299232,249867,893.981579700,0.250265800,0.901000,-0.083000,0.483000,9.500000,-19.300000,17.900000
56261,1082318521,269156,894.000577700,0.269263800,0.903000,-0.210000,0.272000,15.300000,-18.900000,-3.600000
56262,1082337840,288475,894.020901100,0.289587200,0.900000,-0.061000,0.468000,-7.300000,-6.800000,-6.400000
56263,1082357007,307642,894.039511900,0.308198000,0.897000,-0.100000,0.332000,-16.600000,-1.200000,-6.900000
56264,1082376173,326808,894.059558600,0.328244700,0.905000,-0.136000,0.407000,-17.100000,10.600000,-18.600000
56265,1082395462,346097,894.077521500,0.346207600,0.910000,-0.114000,0.356000,-19.400000,-1.000000,-28.700000
56266,1082414690,365325,894.096535900,0.365222000,0.947000,-0.023000,0.451000,-23.300000,3.700000,-28.100000
56267,1082433917,384552,894.117441100,0.386127200,0.895000,-0.053000,0.368000,-20.200000,-7.300000,-22.900000
56268,1082453114,403749,894.135588100,0.404274200,0.887000,-0.054000,0.448000,-5.000000,-6.000000,-12.500000
56269,1082472403,423038,894.155043700,0.423729800,0.900000,-0.023000,0.433000,3.200000,-1.300000,2.800000
56270,1082491569,442204,894.173440000,0.442126100,0.937000,-0.043000,0.350000,7.000000,0.600000,10.000000
56271,1082510858,461493,894.192441400,0.461127500,1.024000,-0.056000,0.229000,-0.400000,13.200000,0.100000
56272,1082530086,480721,894.212886900,0.481573000,0.954000,0.036000,0.371000,-19.500000,42.700000,11.900000
56273,1082549344,499979,894.231318700,0.500004800,0.859000,-0.047000,0.509000,-21.400000,29.400000,27.700000
56274,1082568541,519176,894.250382300,0.519068400,0.813000,-0.179000,0.551000,-15.500000,3.900000,24.100000
56275,1082587829,538464,894.272192800,0.540878900,0.843000,-0.263000,0.504000,2.000000,-4.200000,12.300000
56276,1082607027,557662,894.289408500,0.558094600,0.852000,-0.212000,0.462000,7.500000,-9.900000,4.100000
56277,1082626193,576828,894.309458100,0.578144200,0.914000,-0.097000,0.420000,5.400000,-7.900000,-0.900000
56278,1082645482,596117,894.327492200,0.596178300,0.906000,-0.074000,0.424000,2.600000,-4.300000,-0.200000
56279,1082664648,615283,894.346436400,0.615122500,0.917000,-0.111000,0.416000,1.400000,-2.400000,2.700000
56280,1082683815,634450,894.367452800,0.636138900,0.894000,-0.131000,0.435000,3.800000,-1.100000,2.400000
56281,1082703134,653769,894.385448900,0.654135000,0.882000,-0.158000,0.448000,4.600000,-3.300000,0.600000
56282,1082722423,673058,894.411546300,0.680232400,0.886000,-0.165000,0.428000,6.800000,-3.900000,-3.300000
56283,1082741589,692224,894.423458000,0.692144100,0.904000,-0.118000,0.436000,6.700000,-3.600000,-7.300000
56284,1082760817,711452,894.443641700,0.712327800,0.898000,-0.078000,0.428000,3.900000,-3.300000,-6.400000
56285,1082780044,730679,894.465514900,0.734201000,0.912000,-0.055000,0.424000,0.900000,-1.900000,-4.300000
56286,1082799272,749907,894.481455600,0.750141700,0.916000,-0.088000,0.429000,-2.700000,0.200000,-1.200000
56287,1082818561,769196,894.500614400,0.769300500,0.918000,-0.115000,0.424000,-0.700000,1.900000,-0.100000
56288,1082837697,788332,894.519507800,0.788193900,0.910000,-0.111000,0.415000,-1.000000,2.700000,-0.300000
