meta_label,r
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
30502,3339353838,0,3358.471108300,0.000000000,0.944000,0.014000,0.437000,5.100000,-6.400000,-1.900000
30503,3339373157,19319,3358.491127000,0.020018700,0.858000,0.008000,0.501000,-1.400000,-0.200000,-1.500000
30504,3339392323,38485,3358.510172500,0.039064200,0.845000,-0.031000,0.550000,0.300000,-2.600000,-1.700000
30505,3339411551,57713,3358.529066200,0.057957900,0.802000,-0.086000,0.572000,2.200000,-6.000000,-6.600000
30506,3339430779,76941,3358.555743100,0.084634800,0.772000,-0.128000,0.632000,6.500000,-15.200000,-14.500000
30507,3339450006,96168,3358.567340800,0.096232500,0.754000,-0.171000,0.665000,16.300000,-30.700000,-25.300000
30508,3339469295,115457,3358.587235000,0.116126700,1.069000,0.038000,0.373000,9.500000,-22.300000,-33.900000
30509,3339488583,134745,3358.609943300,0.138835000,0.876000,0.183000,0.345000,-3.000000,-8.500000,-1.400000
30510,3339507719,153881,3358.625286400,0.154178100,0.913000,0.297000,0.567000,10.400000,-8.800000,10.700000
30511,3339526947,173109,3358.644724700,0.173616400,0.814000,0.014000,0.447000,7.500000,-18.900000,38.000000
30512,3339546205,192367,3358.664358200,0.193249900,0.872000,-0.206000,0.469000,2.000000,-4.600000,-3.500000
30513,3339565463,211625,3358.687649100,0.216540800,0.870000,-0.049000,0.561000,-27.400000,-8.100000,-11.500000
30514,3339584691,230853,3358.702201200,0.231092900,0.882000,-0.225000,0.468000,-22.400000,8.700000,-58.800000
30515,3339603888,250050,3358.721255900,0.250147600,0.875000,0.153000,0.417000,-29.800000,-10.200000,-25.100000
30516,3339623177,269339,3358.740312000,0.269203700,0.958000,0.153000,0.502000,-18.400000,-4.700000,-14.000000
30517,3339642343,288505,3358.760195200,0.289086900,0.857000,0.025000,0.447000,-6.600000,-8.000000,7.200000
30518,3339661571,307733,3358.779583200,0.308474900,0.865000,-0.100000,0.485000,3.900000,-1.800000,13.400000
30519,3339680798,326960,3358.798277500,0.327169200,0.967000,-0.103000,0.384000,-0.300000,15.000000,-1.800000
30520,3339699995,346157,3358.817208600,0.346100300,0.907000,0.131000,0.493000,-23.300000,41.700000,-9.800000
30521,3339719315,365477,3358.839459800,0.368351500,0.862000,0.128000,0.501000,-30.900000,39.900000,0.900000
30522,3339738603,384765,3358.856445200,0.385336900,0.809000,0.022000,0.598000,-30.100000,31.900000,13.900000
30523,3339757739,403901,3358.876422700,0.405314400,0.748000,-0.118000,0.662000,-17.400000,15.000000,23.600000
30524,3339776967,423129,3358.894276800,0.423168500,0.783000,-0.243000,0.628000,-1.800000,1.600000,5.900000
30525,3339796256,442418,3358.913288700,0.442180400,0.810000,-0.171000,0.600000,15.500000,-5.700000,-2.400000
30526,3339815422,461584,3358.933345400,0.462237100,0.832000,-0.098000,0.550000,24.400000,-6.800000,-6.200000
30527,3339834589,480751,3358.952394700,0.481286400,0.849000,0.003000,0.506000,24.200000,-9.300000,-11.200000
30528,3339853877,500039,3358.971551000,0.500442700,0.900000,0.070000,0.477000,13.100000,-3.700000,-11.400000
30529,3339873105,519267,3358.997637000,0.526528700,0.919000,0.085000,0.472000,3.900000,4.800000,-7.000000
30530,3339892302,538464,3359.010375600,0.539267300,0.890000,0.018000,0.490000,-4.500000,10.700000,-3.100000
30531,3339911530,557692,3359.030061800,0.558953500,0.872000,-0.042000,0.528000,-8.200000,14.600000,-10.700000
30532,3339930818,576980,3359.048802700,0.577694400,0.862000,-0.074000,0.553000,-8.200000,15.400000,-18.300000
30533,3339950015,596177,3359.067311600,0.596203300,0.832000,-0.056000,0.577000,-5.200000,14.500000,-27.500000
30534,3339969304,615466,3359.087298200,0.616189900,0.786000,-0.011000,0.597000,-3.300000,9.200000,-27.700000
30535,3339988470,634632,3359.109876100,0.638767800,0.832000,-0.039000,0.595000,0.800000,5.400000,-26.200000
30536,3340007668,653830,3359.125159100,0.654050800,0.862000,-0.026000,0.558000,5.600000,5.400000,-29.800000
30537,3340026895,673057,3359.145651300,0.674543000,0.843000,0.028000,0.557000,5.100000,8.900000,-37.200000
30538,3340046245,692407,3359.163343800,0.692235500,0.816000,0.062000,0.563000,0.900000,5.200000,-38.000000
30539,3340065442,711604,3359.186458400,0.715350100,0.779000,0.110000,0.592000,7.200000,-1.500000,-26.900000
30540,3340084608,730770,3359.202291400,0.731183100,0.765000,0.155000,0.569000,9.300000,-6.500000,-9.400000
30541,3340103897,750059,3359.221328200,0.750219900,0.877000,0.060000,0.535000,8.400000,-6.300000,-3.200000
30542,3340123125,769287,3359.243462800,0.772354500,0.958000,0.048000,0.524000,6.200000,0.400000,-9.000000
