meta_label,S
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
58114,3638466307,0,3449.697654900,0.000000000,0.833000,0.190000,0.523000,0.000000,-0.800000,-1.300000
58115,3638485565,19258,3449.716846700,0.019191800,0.832000,0.174000,0.540000,0.000000,-0.600000,-3.300000
58116,3638504762,38455,3449.735866800,0.038211900,0.836000,0.175000,0.543000,0.900000,0.000000,-6.200000
58117,3638524051,57744,3449.755724500,0.058069600,0.823000,0.187000,0.544000,1.500000,-0.700000,-4.100000
58118,3638543248,76941,3449.777529100,0.079874200,0.821000,0.199000,0.552000,3.500000,-3.100000,-3.500000
58119,3638562415,96108,3449.793686300,0.096031400,0.836000,0.194000,0.545000,3.500000,-5.500000,-1.900000
58120,3638581703,115396,3449.812767100,0.115112200,0.835000,0.184000,0.547000,0.600000,-6.900000,-5.100000
58121,3638600870,134563,3449.832786100,0.135131200,0.805000,0.174000,0.567000,1.200000,-10.100000,-5.300000
58122,3638620128,153821,3449.851811800,0.154156900,0.793000,0.200000,0.591000,7.300000,-16.900000,-0.800000
58123,3638639355,173048,3449.870884300,0.173229400,0.796000,0.190000,0.581000,12.700000,-26.200000,4.000000
58124,3638658644,192337,3449.889662400,0.192007500,0.875000,0.174000,0.459000,12.400000,-17.500000,-6.700000
58125,3638677811,211504,3449.909807700,0.212152800,0.872000,0.275000,0.454000,-13.900000,-10.700000,-10.700000
58126,3638697099,230792,3449.931403700,0.233748800,0.830000,0.188000,0.523000,-15.900000,-5.700000,-16.500000
58127,3638716266,249959,3449.947705300,0.250050400,0.832000,0.160000,0.549000,-10.900000,-3.900000,-15.200000
58128,3638735493,269186,3449.966688800,0.269033900,0.846000,0.183000,0.547000,-1.800000,-4.700000,-16.900000
58129,3638754782,288475,3449.985711300,0.288056400,0.813000,0.113000,0.500000,4.300000,1.200000,-9.600000
58130,3638773949,307642,3450.005797700,0.308142800,0.857000,0.221000,0.599000,17.800000,5.800000,-2.200000
58131,3638793207,326900,3450.026550500,0.328895600,0.838000,0.222000,0.535000,17.500000,2.500000,11.000000
58132,3638812404,346097,3450.043832300,0.346177400,0.861000,0.353000,0.347000,21.700000,-7.400000,1.300000
58133,3638831693,365386,3450.063729700,0.366074800,0.908000,0.346000,0.462000,7.700000,-1.400000,6.900000
58134,3638850890,384583,3450.082787800,0.385132900,0.854000,0.298000,0.430000,-3.100000,-12.500000,24.400000
58135,3638870056,403749,3450.101734800,0.404079900,0.816000,0.119000,0.553000,0.600000,-5.600000,18.100000
58136,3638889345,423038,3450.121788200,0.424133300,0.803000,-0.012000,0.604000,-1.300000,-5.500000,0.700000
58137,3638908664,442357,3450.139698800,0.442043900,0.801000,0.178000,0.655000,11.000000,-9.700000,-4.900000
58138,3638927800,461493,3450.158885200,0.461230300,0.798000,0.278000,0.523000,4.400000,-3.800000,5.800000
58139,3638947058,480751,3450.178636900,0.480982000,0.724000,0.186000,0.479000,-6.800000,8.600000,1.200000
58140,3638966286,499979,3450.197777500,0.500122600,0.941000,0.222000,0.461000,-14.700000,12.900000,-3.800000
58141,3638985452,519145,3450.217128300,0.519473400,0.850000,0.330000,0.273000,-12.900000,7.600000,6.000000
58142,3639004741,538434,3450.235934700,0.538279800,0.951000,0.176000,0.603000,-10.600000,12.100000,10.800000
58143,3639023969,557662,3450.255856600,0.558201700,0.942000,0.114000,0.476000,-18.000000,6.900000,-1.000000
58144,3639043227,576920,3450.274814600,0.577159700,0.760000,0.190000,0.560000,-22.100000,18.400000,-7.300000
58145,3639062424,596117,3450.293683100,0.596028200,0.781000,0.193000,0.598000,-16.400000,12.100000,-6.500000
58146,3639081712,615405,3450.313536100,0.615881200,0.791000,0.185000,0.572000,-10.900000,7.100000,0.400000
58147,3639100909,634602,3450.332911900,0.635257000,0.824000,0.155000,0.562000,-4.500000,6.900000,4.000000
58148,3639120076,653769,3450.351802400,0.654147500,0.814000,0.157000,0.559000,-3.700000,3.900000,3.000000
58149,3639139365,673058,3450.380861800,0.683206900,0.796000,0.160000,0.574000,-2.000000,3.100000,2.500000
58150,3639158531,692224,3450.389826100,0.692171200,0.794000,0.163000,0.589000,-1.300000,-2.400000,1.600000
58151,3639177698,711391,3450.409361300,0.711706400,0.810000,0.170000,0.572000,-0.100000,-4.000000,1.000000
58152,3639197017,730710,3450.430167300,0.732512400,0.826000,0.165000,0.538000,-0.900000,-4.000000,0.300000
58153,3639216306,749999,3450.447851700,0.750196800,0.844000,0.171000,0.528000,-2.400000,-1.700000,1.300000
58154,3639235472,769165,3450.470984800,0.773329900,0.850000,0.158000,0.527000,-3.000000,0.800000,-0.700000
58155,3639254700,788393,3450.486016500,0.788361600,0.820000,0.139000,0.557000,-2.600000,1.100000,-1.900000
58156,3639273958,807651,3450.505870400,0.808215500,0.806000,0.152000,0.581000,0.600000,-1.300000,-3.000000
58157,3639293155,826848,3450.525352400,0.827697500,0.809000,0.169000,0.558000,2.800000,-3.200000,-1.900000
58158,3639312444,846137,3450.543950300,0.846295400,0.825000,0.185000,0.545000,4.200000,-3.700000,-0.400000
58159,3639331610,865303,3450.564655200,0.867000300,0.852000,0.176000,0.532000,3.000000,-2.300000,0.500000
58160,3639350868,884561,3450.581929100,0.884274200,0.837000,0.181000,0.529000,0.300000,0.800000,0.400000
58161,3639370004,903697,3450.601877800,0.904222900,0.820000,0.181000,0.547000,-1.300000,1.700000,0.000000
58162,3639389384,923077,3450.621489200,0.923834300,0.800000,0.169000,0.575000,-2.000000,0.600000,0.400000
58163,3639408551,942244,3450.639765700,0.942110800,0.786000,0.168000,0.584000,-2.200000,-4.600000,1.000000
58164,3639427718,961411,3450.659815000,0.962160100,0.779000,0.139000,0.587000,1.200000,-9.200000,1.100000
58165,3639447037,980730,3450.678832700,0.981177800,0.821000,0.158000,0.560000,5.500000,-11.900000,-1.800000
58166,3639466325,1000018,3450.697893800,1.000238900,0.863000,0.203000,0.488000,3.500000,-7.500000,-1.700000
58167,3639485492,1019185,3450.721512200,1.023857300,0.861000,0.205000,0.489000,2.200000,-1.900000,0.000000
