meta_label,s
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
61092,2435475948,0,2246.919626300,0.000000000,0.884000,0.080000,0.458000,1.300000,-2.300000,-2.000000
61093,2435495237,19289,2246.939553300,0.019927000,0.889000,0.082000,0.461000,2.200000,-2.600000,-2.600000
61094,2435514373,38425,2246.959405400,0.039779100,0.884000,0.080000,0.460000,3.700000,-2.100000,-1.000000
61095,2435533570,57622,2246.977558700,0.057932400,0.885000,0.085000,0.467000,3.900000,-4.300000,-0.100000
61096,2435552858,76910,2246.997506900,0.077880600,0.891000,0.070000,0.456000,2.600000,-5.300000,-1.000000
61097,2435572177,96229,2247.019997000,0.100370700,0.895000,0.080000,0.458000,1.200000,-5.900000,-4.400000
61098,2435591344,115396,2247.035531300,0.115905000,0.918000,0.105000,0.429000,-3.600000,-6.900000,-7.300000
61099,2435610511,134563,2247.057805500,0.138179200,0.867000,0.113000,0.448000,-12.300000,-3.100000,-7.600000
61100,2435629799,153851,2247.073473200,0.153846900,0.898000,0.087000,0.456000,-18.200000,-4.500000,-11.400000
61101,2435649027,173079,2247.092494500,0.172868200,0.900000,0.110000,0.447000,-17.000000,-3.600000,-6.500000
61102,2435668254,192306,2247.112473200,0.192846900,0.890000,0.036000,0.477000,-4.300000,-1.900000,-3.900000
61103,2435687451,211503,2247.131435100,0.211808800,0.890000,0.054000,0.452000,8.300000,-1.400000,-6.500000
61104,2435706740,230792,2247.153648400,0.234022100,0.849000,0.104000,0.454000,13.400000,2.700000,0.100000
61105,2435725907,249959,2247.169480000,0.249853700,0.875000,0.084000,0.499000,21.000000,7.400000,16.900000
61106,2435745134,269186,2247.188451000,0.268824700,0.923000,0.106000,0.500000,20.200000,-6.100000,14.700000
61107,2435764362,288414,2247.211593600,0.291967300,0.901000,0.143000,0.375000,9.200000,-4.000000,2.800000
61108,2435783589,307641,2247.227495700,0.307869400,0.894000,0.147000,0.404000,-4.900000,-2.400000,0.000000
61109,2435802878,326930,2247.248034600,0.328408300,0.928000,0.064000,0.467000,-10.600000,-5.500000,8.800000
61110,2435822167,346219,2247.266487300,0.346861000,0.915000,0.087000,0.483000,-2.800000,-9.800000,7.900000
61111,2435841364,365416,2247.285470400,0.365844100,0.884000,0.086000,0.414000,5.000000,-8.500000,14.100000
61112,2435860530,384582,2247.305035300,0.385409000,0.924000,0.045000,0.450000,6.900000,3.100000,5.500000
61113,2435879819,403871,2247.323545000,0.403918700,0.824000,0.049000,0.475000,8.600000,-4.600000,6.000000
61114,2435898986,423038,2247.342449300,0.422823000,0.870000,0.065000,0.479000,14.300000,3.000000,-0.200000
61115,2435918152,442204,2247.361557800,0.441931500,0.887000,0.150000,0.463000,4.100000,-6.700000,-1.400000
61116,2435937471,461523,2247.381475900,0.461849600,0.844000,0.114000,0.418000,-22.300000,-6.500000,9.800000
61117,2435956760,480812,2247.401263400,0.481637100,0.908000,-0.012000,0.449000,-13.400000,6.400000,-4.900000
61118,2435975927,499979,2247.419455200,0.499828900,0.894000,0.058000,0.367000,-9.200000,-0.300000,-3.600000
61119,2435995154,519206,2247.438589200,0.518962900,0.974000,0.058000,0.416000,-1.700000,6.700000,-9.200000
61120,2436014382,538434,2247.458679900,0.539053600,0.987000,0.194000,0.395000,-2.800000,-0.800000,-9.800000
61121,2436033548,557600,2247.477658900,0.558032600,0.904000,0.212000,0.403000,-16.000000,10.900000,7.300000
61122,2436052898,576950,2247.496886300,0.577260000,0.864000,0.058000,0.501000,-17.500000,12.300000,12.100000
61123,2436072065,596117,2247.515695100,0.596068800,0.822000,0.041000,0.513000,-14.600000,3.100000,6.800000
61124,2436091323,615375,2247.535716400,0.616090100,0.846000,-0.029000,0.528000,-9.900000,4.400000,-3.600000
61125,2436110550,634602,2247.554472100,0.634845800,0.856000,0.016000,0.511000,-5.100000,0.600000,-4.600000
61126,2436129839,653891,2247.573794800,0.654168500,0.872000,0.052000,0.482000,0.100000,1.300000,-3.400000
61127,2436149005,673057,2247.595859800,0.676233500,0.871000,0.084000,0.483000,-0.900000,0.000000,-0.600000
61128,2436168172,692224,2247.611708500,0.692082200,0.866000,0.059000,0.488000,0.200000,-1.900000,-0.100000
61129,2436187461,711513,2247.631578600,0.711952300,0.866000,0.045000,0.508000,-0.600000,-3.100000,-1.000000
61130,2436206688,730740,2247.650523200,0.730896900,0.878000,0.043000,0.482000,2.400000,-4.600000,-2.700000
61131,2436225916,749968,2247.669672800,0.750046500,0.880000,0.047000,0.480000,5.400000,-4.300000,-2.200000
61132,2436245113,769165,2247.691113000,0.771486700,0.890000,0.093000,0.456000,5.600000,-4.700000,-1.400000
61133,2436264402,788454,2247.708745500,0.789119200,0.910000,0.090000,0.446000,4.400000,-2.200000,0.500000
61134,2436283629,807681,2247.727563000,0.807936700,0.879000,0.092000,0.457000,1.900000,-0.200000,2.600000
61135,2436302918,826970,2247.748567000,0.828940700,0.878000,0.048000,0.487000,1.300000,-1.700000,1.900000
61136,2436322054,846106,2247.765517200,0.845890900,0.876000,0.036000,0.483000,2.200000,-2.400000,0.400000
