meta_label,s
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
33850,3403735930,0,3422.845752400,0.000000000,0.888000,0.043000,0.493000,3.900000,-2.800000,0.300000
33851,3403755219,19289,3422.861458400,0.015706000,0.858000,0.010000,0.502000,2.800000,-4.500000,-2.800000
33852,3403774385,38455,3422.888141800,0.042389400,0.865000,0.008000,0.513000,3.400000,-6.100000,-9.400000
33853,3403793613,57683,3422.899542600,0.053790200,0.874000,0.079000,0.498000,4.100000,-9.900000,-9.700000
33854,3403812841,76911,3422.918489800,0.072737400,0.873000,0.085000,0.493000,3.100000,-9.000000,-2.100000
33855,3403832038,96108,3422.943676800,0.097924400,0.843000,0.024000,0.517000,0.400000,-11.400000,-0.900000
33856,3403851357,115427,3422.957438800,0.111686400,0.880000,0.022000,0.504000,-0.500000,-12.300000,-8.100000
33857,3403870645,134715,3422.976542900,0.130790500,0.873000,0.066000,0.485000,-11.300000,-4.700000,-15.200000
33858,3403889843,153913,3422.995595200,0.149842800,0.894000,0.059000,0.500000,-14.300000,-3.900000,-14.800000
33859,3403909009,173079,3423.015525600,0.169773200,0.851000,0.020000,0.547000,-0.300000,-1.400000,-7.300000
33860,3403928298,192368,3423.034599300,0.188846900,0.892000,0.071000,0.463000,9.600000,-3.600000,-5.600000
33861,3403947464,211534,3423.053489500,0.207737100,0.833000,0.084000,0.581000,11.900000,1.400000,18.300000
33862,3403966631,230701,3423.076545800,0.230793400,0.893000,0.004000,0.529000,17.400000,-8.600000,17.000000
33863,3403985950,250020,3423.091630200,0.245877800,0.906000,0.189000,0.365000,9.800000,-8.400000,-3.300000
33864,3404005239,269309,3423.111775400,0.266023000,0.915000,0.170000,0.407000,-4.000000,-0.600000,8.200000
33865,3404024405,288475,3423.132334900,0.286582500,0.881000,0.038000,0.455000,-5.300000,-15.800000,16.500000
33866,3404043633,307703,3423.149452100,0.303699700,0.896000,-0.064000,0.510000,1.600000,-6.400000,10.700000
33867,3404062860,326930,3423.168509000,0.322756600,0.831000,-0.111000,0.563000,9.300000,2.200000,-5.000000
33868,3404082058,346128,3423.188477700,0.342725300,0.830000,0.065000,0.593000,7.900000,-2.700000,-7.400000
33869,3404101377,365447,3423.207540700,0.361788300,0.888000,0.019000,0.459000,4.800000,0.500000,-1.500000
33870,3404120513,384583,3423.229407000,0.383654600,0.880000,0.173000,0.454000,-2.700000,-1.200000,3.100000
33871,3404139710,403780,3423.245526400,0.399774000,0.832000,0.125000,0.276000,-7.500000,17.200000,4.600000
33872,3404158998,423068,3423.265515900,0.419763500,0.944000,-0.061000,0.534000,5.500000,4.400000,-1.400000
33873,3404178287,442357,3423.290026300,0.444273900,0.918000,0.109000,0.447000,3.500000,-4.200000,-4.800000
33874,3404197484,461554,3423.303665400,0.457913000,0.942000,0.150000,0.411000,-7.700000,12.700000,3.300000
33875,3404216651,480721,3423.322429600,0.476677200,0.856000,0.080000,0.478000,-16.500000,15.600000,4.800000
33876,3404235939,500009,3423.342410700,0.496658300,0.838000,0.053000,0.530000,-17.000000,15.300000,2.500000
33877,3404255167,519237,3423.361634600,0.515882200,0.807000,-0.009000,0.576000,-13.800000,12.800000,0.700000
33878,3404274364,538434,3423.386135200,0.540382800,0.801000,-0.040000,0.588000,-5.600000,8.300000,-3.300000
33879,3404293592,557662,3423.399464300,0.553711900,0.794000,-0.018000,0.596000,0.800000,3.500000,-4.200000
33880,3404312880,576950,3423.418511400,0.572759000,0.838000,0.011000,0.566000,6.500000,-3.100000,-2.800000
33881,3404332047,596117,3423.439956900,0.594204500,0.866000,0.046000,0.521000,6.800000,-4.400000,0.300000
33882,3404351274,615344,3423.457584600,0.611832200,0.885000,0.070000,0.497000,5.300000,-3.800000,3.300000
33883,3404370502,634572,3423.482823800,0.637071400,0.885000,0.070000,0.489000,1.300000,-1.300000,5.100000
33884,3404389730,653800,3423.495633900,0.649881500,0.886000,0.033000,0.495000,1.500000,1.400000,4.700000
33885,3404408988,673058,3423.514596500,0.668844100,0.867000,0.002000,0.521000,1.300000,2.200000,7.500000
33886,3404428307,692377,3423.534602900,0.688850500,0.843000,-0.029000,0.531000,5.500000,1.300000,3.700000
33887,3404447504,711574,3423.553532700,0.707780300,0.843000,0.003000,0.527000,9.200000,-1.700000,-0.900000
33888,3404466671,730741,3423.572446200,0.726693800,0.864000,0.014000,0.514000,11.200000,-2.500000,-1.500000
33889,3404485959,750029,3423.591545000,0.745792600,0.892000,0.048000,0.508000,15.900000,-1.400000,-2.200000
33890,3404505156,769226,3423.612580900,0.766828500,0.900000,0.069000,0.480000,18.000000,5.000000,4.500000
33891,3404524384,788454,3423.630575100,0.784822700,0.863000,0.103000,0.508000,17.300000,9.800000,11.600000
