meta_label,T
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
16370,315214619,0,127.031897100,0.000000000,0.907000,-0.231000,0.353000,-3.200000,6.500000,-0.500000
16371,315233846,19227,127.050941100,0.019044000,0.886000,-0.289000,0.363000,-1.100000,1.500000,-1.300000
16372,315253104,38485,127.074878300,0.042981200,0.896000,-0.290000,0.343000,2.000000,-0.500000,-3.000000
16373,315272301,57682,127.089780200,0.057883100,0.892000,-0.284000,0.338000,1.800000,-2.300000,-3.400000
16374,315291621,77002,127.108711700,0.076814600,0.899000,-0.291000,0.321000,4.200000,-1.900000,-5.900000
16375,315310787,96168,127.127856700,0.095959600,0.891000,-0.273000,0.347000,5.300000,-1.200000,-8.500000
16376,315329954,115335,127.146812400,0.114915300,0.896000,-0.223000,0.376000,3.900000,-1.500000,-7.000000
16377,315349242,134623,127.172599300,0.140702200,0.888000,-0.290000,0.360000,9.100000,-7.400000,-2.200000
16378,315368409,153790,127.186582000,0.154684900,0.974000,-0.393000,0.256000,17.000000,-3.400000,-11.900000
16379,315387698,173079,127.204793500,0.172896400,0.861000,-0.242000,0.341000,-8.900000,2.300000,-15.700000
16380,315406956,192337,127.226693400,0.194796300,0.992000,-0.152000,0.340000,-14.200000,-0.300000,-23.300000
16381,315426183,211564,127.243802300,0.211905200,0.909000,-0.172000,0.289000,-19.900000,4.000000,-18.100000
16382,315445350,230731,127.264410000,0.232512900,0.987000,-0.232000,0.345000,-27.300000,5.800000,-12.400000
16383,315464608,249989,127.281894200,0.249997100,0.917000,0.076000,0.430000,-23.500000,1.800000,-38.000000
16384,315483836,269217,127.300912600,0.269015500,0.895000,-0.051000,0.397000,-14.000000,1.300000,-7.400000
16385,315503033,288414,127.320764900,0.288867800,0.868000,-0.279000,0.294000,3.200000,-8.300000,12.700000
16386,315522321,307702,127.339841300,0.307944200,0.929000,-0.399000,0.244000,16.600000,4.200000,18.400000
16387,315541488,326869,127.358774100,0.326877000,0.891000,-0.246000,0.346000,2.400000,11.800000,23.800000
16388,315560746,346127,127.377779300,0.345882200,0.856000,-0.328000,0.402000,1.400000,3.300000,17.900000
16389,315579943,365324,127.396802900,0.364905800,0.808000,-0.463000,0.452000,9.500000,-7.400000,1.800000
16390,315599232,384613,127.419144700,0.387247600,0.999000,-0.407000,0.261000,25.300000,-9.000000,-25.200000
16391,315618490,403871,127.435886600,0.403989500,0.921000,0.005000,0.355000,-4.400000,-10.400000,-4.700000
16392,315637687,423068,127.454768100,0.422871000,0.935000,-0.057000,0.510000,-3.800000,-21.100000,20.000000
16393,315656884,442265,127.473822500,0.441925400,0.877000,-0.262000,0.146000,12.100000,-51.100000,17.000000
16394,315676203,461584,127.493770600,0.461873500,0.945000,-0.251000,0.254000,13.500000,-5.100000,6.600000
16395,315695370,480751,127.512976700,0.481079600,0.932000,-0.285000,0.203000,14.700000,-4.100000,0.900000
16396,315714658,500039,127.531951600,0.500054500,1.033000,-0.086000,0.126000,-17.800000,43.800000,-1.500000
16397,315733825,519206,127.555401300,0.523504200,0.901000,-0.110000,0.448000,-40.400000,48.500000,22.300000
16398,315752991,538372,127.571521800,0.539624700,0.864000,-0.243000,0.462000,-38.600000,31.100000,31.500000
16399,315772280,557661,127.589935200,0.558038100,0.807000,-0.406000,0.442000,-28.800000,12.000000,26.800000
16400,315791477,576858,127.613869600,0.581972500,0.844000,-0.470000,0.383000,-10.700000,-5.600000,11.200000
16401,315810674,596055,127.627920800,0.596023700,0.874000,-0.367000,0.327000,-2.800000,-7.700000,1.500000
16402,315829993,615374,127.646954100,0.615057000,0.909000,-0.288000,0.319000,-2.500000,-7.400000,-1.300000
16403,315849129,634510,127.665888600,0.633991500,0.911000,-0.251000,0.337000,-3.600000,-2.100000,2.100000
16404,315868449,653830,127.685840200,0.653943100,0.891000,-0.271000,0.363000,-1.200000,-4.300000,3.200000
16405,315887676,673057,127.706540800,0.674643700,0.913000,-0.266000,0.331000,2.500000,-4.200000,4.000000
16406,315906934,692315,127.723903100,0.692006000,0.892000,-0.277000,0.352000,1.100000,-2.000000,5.300000
16407,315926070,711451,127.742896300,0.710999200,0.888000,-0.299000,0.327000,-1.600000,-1.600000,4.700000
16408,315945390,730771,127.767007000,0.735109900,0.899000,-0.321000,0.329000,-1.500000,-0.200000,2.200000
16409,315964556,749937,127.781877600,0.749980500,0.911000,-0.291000,0.319000,-1.700000,2.100000,0.600000
16410,315983845,769226,127.800798700,0.768901600,0.907000,-0.269000,0.336000,-2.900000,2.600000,3.700000
16411,316003011,788392,127.823247900,0.791350800,0.879000,-0.281000,0.354000,-3.800000,2.800000,5.300000
16412,316022300,807681,127.841349100,0.809452000,0.863000,-0.319000,0.374000,-4.600000,0.100000,5.700000
