meta_label,t
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5589,1368153306,0,1179.784662200,0.000000000,0.921000,-0.064000,0.387000,2.400000,-1.700000,0.200000
5590,1368172473,19167,1179.804561900,0.019899700,0.903000,-0.093000,0.420000,1.100000,-1.900000,-0.700000
5591,1368191762,38456,1179.826209600,0.041547400,0.917000,-0.093000,0.412000,0.900000,-4.300000,-0.200000
5592,1368210928,57622,1179.842649100,0.057986900,0.916000,-0.076000,0.398000,0.000000,-2.500000,-1.800000
5593,1368230125,76819,1179.861634600,0.076972400,0.906000,-0.100000,0.399000,-3.800000,-0.600000,-3.000000
5594,1368249414,96108,1179.886046000,0.101383800,0.912000,-0.113000,0.418000,-3.200000,0.600000,-6.100000
5595,1368268702,115396,1179.900627400,0.115965200,0.884000,-0.109000,0.422000,-1.700000,-0.100000,-8.200000
5596,1368287900,134594,1179.920241900,0.135579700,0.872000,-0.125000,0.429000,-4.900000,1.100000,-14.200000
5597,1368307066,153760,1179.938678600,0.154016400,0.832000,-0.206000,0.494000,-8.100000,0.200000,-29.300000
5598,1368326355,173049,1179.957661500,0.172999300,1.028000,-0.127000,0.437000,-5.800000,-14.800000,-41.500000
5599,1368345521,192215,1179.978130500,0.193468300,0.927000,0.049000,0.387000,-14.400000,-5.500000,-20.700000
5600,1368364688,211382,1179.996679000,0.212016800,0.923000,0.060000,0.312000,-11.200000,-13.300000,-16.000000
5601,1368384007,230701,1180.016722100,0.232059900,0.928000,0.021000,0.352000,-11.900000,-1.600000,-1.300000
5602,1368403296,249990,1180.034671100,0.250008900,0.972000,-0.008000,0.534000,-2.100000,-27.200000,14.500000
5603,1368422462,269156,1180.054728900,0.270066700,0.920000,0.050000,0.420000,4.600000,-37.700000,24.600000
5604,1368441690,288384,1180.074168500,0.289506300,0.927000,-0.130000,0.318000,15.200000,-15.600000,13.500000
5605,1368460917,307611,1180.092656300,0.307994100,0.875000,-0.103000,0.273000,11.300000,-6.600000,12.200000
5606,1368480145,326839,1180.112400700,0.327738500,0.925000,-0.122000,0.419000,6.300000,3.800000,10.800000
5607,1368499434,346128,1180.131657700,0.346995500,0.921000,-0.124000,0.343000,6.300000,6.500000,3.300000
5608,1368518570,365264,1180.150634900,0.365972700,0.991000,-0.007000,0.317000,-2.500000,18.100000,6.300000
5609,1368537767,384461,1180.174067000,0.389404800,0.886000,-0.074000,0.447000,-10.900000,23.800000,12.200000
5610,1368557055,403749,1180.188571600,0.403909400,0.777000,-0.238000,0.554000,-0.900000,4.900000,5.600000
5611,1368576375,423069,1180.207641500,0.422979300,0.760000,-0.350000,0.580000,15.600000,-16.500000,-7.400000
5612,1368595541,442235,1180.227522200,0.442860000,1.103000,-0.114000,0.273000,11.900000,-10.500000,-31.900000
5613,1368614830,461524,1180.246573500,0.461911300,0.919000,0.163000,0.350000,-17.300000,-13.500000,-17.700000
5614,1368633996,480690,1180.267844900,0.483182700,0.913000,0.048000,0.337000,-29.100000,-5.500000,-1.600000
5615,1368653315,500009,1180.284670900,0.500008700,0.940000,-0.011000,0.396000,-40.800000,-6.700000,-2.000000
5616,1368672482,519176,1180.304749100,0.520086900,0.922000,-0.160000,0.384000,-45.400000,-8.500000,-36.500000
5617,1368691679,538373,1180.328067900,0.543405700,0.895000,-0.043000,0.405000,-27.800000,-3.800000,2.100000
5618,1368710937,557631,1180.342586600,0.557924400,0.919000,-0.117000,0.402000,7.100000,-0.200000,-3.100000
5619,1368730165,576859,1180.361765400,0.577103200,0.912000,-0.081000,0.350000,22.700000,3.500000,10.700000
5620,1368749453,596147,1180.380584500,0.595922300,0.952000,-0.068000,0.366000,22.600000,7.800000,11.500000
5621,1368768590,615284,1180.400569700,0.615907500,1.005000,-0.055000,0.289000,5.600000,12.400000,15.000000
