meta_label,t
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
38281,2974748632,0,121.107835000,0.000000000,0.865000,0.189000,0.475000,1.300000,-4.600000,-4.200000
38282,2974767859,19227,121.126820400,0.018985400,0.864000,0.203000,0.479000,2.400000,-4.400000,-4.000000
38283,2974787087,38455,121.145720900,0.037885900,0.865000,0.235000,0.465000,2.500000,-3.000000,-3.700000
38284,2974806315,57683,121.165743900,0.057908900,0.850000,0.230000,0.479000,1.000000,-2.700000,0.300000
38285,2974825542,76910,121.184773000,0.076938000,0.843000,0.185000,0.488000,1.500000,-3.300000,-5.100000
38286,2974844770,96138,121.203814900,0.095979900,0.827000,0.186000,0.496000,0.000000,-6.700000,-14.000000
38287,2974864028,115396,121.223473800,0.115638800,0.818000,0.184000,0.510000,-2.800000,-10.400000,-21.400000
38288,2974883225,134593,121.242698600,0.134863600,0.772000,0.195000,0.477000,-5.500000,-20.800000,-24.700000
38289,2974902514,153882,121.261710200,0.153875200,0.909000,0.359000,0.500000,-25.000000,-13.200000,-15.400000
38290,2974921711,173079,121.281669600,0.173834600,0.878000,0.151000,0.380000,-19.200000,-12.800000,3.500000
38291,2974940877,192245,121.299714700,0.191879700,0.877000,0.136000,0.449000,-2.200000,-7.200000,-6.100000
38292,2974960166,211534,121.318820100,0.210985100,0.924000,0.270000,0.510000,7.900000,-5.300000,-5.900000
38293,2974979394,230762,121.341748300,0.233913300,0.841000,0.543000,0.386000,6.600000,-9.200000,34.500000
38294,2974998621,249989,121.357816400,0.249981400,0.832000,0.180000,0.299000,11.300000,0.700000,55.900000
38295,2975017818,269186,121.376852200,0.269017200,0.884000,0.046000,0.402000,15.400000,4.800000,46.300000
38296,2975037107,288475,121.397517100,0.289682100,0.799000,0.023000,0.565000,14.500000,7.900000,18.900000
38297,2975056273,307641,121.415770200,0.307935200,0.850000,0.155000,0.540000,8.000000,8.300000,-15.200000
38298,2975075470,326838,121.434890300,0.327055300,0.859000,0.221000,0.457000,-8.200000,20.100000,-26.400000
38299,2975094729,346097,121.453795200,0.345960200,0.687000,0.161000,0.666000,-7.900000,-9.100000,-21.900000
38300,2975113926,365294,121.472867400,0.365032400,0.994000,0.113000,0.464000,5.800000,-11.500000,-31.200000
38301,2975133245,384613,121.494289600,0.386454600,0.877000,0.306000,0.379000,-9.600000,-22.700000,-4.900000
38302,2975152533,403901,121.511902700,0.404067700,0.873000,0.211000,0.396000,-17.600000,-15.000000,-6.700000
38303,2975171731,423099,121.530755600,0.422920600,0.891000,0.207000,0.478000,-25.100000,-16.700000,-10.900000
38304,2975190897,442265,121.549970200,0.442135200,0.882000,0.312000,0.369000,-25.700000,-19.700000,-22.600000
38305,2975210186,461554,121.569616600,0.461781600,0.875000,0.371000,0.209000,-12.500000,-10.000000,-12.000000
38306,2975229352,480720,121.588914900,0.481079900,0.848000,0.192000,0.482000,5.300000,11.800000,16.400000
38307,2975248641,500009,121.607881000,0.500046000,0.863000,0.140000,0.549000,21.100000,17.000000,14.400000
38308,2975267808,519176,121.628832000,0.520997000,0.952000,0.195000,0.396000,-0.600000,26.600000,15.300000
38309,2975287127,538495,121.645710800,0.537875800,0.839000,0.271000,0.441000,-16.200000,31.600000,7.400000
38310,2975306293,557661,121.665819500,0.557984500,0.865000,0.284000,0.468000,-20.100000,29.600000,10.400000
38311,2975325521,576889,121.688563800,0.580728800,0.795000,0.176000,0.592000,-19.200000,20.700000,13.500000
38312,2975344748,596116,121.703708600,0.595873600,0.759000,0.071000,0.643000,-3.000000,1.300000,2.300000
38313,2975363946,615314,121.722901500,0.615066500,0.777000,0.096000,0.583000,8.500000,-9.200000,-0.500000
38314,2975383234,634602,121.741758700,0.633923700,0.841000,0.128000,0.501000,17.400000,-11.500000,-5.400000
38315,2975402401,653769,121.761761100,0.653926100,0.855000,0.236000,0.473000,17.400000,-11.100000,-6.600000
38316,2975421598,672966,121.782902300,0.675067300,0.893000,0.280000,0.435000,13.400000,-7.700000,-0.300000
38317,2975440886,692254,121.799761200,0.691926200,0.863000,0.254000,0.458000,7.600000,-2.500000,3.200000
38318,2975460175,711543,121.818828400,0.710993400,0.848000,0.209000,0.490000,3.500000,-1.700000,3.000000
38319,2975479372,730740,121.841103600,0.733268600,0.838000,0.171000,0.521000,2.100000,-3.300000,1.100000
38320,2975498539,749907,121.857877900,0.750042900,0.848000,0.158000,0.519000,4.100000,-5.500000,-2.700000
