meta_label,U
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
23965,2981780957,0,2793.127911900,0.000000000,0.780000,-0.113000,0.603000,6.600000,-5.200000,-6.800000
23966,2981800246,19289,2793.155669500,0.027757600,0.842000,-0.060000,0.564000,11.700000,-7.800000,-5.300000
23967,2981819473,38516,2793.167017200,0.039105300,0.889000,-0.013000,0.510000,12.000000,-6.300000,-1.900000
23968,2981838731,57774,2793.186063600,0.058151700,0.866000,0.023000,0.518000,8.700000,-4.600000,-0.800000
23969,2981857928,76971,2793.206983600,0.079071700,0.846000,-0.008000,0.540000,4.300000,-1.500000,2.100000
23970,2981877217,96260,2793.225131800,0.097219900,0.813000,-0.051000,0.585000,3.600000,-3.000000,-1.600000
23971,2981896414,115457,2793.243874400,0.115962500,0.781000,-0.065000,0.597000,4.300000,-5.600000,-3.300000
23972,2981915581,134624,2793.263094100,0.135182200,0.811000,-0.074000,0.578000,4.500000,-8.400000,-10.200000
23973,2981934869,153912,2793.281963300,0.154051400,0.983000,-0.009000,0.492000,-5.100000,-8.800000,-13.100000
23974,2981954188,173231,2793.305109900,0.177198000,0.849000,0.049000,0.509000,-12.300000,-3.100000,-4.700000
23975,2981973324,192367,2793.321016200,0.193104300,0.851000,-0.026000,0.543000,-4.100000,-4.200000,0.300000
23976,2981992522,211565,2793.339979800,0.212067900,0.853000,-0.021000,0.569000,7.800000,-2.800000,-1.300000
23977,2982011810,230853,2793.358918100,0.231006200,0.864000,0.058000,0.587000,12.000000,-12.900000,20.500000
23978,2982030977,250020,2793.377911900,0.250000000,0.865000,0.032000,0.575000,8.500000,-27.600000,36.800000
23979,2982050265,269308,2793.398206800,0.270294900,0.787000,-0.105000,0.427000,3.400000,-14.400000,15.700000
23980,2982069432,288475,2793.416928900,0.289017000,0.909000,-0.037000,0.630000,-25.700000,-10.000000,0.000000
23981,2982088660,307703,2793.435946300,0.308034400,0.860000,-0.137000,0.381000,-40.700000,-13.000000,-21.900000
23982,2982107948,326991,2793.454909400,0.326997500,0.820000,-0.022000,0.514000,-29.200000,8.300000,-53.500000
23983,2982127267,346310,2793.476014700,0.348102800,0.812000,-0.046000,0.561000,-17.700000,7.800000,-32.800000
23984,2982146434,365477,2793.494019600,0.366107700,0.871000,-0.063000,0.578000,-1.200000,3.900000,-11.000000
23985,2982165600,384643,2793.512967800,0.385055900,0.787000,0.050000,0.427000,-0.600000,1.400000,5.500000
23986,2982184889,403932,2793.534429100,0.406517200,0.916000,-0.069000,0.610000,0.600000,12.800000,6.400000
23987,2982204056,423099,2793.552098600,0.424186700,0.866000,-0.089000,0.511000,0.400000,-0.300000,-2.900000
23988,2982223222,442265,2793.572964300,0.445052400,0.929000,-0.063000,0.505000,-2.400000,5.400000,-7.900000
23989,2982242541,461584,2793.590051800,0.462139900,0.909000,0.111000,0.504000,-9.500000,3.500000,6.000000
23990,2982261830,480873,2793.609586300,0.481674400,0.872000,0.069000,0.521000,-10.700000,3.900000,18.100000
23991,2982280997,500040,2793.628014600,0.500102700,0.822000,-0.011000,0.563000,-14.100000,2.800000,24.400000
23992,2982300285,519328,2793.651856600,0.523944700,0.793000,-0.120000,0.581000,-11.200000,-0.300000,23.600000
23993,2982319452,538495,2793.666925600,0.539013700,0.802000,-0.184000,0.571000,-6.300000,-1.300000,15.400000
23994,2982338618,557661,2793.686028700,0.558116800,0.801000,-0.183000,0.588000,-2.300000,0.900000,4.600000
23995,2982357999,577042,2793.705018600,0.577106700,0.821000,-0.125000,0.569000,1.200000,-2.300000,-2.200000
23996,2982377135,596178,2793.728479300,0.600567400,0.843000,-0.068000,0.544000,3.800000,-3.400000,-2.300000
23997,2982396393,615436,2793.744054400,0.616142500,0.861000,-0.003000,0.533000,4.100000,-2.800000,1.700000
23998,2982415529,634572,2793.762991100,0.635079200,0.861000,0.006000,0.533000,0.000000,-2.600000,8.200000
23999,2982434909,653952,2793.782019800,0.654107900,0.864000,-0.057000,0.533000,-3.700000,-2.500000,11.500000
24000,2982454076,673119,2793.800939200,0.673027300,0.843000,-0.094000,0.541000,-3.600000,-2.000000,9.300000
24001,2982473334,692377,2793.822124200,0.694212300,0.829000,-0.138000,0.562000,-1.800000,-1.300000,2.000000
24002,2982492531,711574,2793.840098500,0.712186600,0.799000,-0.114000,0.568000,-0.700000,-3.400000,0.000000
24003,2982511758,730801,2793.858926700,0.731014800,0.815000,-0.097000,0.568000,4.000000,-5.100000,-1.400000
24004,2982530986,750029,2793.882105000,0.754193100,0.827000,-0.084000,0.561000,5.100000,-4.900000,-0.200000
24005,2982550183,769226,2793.897944000,0.770032100,0.869000,-0.081000,0.524000,5.300000,-5.300000,-1.000000
24006,2982569472,788515,2793.917894300,0.789982400,0.888000,-0.046000,0.506000,4.000000,-1.400000,-1.800000
24007,2982588638,807681,2793.936030600,0.808118700,0.860000,-0.033000,0.529000,-0.600000,-0.600000,1.400000
24008,2982607927,826970,2793.954842000,0.826930100,0.843000,-0.059000,0.547000,-1.200000,-1.000000,3.400000
