meta_label,u
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
17037,559907479,0,579.519604600,0.000000000,0.855000,0.052000,0.529000,3.500000,-3.200000,0.500000
17038,559926645,19166,579.538668200,0.019063600,0.856000,0.072000,0.515000,1.400000,-4.200000,-1.800000
17039,559945873,38394,579.561880900,0.042276300,0.867000,0.062000,0.504000,2.900000,-4.200000,-0.500000
17040,559965100,57621,579.577715800,0.058111200,0.864000,0.072000,0.507000,5.600000,-4.100000,1.100000
17041,559984267,76788,579.596751400,0.077146800,0.856000,0.079000,0.510000,4.800000,-4.000000,1.800000
17042,560003617,96138,579.617684500,0.098079900,0.847000,0.067000,0.526000,3.800000,-5.300000,-0.200000
17043,560022753,115274,579.634652000,0.115047400,0.827000,0.029000,0.550000,3.900000,-8.400000,-5.700000
17044,560041950,134471,579.654635900,0.135031300,0.825000,0.025000,0.557000,9.800000,-13.300000,-9.600000
17045,560061238,153759,579.675944900,0.156340300,0.846000,0.097000,0.521000,12.400000,-16.400000,-9.900000
17046,560080527,173048,579.692639600,0.173035000,0.990000,0.225000,0.398000,-4.600000,-9.100000,-8.000000
17047,560099724,192245,579.712228200,0.192623600,0.884000,0.161000,0.429000,-21.200000,-7.900000,10.100000
17048,560118891,211412,579.731684300,0.212079700,0.881000,-0.043000,0.513000,-10.100000,-2.400000,9.000000
17049,560138179,230700,579.750634400,0.231029800,0.881000,0.008000,0.503000,-1.700000,-6.100000,-1.200000
17050,560157407,249928,579.776348400,0.256743800,0.899000,0.190000,0.498000,9.900000,-4.000000,-0.700000
17051,560176635,269156,579.788674900,0.269070300,0.913000,0.025000,0.432000,14.600000,-11.000000,34.500000
17052,560195832,288353,579.807518500,0.287913900,0.862000,0.096000,0.441000,12.800000,-9.600000,10.500000
17053,560215120,307641,579.827728600,0.308124000,0.851000,0.060000,0.518000,-6.400000,-10.600000,6.100000
17054,560234287,326808,579.848255800,0.328651200,0.927000,0.034000,0.423000,-23.700000,-14.000000,-23.300000
17055,560253514,346035,579.865560000,0.345955400,0.803000,0.022000,0.473000,-29.900000,-0.100000,-41.000000
17056,560272742,365263,579.884632000,0.365027400,0.843000,0.047000,0.575000,-27.900000,-0.500000,-17.900000
17057,560291939,384460,579.908464900,0.388860300,0.895000,0.028000,0.431000,-5.400000,-8.800000,-4.400000
17058,560311289,403810,579.923659500,0.404054900,0.885000,0.161000,0.409000,8.400000,-3.100000,-4.400000
17059,560330425,422946,579.942640100,0.423035500,0.878000,0.220000,0.532000,7.200000,-5.700000,31.300000
17060,560349683,442204,579.961890200,0.442285600,0.914000,0.114000,0.467000,10.100000,-11.700000,34.700000
17061,560368911,461432,579.981667500,0.462062900,0.845000,-0.015000,0.358000,8.000000,-8.800000,37.500000
17062,560388199,480720,580.004289200,0.484684600,0.909000,-0.060000,0.483000,17.200000,7.100000,15.600000
17063,560407366,499887,580.021052600,0.501448000,0.911000,-0.065000,0.446000,8.800000,10.400000,-8.700000
17064,560426532,519053,580.038632800,0.519028200,0.975000,0.116000,0.356000,-19.900000,16.900000,-31.300000
17065,560445821,538342,580.057620700,0.538016100,0.851000,0.208000,0.495000,-36.000000,29.100000,-14.000000
17066,560465140,557661,580.081288300,0.561683700,0.812000,0.108000,0.607000,-28.000000,20.600000,-2.700000
17067,560484307,576828,580.096692200,0.577087600,0.791000,-0.009000,0.619000,-13.700000,1.700000,8.500000
17068,560503534,596055,580.117923300,0.598318700,0.817000,-0.051000,0.577000,-1.800000,-7.800000,0.100000
17069,560522762,615283,580.134633200,0.615028600,0.874000,-0.005000,0.502000,4.200000,-4.800000,-4.600000
17070,560541959,634480,580.154661300,0.635056700,0.906000,0.075000,0.444000,1.700000,-0.500000,-2.400000
17071,560561278,653799,580.178219100,0.658614500,0.890000,0.080000,0.484000,-0.500000,3.400000,0.300000
17072,560580414,672935,580.192589200,0.672984600,0.851000,0.020000,0.525000,-0.600000,4.200000,1.300000
17073,560599611,692132,580.211588900,0.691984300,0.845000,-0.009000,0.544000,1.600000,0.700000,-2.300000
17074,560618900,711421,580.231363200,0.711758600,0.851000,0.016000,0.531000,6.500000,-2.200000,-6.000000
17075,560638127,730648,580.250504400,0.730899800,0.874000,0.067000,0.498000,7.600000,-2.800000,-6.200000
17076,560657386,749907,580.269792900,0.750188300,0.878000,0.096000,0.491000,5.800000,-0.900000,-2.700000
17077,560676552,769073,580.288635800,0.769031200,0.872000,0.074000,0.503000,5.600000,-0.600000,-0.800000
17078,560695841,788362,580.314144000,0.794539400,0.876000,0.045000,0.498000,4.300000,-0.200000,-4.400000
17079,560715038,807559,580.327615700,0.808011100,0.850000,0.043000,0.515000,3.000000,0.200000,-5.300000
