meta_label,u
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6295,3619915093,0,766.159854800,0.000000000,0.844000,-0.225000,0.485000,0.600000,-1.800000,-9.200000
6296,3619934382,19289,766.178805200,0.018950400,0.842000,-0.226000,0.490000,-1.800000,-2.600000,-14.400000
6297,3619953548,38455,766.201055500,0.041200700,0.826000,-0.257000,0.462000,1.400000,-3.000000,-18.600000
6298,3619972745,57652,766.216853900,0.056999100,0.912000,-0.161000,0.444000,-3.800000,-3.800000,-11.700000
6299,3619992034,76941,766.236738600,0.076883800,0.876000,-0.130000,0.441000,7.900000,0.500000,-7.100000
6300,3620011323,96230,766.262351100,0.102496300,0.912000,-0.160000,0.545000,9.100000,-17.600000,19.900000
6301,3620030520,115427,766.274872600,0.115017800,0.827000,-0.114000,0.494000,7.300000,-23.700000,14.300000
6302,3620049686,134593,766.296684700,0.136829900,0.945000,-0.158000,0.460000,-1.300000,-6.200000,0.700000
6303,3620068975,153882,766.316509900,0.156655100,0.847000,-0.254000,0.465000,-21.000000,-8.800000,-5.500000
6304,3620088202,173109,766.332728500,0.172873700,0.846000,-0.258000,0.332000,-22.800000,1.900000,-23.100000
6305,3620107461,192368,766.351931100,0.192076300,0.849000,-0.170000,0.517000,-16.200000,16.600000,-33.800000
6306,3620126627,211534,766.370815200,0.210960400,0.853000,-0.281000,0.454000,-12.600000,3.900000,-11.600000
6307,3620145916,230823,766.392968500,0.233113700,0.868000,-0.130000,0.524000,-5.500000,-0.600000,0.400000
6308,3620165082,249989,766.409849800,0.249995000,0.876000,-0.177000,0.416000,0.600000,-1.600000,-1.000000
6309,3620184310,269217,766.430203100,0.270348300,0.904000,-0.114000,0.524000,6.300000,-14.500000,9.100000
6310,3620203538,288445,766.447880200,0.288025400,0.895000,-0.073000,0.444000,9.100000,-31.800000,30.100000
6311,3620222735,307642,766.466841700,0.306986900,0.857000,-0.151000,0.402000,-0.500000,-27.500000,35.700000
6312,3620242054,326961,766.489609100,0.329754300,0.896000,-0.401000,0.404000,0.900000,1.600000,10.500000
6313,3620261342,346249,766.505991600,0.346136800,0.911000,-0.390000,0.293000,-5.100000,19.000000,-17.600000
6314,3620280478,365385,766.524782900,0.364928100,0.902000,-0.090000,0.473000,-13.700000,37.200000,-20.500000
6315,3620299706,384613,766.547242100,0.387387300,0.850000,-0.092000,0.543000,-13.700000,26.300000,0.200000
6316,3620318995,403902,766.562849600,0.402994800,0.851000,-0.154000,0.543000,-7.700000,9.400000,14.100000
6317,3620338222,423129,766.589439100,0.429584300,0.866000,-0.244000,0.488000,-6.200000,2.300000,16.400000
6318,3620357450,442357,766.602382000,0.442527200,0.846000,-0.266000,0.473000,-5.500000,5.500000,11.700000
6319,3620376647,461554,766.620754000,0.460899200,0.840000,-0.267000,0.470000,-6.000000,10.100000,3.400000
6320,3620395936,480843,766.640753500,0.480898700,0.842000,-0.238000,0.481000,-8.300000,11.300000,-1.300000
6321,3620415102,500009,766.663466300,0.503611500,0.849000,-0.241000,0.480000,-5.200000,13.400000,-3.000000
6322,3620434330,519237,766.678685800,0.518831000,0.853000,-0.213000,0.495000,0.200000,10.600000,-1.600000
6323,3620453557,538464,766.700638700,0.540783900,0.859000,-0.191000,0.487000,3.900000,9.900000,2.000000
6324,3620472785,557692,766.716681100,0.556826300,0.835000,-0.209000,0.504000,2.500000,9.700000,1.900000
6325,3620492043,576950,766.735629800,0.575775000,0.835000,-0.229000,0.494000,5.400000,10.800000,0.500000
6326,3620511210,596117,766.756597400,0.596742600,0.840000,-0.246000,0.495000,13.200000,16.100000,-4.000000
6327,3620530407,615314,766.774633400,0.614778600,0.853000,-0.225000,0.515000,27.700000,20.700000,-7.000000
6328,3620549695,634602,766.793783300,0.633928500,0.818000,-0.204000,0.545000,35.600000,18.000000,-4.800000
