meta_label,W
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
12722,2997444504,0,3016.622923600,0.000000000,0.859000,0.050000,0.517000,0.000000,1.000000,-0.700000
12723,2997463670,19166,3016.642002300,0.019078700,0.848000,0.023000,0.533000,-1.500000,1.200000,-5.300000
12724,2997482959,38455,3016.664647500,0.041723900,0.794000,0.022000,0.568000,-0.100000,-2.600000,-16.400000
12725,2997502186,57682,3016.680815300,0.057891700,0.788000,0.027000,0.603000,4.700000,-15.800000,-23.400000
12726,2997521445,76941,3016.704231800,0.081308200,0.774000,0.004000,0.508000,6.500000,-25.700000,-32.500000
12727,2997540672,96168,3016.718930900,0.096007300,0.998000,0.267000,0.454000,-22.800000,-8.800000,-15.800000
12728,2997559900,115396,3016.738763500,0.115839900,0.877000,-0.051000,0.461000,-5.000000,-9.900000,-0.500000
12729,2997579097,134593,3016.759342100,0.136418500,0.952000,0.157000,0.552000,19.200000,-5.800000,7.200000
12730,2997598416,153912,3016.776908700,0.153985100,0.842000,0.174000,0.467000,20.100000,-21.300000,48.600000
12731,2997617552,173048,3016.795831700,0.172908100,0.822000,0.109000,0.425000,11.000000,-6.700000,21.400000
12732,2997636749,192245,3016.817152500,0.194228900,0.845000,-0.014000,0.558000,-16.300000,-10.600000,13.000000
12733,2997656038,211534,3016.834877900,0.211954300,0.865000,-0.176000,0.457000,-24.700000,-10.400000,-36.700000
12734,2997675326,230822,3016.853839700,0.230916100,0.860000,0.156000,0.527000,-21.400000,1.200000,-46.400000
12735,2997694524,250020,3016.873041200,0.250117600,0.863000,0.081000,0.492000,-3.200000,-2.300000,-21.500000
12736,2997713690,269186,3016.891931200,0.269007600,0.892000,0.121000,0.457000,15.300000,-0.900000,-2.600000
12737,2997732979,288475,3016.912015400,0.289091800,0.877000,0.303000,0.507000,17.000000,-17.700000,35.200000
12738,2997752206,307702,3016.930869500,0.307945900,0.933000,0.033000,0.582000,-4.600000,-20.400000,21.700000
12739,2997771434,326930,3016.949968900,0.327045300,0.782000,-0.076000,0.560000,-23.100000,-12.700000,-7.700000
12740,2997790631,346127,3016.968851800,0.345928200,0.797000,0.021000,0.422000,-30.900000,-9.200000,-29.300000
12741,2997809920,365416,3016.988910100,0.365986500,0.889000,0.111000,0.434000,-17.100000,10.000000,-63.800000
12742,2997829086,384582,3017.010189300,0.387265700,0.793000,0.055000,0.399000,-10.100000,21.300000,-32.300000
12743,2997848314,403810,3017.026713300,0.403789700,0.912000,0.169000,0.531000,-1.800000,20.200000,-17.000000
12744,2997867541,423037,3017.045843900,0.422920300,0.956000,0.133000,0.549000,8.000000,14.600000,-2.500000
12745,2997886738,442234,3017.064672600,0.441749000,0.971000,0.284000,0.408000,-4.400000,16.100000,11.900000
12746,2997906058,461554,3017.084696100,0.461772500,0.865000,0.216000,0.470000,-15.800000,23.100000,30.600000
12747,2997925346,480842,3017.104683900,0.481760300,0.818000,0.074000,0.534000,-18.200000,22.000000,29.600000
12748,2997944543,500039,3017.122710400,0.499786800,0.777000,-0.078000,0.613000,-16.100000,17.200000,22.300000
12749,2997963710,519206,3017.141707000,0.518783400,0.766000,-0.113000,0.636000,-2.700000,6.500000,5.100000
12750,2997982999,538495,3017.163170100,0.540246500,0.799000,-0.051000,0.610000,8.700000,-6.500000,-2.500000
12751,2998002165,557661,3017.180684300,0.557760700,0.844000,0.055000,0.547000,10.800000,-7.400000,-2.400000
12752,2998021332,576828,3017.199735500,0.576811900,0.874000,0.110000,0.503000,6.600000,-4.700000,0.500000
12753,2998040620,596116,3017.218971700,0.596048100,0.896000,0.118000,0.493000,0.000000,-0.500000,4.300000
12754,2998059848,615344,3017.237693100,0.614769500,0.887000,0.056000,0.503000,-6.200000,4.000000,4.500000
12755,2998079106,634602,3017.257847500,0.634923900,0.856000,0.007000,0.526000,-9.700000,5.800000,0.400000
12756,2998098334,653830,3017.276839600,0.653916000,0.870000,-0.022000,0.538000,-5.200000,6.500000,-8.400000
12757,2998117561,673057,3017.295672600,0.672749000,0.846000,0.029000,0.554000,-3.900000,7.600000,-13.800000
12758,2998136789,692285,3017.314790500,0.691866900,0.865000,0.022000,0.551000,-2.200000,6.300000,-15.500000
12759,2998156077,711573,3017.334715700,0.711792100,0.908000,-0.003000,0.532000,-0.200000,6.400000,-25.200000
