meta_label,W
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
29879,292663576,0,4606.526500200,0.000000000,0.860000,-0.017000,0.518000,2.100000,-0.100000,-0.500000
29880,292682864,19288,4606.547673600,0.021173400,0.853000,-0.036000,0.516000,2.400000,-0.600000,-3.700000
29881,292702061,38485,4606.564538900,0.038038700,0.843000,-0.015000,0.534000,0.700000,-2.600000,-5.100000
29882,292721289,57713,4606.588518600,0.062018400,0.843000,-0.011000,0.528000,3.000000,-3.300000,-4.100000
29883,292740516,76940,4606.603567000,0.077066800,0.861000,-0.003000,0.522000,5.600000,-3.000000,-1.100000
29884,292759805,96229,4606.623096700,0.096596500,0.857000,-0.001000,0.505000,4.000000,-0.800000,-3.900000
29885,292778972,115396,4606.641534700,0.115034500,0.830000,-0.045000,0.534000,1.200000,-2.300000,-12.700000
29886,292798199,134623,4606.663418100,0.136917900,0.786000,-0.118000,0.576000,4.200000,-6.200000,-30.700000
29887,292817427,153851,4606.679463800,0.152963600,0.932000,-0.011000,0.486000,-3.000000,0.200000,-39.000000
29888,292836624,173048,4606.699616100,0.173115900,0.924000,0.095000,0.537000,-15.500000,-0.200000,-28.500000
29889,292855943,192367,4606.722195100,0.195694900,0.861000,0.044000,0.411000,0.000000,-10.500000,-13.100000
29890,292875232,211656,4606.737469200,0.210969000,0.920000,0.099000,0.507000,17.000000,-1.300000,-8.200000
29891,292894368,230792,4606.756517600,0.230017400,0.826000,0.263000,0.637000,9.300000,-24.000000,31.500000
29892,292913595,250019,4606.777414100,0.250913900,0.820000,0.082000,0.476000,7.300000,-28.200000,47.900000
29893,292932884,269308,4606.795456300,0.268956100,0.847000,-0.069000,0.356000,-4.200000,-11.600000,27.600000
29894,292952051,288475,4606.814472400,0.287972200,0.869000,-0.073000,0.603000,-22.500000,-7.000000,8.300000
29895,292971217,307641,4606.834632800,0.308132600,0.926000,-0.165000,0.444000,-36.000000,-10.900000,-10.900000
29896,292990506,326930,4606.853452700,0.326952500,0.784000,0.007000,0.402000,-28.100000,12.200000,-53.200000
29897,293009825,346249,4606.872516300,0.346016100,0.804000,0.072000,0.575000,-20.000000,-1.400000,-10.300000
